"","#wt","#mut","pvalue","is_significant"
"MCL1",7,3,7.46118057507414e-06,"yes"
"KLRAP1",8,2,0.0054954352608904,"no"
"BRD9",8,2,0.013849369753767,"no"
"DGAT1",7,3,0.0190860107088604,"no"
"WASH3P",8,2,0.0211910128753695,"no"
"PRRT1",8,2,0.023842038297216,"no"
"WDR53",5,5,0.0285828703623786,"no"
"IVL",8,2,0.0287036415195731,"no"
"LRCH4",8,2,0.0331226808412547,"no"
"TMED10P1",7,3,0.0333618413401796,"no"
"FGFR1",8,2,0.0423356999637964,"no"
"LY6K",8,2,0.0473295322662696,"no"
"APOD",7,3,0.0503673441980464,"no"
"PLEKHG4B",7,3,0.0505442579821791,"no"
"MSH5",8,2,0.0537997413187794,"no"
"MSH5-SAPCD1",8,2,0.0537997413187794,"no"
"CFL2",8,2,0.0544365412353529,"no"
"NAPRT1",7,3,0.0568828487961927,"no"
"PDK4",6,4,0.0595275534919486,"no"
"TECPR1",7,3,0.0641156399851794,"no"
"MAFA",7,3,0.0666440469580215,"no"
"AZGP1",8,2,0.0701230907865158,"no"
"ASNS",8,2,0.0731066190205814,"no"
"HBP1",7,3,0.0734813843513984,"no"
"S100A11",7,3,0.0784927635098582,"no"
"ANKRD33B",8,2,0.0841741493704771,"no"
"CLEC2D",8,2,0.0854532766317056,"no"
"GNGT1",6,4,0.0885349506203937,"no"
"OR2T35",7,3,0.0886608293054021,"no"
"BAZ1A",8,2,0.0898736754882961,"no"
"GJA5",7,3,0.0899502794713498,"no"
"MTRR",8,2,0.0906868932001463,"no"
"HSF1",7,3,0.0926863932922585,"no"
"COL1A2",7,3,0.0940369389410239,"no"
"ATAT1",8,2,0.104770285618322,"no"
"AP3M2",8,2,0.116089637467873,"no"
"NSFP1",3,7,0.121636622606444,"no"
"GABARAPL1",8,2,0.123285079303814,"no"
"TMEM44",5,5,0.125486168273327,"no"
"LMTK2",7,3,0.128472628012965,"no"
"TMEM130",7,3,0.131192364075248,"no"
"MET",8,2,0.132843682283563,"no"
