"","#wt","#mut","pvalue","is_significant"
"CTNNB1",8,2,0.00546702594021824,"yes"
"APC",8,2,0.00568118518555789,"no"
"MCM2",8,2,0.00844301004306873,"no"
"MMS22L",8,2,0.0225899184594432,"no"
"BAZ2B",8,2,0.0253214461888214,"no"
"TBC1D23",8,2,0.0342196995303175,"no"
"ADRA2B",8,2,0.0505615032480135,"no"
"RHOA",7,3,0.0506123864135902,"no"
"LPAR1",8,2,0.050869248269267,"no"
"KIDINS220",8,2,0.056487562324063,"no"
"HSD11B1",8,2,0.0595195769467098,"no"
"ITIH2",8,2,0.0661081251589507,"no"
"COL24A1",8,2,0.0872306197415074,"no"
"FCGBP",7,3,0.0931585152826746,"no"
"POTEF",6,4,0.0984338756142832,"no"
"ATAD2B",8,2,0.100766045879229,"no"
"PLEKHG4",8,2,0.10868312368222,"no"
"REV3L",8,2,0.11600398535259,"no"
"FRMPD2",8,2,0.127630143492095,"no"
"ASAP2",8,2,0.142159341731451,"no"
"SIM1",8,2,0.143348935409401,"no"
"HERC1",8,2,0.154025975871972,"no"
"OR2T3",7,3,0.160379676578753,"no"
"BIRC6",7,3,0.175573871376135,"no"
"TG",6,4,0.176488902681639,"no"
"RECQL5",8,2,0.178552093244203,"no"
"BFSP1",8,2,0.182570461858745,"no"
"DOCK2",8,2,0.189676026920178,"no"
"ANKRD24",8,2,0.194571688016095,"no"
"LAMA5",8,2,0.197294828632063,"no"
"KIF2B",7,3,0.197986535539324,"no"
"ATM",8,2,0.199059687772855,"no"
"ALPK2",8,2,0.21210245063128,"no"
"KCNH7",8,2,0.215278933805736,"no"
"LRRC15",8,2,0.23163702898298,"no"
"ANKRD30B",8,2,0.233412259192894,"no"
"PDZRN4",8,2,0.251628730480208,"no"
"ESPNL",8,2,0.252424324851543,"no"
"RUNX1T1",8,2,0.260695043274679,"no"
"PRDM7",8,2,0.266194459947716,"no"
"NCAM1",8,2,0.270938755501915,"no"
"FMN2",8,2,0.287137994492663,"no"
"RASAL3",8,2,0.294340058138016,"no"
"SLX4",8,2,0.297589034818501,"no"
"NPAS3",8,2,0.298641064837741,"no"
"PTGFR",8,2,0.310002011045316,"no"
"PKD1",8,2,0.316814313910455,"no"
"PMP2",8,2,0.318129051331239,"no"
"GRIN2B",7,3,0.325546710639839,"no"
"TBC1D9",8,2,0.336448599912424,"no"
"ZNF33A",8,2,0.340453449562021,"no"
"FAT3",7,3,0.340934071990362,"no"
"EP300",8,2,0.344328550154581,"no"
"PRMT7",8,2,0.348373350363451,"no"
"DGKZ",8,2,0.350936750638181,"no"
"ARHGAP27",8,2,0.351882633898032,"no"
"KLF15",8,2,0.358384349195771,"no"
"OR11L1",8,2,0.367106305517181,"no"
"VSTM1",8,2,0.367535863406979,"no"
"FRY",8,2,0.376216151389089,"no"
"PSG6",8,2,0.376359859628718,"no"
"PKHD1L1",8,2,0.382231032845668,"no"
"MAPKAP1",8,2,0.389029702398444,"no"
"WDFY4",7,3,0.401303355479547,"no"
"MSH4",8,2,0.410452933715673,"no"
"GABRG2",8,2,0.414605515513524,"no"
"KIF14",8,2,0.435628000276661,"no"
"PLXND1",6,4,0.450623954717936,"no"
"DUSP27",7,3,0.450721366445266,"no"
"ACAN",8,2,0.451677129637238,"no"
"ADAMTS20",8,2,0.451715470803585,"no"
"SIGLEC12",8,2,0.484186616831234,"no"
"COL6A6",7,3,0.485243855278761,"no"
"PROKR1",8,2,0.494576030058474,"no"
"KDM4C",8,2,0.494654836103239,"no"
"ABCC11",7,3,0.503586758249288,"no"
"TP53",5,5,0.503685121556135,"no"
"GRID2",7,3,0.505348922745235,"no"
"USP9X",8,2,0.505458549266359,"no"
"ZFHX4",6,4,0.518473631430993,"no"
"COL7A1",6,4,0.536234714102935,"no"
"TAF4B",8,2,0.55315131523256,"no"
"MYO3A",8,2,0.554279028410521,"no"
"PER2",8,2,0.558725928577551,"no"
"DNAH5",7,3,0.559140183267032,"no"
"IRX1",7,3,0.562820172442143,"no"
"GABRG1",8,2,0.568953063737502,"no"
"PAPPA",8,2,0.575690984405622,"no"
"LRP1B",6,4,0.577479579935409,"no"
"LRRK1",8,2,0.577792265429195,"no"
"MTMR3",8,2,0.578160306070454,"no"
"SCN7A",8,2,0.58042442716672,"no"
"NWD1",7,3,0.587942608435984,"no"
"RANBP2",6,4,0.595799140568365,"no"
"ZNF638",8,2,0.608893777484012,"no"
"NEUROD4",8,2,0.609639524199499,"no"
"ACACB",8,2,0.612118090276768,"no"
"SIK3",8,2,0.618148029938573,"no"
"NFE2L2",8,2,0.619555634905393,"no"
"CREBBP",8,2,0.620353054526663,"no"
"ABCC1",7,3,0.628972198830401,"no"
"SATL1",8,2,0.638730842379002,"no"
"OR51A4",8,2,0.643562553998773,"no"
"SPEN",8,2,0.64758454046734,"no"
"SERGEF",8,2,0.65739611800591,"no"
"MGA",7,3,0.666350188160272,"no"
"KIF21B",8,2,0.667623427735372,"no"
"GABRA2",7,3,0.670668533996725,"no"
"PCNXL4",8,2,0.671683906021018,"no"
"MYLK4",8,2,0.673395852094625,"no"
"AGXT2",8,2,0.673738470248324,"no"
"NPTX1",8,2,0.675258853847128,"no"
"CSMD1",7,3,0.679253885402227,"no"
"COL3A1",8,2,0.685497742272448,"no"
"MACF1",8,2,0.685685992395835,"no"
"AVPR1B",8,2,0.685910305724548,"no"
"RGPD4",8,2,0.686231683249837,"no"
"ZFHX2",7,3,0.686720719643903,"no"
"XKR4",8,2,0.694403319254776,"no"
"PLOD2",8,2,0.699289021354713,"no"
"CDKN2A",8,2,0.699759665140094,"no"
"SEMA3D",8,2,0.706257224919139,"no"
"AEBP2",8,2,0.719387443964933,"no"
"COL1A1",8,2,0.721395471178955,"no"
"OR1C1",7,3,0.722552082910785,"no"
"DDX19B",8,2,0.728987511189474,"no"
"NCKAP1L",8,2,0.730273077989452,"no"
"TEP1",8,2,0.735059584942818,"no"
"OLFML2B",8,2,0.739546892116677,"no"
"TLR4",8,2,0.740508630845892,"no"
"RASGRP3",8,2,0.746120022362842,"no"
"NCOA6",8,2,0.754459469845174,"no"
"PDE11A",8,2,0.763127835178396,"no"
"BNC1",8,2,0.763948023913037,"no"
"TENM4",6,4,0.791296799672097,"no"
"OBSCN",6,4,0.793218312532284,"no"
"USP35",8,2,0.795327558302033,"no"
"NDST4",7,3,0.797028309972928,"no"
"WNT5A",8,2,0.801111403413624,"no"
"RASAL2",8,2,0.802334654003117,"no"
"ABCA13",8,2,0.802389079452345,"no"
"HDAC9",8,2,0.803102754082039,"no"
"NOS1",8,2,0.806522281677306,"no"
"ABCC8",7,3,0.806959423612562,"no"
"BMPER",8,2,0.816959944010253,"no"
"NOMO2",8,2,0.820253375135623,"no"
"GPR98",7,3,0.821158607926005,"no"
