"","#wt","#mut","pvalue","is_significant"
"MYT1",8,2,0.00800538077660595,"yes"
"DDX10",8,2,0.0638798658028721,"no"
"ILF3",8,2,0.151628432439362,"no"
"NFATC2",8,2,0.173848679294195,"no"
"KIF1B",8,2,0.199966163622987,"no"
"CSMD3",8,2,0.215683124932596,"no"
"COL6A5",8,2,0.238523369458123,"no"
"LRRK2",8,2,0.264992556443741,"no"
"SMARCA4",8,2,0.379300175133402,"no"
"MYO9A",7,3,0.521530303888749,"no"
"BAZ2B",8,2,0.599130612555592,"no"
"ARHGAP42",8,2,0.600847801461716,"no"
"GPR98",8,2,0.614543896704513,"no"
"KIAA2026",8,2,0.751778478598977,"no"
"TTF1",8,2,0.774093977854577,"no"
"KEAP1",8,2,0.776234000110715,"no"
"AKR1B15",8,2,0.817825389203959,"no"
"FAT3",8,2,0.832283647718583,"no"
"ABCA8",8,2,0.851822195621474,"no"
"WDFY4",8,2,0.880352598759988,"no"
"TP53",6,4,0.947965788515629,"no"
