"","#wt","#mut","pvalue","is_significant","tcga_pvalue","tcga_tumor_vs_normal"
"UBL5",10,0,2.67903726846414e-10,"yes",2.90619446259728e-07,"up"
"MED8",10,0,1.21674508125976e-06,"yes",5.1821565722085e-27,"up"
"SMARCB1",9,1,6.32776084107767e-06,"yes",1.21049165035976e-98,"up"
"WHSC1",9,1,6.57040930563885e-05,"yes",NA,NA
"LMLN",5,5,0.00012454188386946,"yes",5.74996223760642e-25,"up"
"AHCTF1",10,0,0.000132864590369701,"yes",5.41783709948683e-39,"up"
"EEF2",10,0,0.000185442943921663,"no",0.000683176008319189,"up"
"SERPINA3",9,1,0.000195861556918125,"no",0.93910779316651,"down"
"ATP2B1",9,1,0.0002083920823539,"no",3.46458096720125e-15,"up"
"CDC42SE2",10,0,0.000271648130558031,"no",3.40435639063514e-09,"down"
"PABPC3",9,1,0.000279108404047351,"no",2.64660547060246e-35,"up"
"DPP10",9,1,0.000407493114496847,"no",0.000145064844986598,"up"
"PAPSS1",10,0,0.000431508537747882,"no",5.51461148789962e-08,"down"
"IRF9",10,0,0.000517568694334375,"no",3.81314438626515e-07,"up"
"WDR16",10,0,0.000525142344316449,"no",NA,NA
"CLTCL1",9,1,0.000596702434414606,"no",1.96725731143705e-28,"up"
"NR2E3",10,0,0.000671479273442965,"no",3.84496640211021e-08,"down"
"ZRSR2",10,0,0.000804394034483229,"no",0.000260177637880911,"down"
"SEC62",8,2,0.000873890887838485,"no",0.339167003126979,"up"
"PI4KAP2",10,0,0.000966812551368017,"no",1.27329395858592e-09,"up"
"PI4KAP1",10,0,0.000966812551368017,"no",1.59919139807039e-09,"up"
"STXBP5",10,0,0.00098216511608431,"no",0.0430433099004938,"up"
"PRPF6",10,0,0.00104778288461586,"no",2.63642746435678e-06,"up"
"CCNB2",10,0,0.00118303574366464,"no",1.29124810702758e-176,"up"
"TLE2",10,0,0.00121006862746484,"no",4.14009999371791e-18,"down"
"MPZL1",9,1,0.00145988697986519,"no",2.16920801782407e-28,"up"
"PI4KA",10,0,0.00150036493227592,"no",0.518773319835393,"up"
"MED6",10,0,0.00165097417041119,"no",1.14554262086987e-37,"up"
"SMARCA4",7,3,0.00167544872839874,"no",1.13011763005241e-33,"up"
"ACTB",10,0,0.00178337703768803,"no",0.000440482428733638,"down"
"CRCT1",7,3,0.00222967839163125,"no",5.20932633218992e-14,"up"
"PVRL4",9,1,0.00229449628279432,"no",NA,NA
"XAF1",10,0,0.00237826741118712,"no",0.0245792156239499,"down"
"CTAG2",10,0,0.00261815598102356,"no",1.45734594185938e-13,"up"
