"","#wt","#mut","pvalue","is_significant","tcga_pvalue","tcga_tumor_vs_normal"
"ZNF689",10,0,1.84287134973316e-05,"yes",0.167310305955735,"up"
"RBBP8",10,0,8.76069762102416e-05,"yes",2.52605702271896e-61,"up"
"SRSF2",10,0,0.000111495018618957,"yes",7.09896832414124e-26,"up"
"MTG1",10,0,0.000221145124701061,"no",2.20864221459607e-40,"up"
"ANKRD36C",9,1,0.000446315013670651,"no",1.2940843984623e-11,"up"
"PBX3",10,0,0.000449892783256356,"no",6.67720025738564e-14,"down"
"LDLR",9,1,0.000542706343655608,"no",2.67089576651531e-09,"down"
"SPEN",8,2,0.000547942499595,"no",0.842816234170266,"up"
"P2RY8",10,0,0.00101784716071252,"no",0.000768122999567628,"down"
"BCCIP",10,0,0.00106430795939083,"no",2.50445334766263e-40,"up"
"DHRS7",9,1,0.00108145407926774,"no",4.8100645766169e-10,"down"
"PRR5",10,0,0.00109966747277168,"no",6.090159641065e-75,"up"
"MNT",10,0,0.00118339668826239,"no",9.89926753777145e-10,"up"
"ERCC1",10,0,0.00122548120498267,"no",1.59017911516924e-30,"up"
"REXO4",10,0,0.00131205412860058,"no",1.26831999412587e-41,"up"
"KIF2B",7,3,0.00138996676161085,"no",0.114961162162708,"up"
"SRSF12",10,0,0.00152441871225384,"no",1.0493243493326e-63,"up"
"SERPINA12",10,0,0.00181957661686094,"no",6.67504658553049e-12,"up"
"USP5",9,1,0.0019181853611222,"no",1.86225074378812e-92,"up"
"B3GNT7",9,1,0.00213288781053622,"no",1.93549956217186e-20,"down"
"PAN3",10,0,0.00252265482961866,"no",0.0379513682090126,"down"
"SH2D1A",10,0,0.00262947535330083,"no",0.0114452792594791,"down"
"BMPR1B",10,0,0.00264475559894017,"no",0.535873566733989,"down"
"TCF21",10,0,0.0026664706723234,"no",1.01888486343756e-20,"down"
"WASH2P",9,1,0.00293292542356893,"no",0.479397921883059,"up"
"C1R",8,2,0.00301390060291007,"no",0.423065499131852,"down"
"ADAMTS10",10,0,0.00303920668162427,"no",4.81859091398154e-07,"down"
"DACH2",9,1,0.00318485843601102,"no",0.00219502103955497,"up"
"MARCO",10,0,0.00321062056161925,"no",1.82261516863876e-17,"down"
"GRID1",9,1,0.00324810105574636,"no",8.19624571287084e-15,"down"
"MCL1",7,3,0.00329872708714929,"no",8.316698907452e-12,"down"
"KIAA0247",10,0,0.00334303407572534,"no",NA,NA
"ANKRD36B",9,1,0.00340867479706874,"no",6.57534581086956e-08,"up"
"EED",9,1,0.0037459434885706,"no",1.67461468988211e-38,"up"
"COPG1",10,0,0.00375171408537978,"no",2.20838497965783e-37,"up"
"TMEM230",10,0,0.0039503668108134,"no",2.67229101529065e-19,"up"
"MFN1",9,1,0.00422339138341055,"no",5.19464587050273e-85,"up"
"PTGES",10,0,0.00432818210482921,"no",2.97154082137617e-37,"up"
"ANGPTL4",10,0,0.00433887705899971,"no",0.895550275173871,"up"
"EP300",7,3,0.00455868568779205,"no",0.010683582973112,"up"
"ITGAV",8,2,0.00462999738701475,"no",1.67241699452595e-41,"up"
"DDX47",7,3,0.00472538351507135,"no",1.99720001988295e-08,"up"
"MTMR9",8,2,0.00486730344729647,"no",9.30124121050771e-13,"down"
"MSI1",10,0,0.00489431391329864,"no",2.92228173253031e-54,"up"
"TGFBR2",10,0,0.00494785909269402,"no",6.59446468477377e-31,"down"
"GNG8",9,1,0.00496127228430754,"no",0.00113448193604911,"up"
"SERPINB11",9,1,0.00505528364602148,"no",0.000589268544687297,"up"
"FOXP4",10,0,0.00507183528198407,"no",0.625082478508619,"down"
"LOC100653057",10,0,0.00518704992742691,"no",NA,NA
"RNF4",8,2,0.00519950939138936,"no",3.17503816298402e-17,"up"
"PITPNM2",9,1,0.00523091942433984,"no",2.27655813053598e-15,"down"
"REV3L",8,2,0.00541064993417062,"no",1.54831992562907e-16,"down"
"HIST1H1D",9,1,0.00567159617599122,"no",1.51851158440167e-23,"up"
"MBD1",9,1,0.00586040535686172,"no",8.83365488338886e-19,"up"
"ARHGAP8",10,0,0.00590999118186264,"no",9.18425782707238e-18,"up"
"PRR5-ARHGAP8",10,0,0.00590999118186264,"no",1.27470834020953e-57,"up"
"SLC19A2",9,1,0.00695441647981976,"no",3.30576171617936e-05,"down"
"KIF4B",10,0,0.00702387578076624,"no",1.89447408327475e-10,"up"
"OPHN1",10,0,0.00757513441481283,"no",6.22865804252064e-13,"down"
"ADAMTS3",10,0,0.0076792012917053,"no",0.359177801596238,"up"
"PPP2R2A",8,2,0.00775187177896386,"no",2.50011761680722e-09,"up"
"GCM1",10,0,0.00792636469728136,"no",1.61255486354275e-07,"up"
"IQSEC3",8,2,0.00845063922492373,"no",2.14453301115731e-15,"down"
"PIP5KL1",10,0,0.00870472520349685,"no",0.000176674507713057,"up"
"PRKAR2A",10,0,0.0087255480253795,"no",1.12661198826462e-13,"down"
"KCNT1",10,0,0.00881342695709997,"no",0.00153865899882402,"up"
"TMEM52",10,0,0.00906003265106303,"no",2.76705033601889e-28,"up"
"TMEM100",10,0,0.00930634949338061,"no",7.22838361992967e-12,"down"
"MAP3K11",9,1,0.00955950390801807,"no",2.79003911607799e-08,"down"
"TPP2",10,0,0.00956898383865479,"no",0.442827410178415,"down"
"LHX8",10,0,0.00966943590819369,"no",0.000402391689942295,"up"
"NCOA1",8,2,0.00981215912834232,"no",1.11637452804334e-07,"down"
"TBL1Y",10,0,0.00988642116977079,"no",5.62896091173786e-07,"up"
"ERI1",9,1,0.0100585194347461,"no",0.773498190467239,"up"
"SMIM3",10,0,0.0101970132560119,"no",0.0990651953025438,"down"
"SPAG16",10,0,0.010352455874063,"no",0.0726776120726398,"up"
"CEBPZ",10,0,0.0105184172726679,"no",1.95764805181261e-30,"up"
"RDH12",10,0,0.0107680230952187,"no",0.000525768478203927,"up"
"NHLH2",10,0,0.0108290100489246,"no",0.988444863922994,"up"
"EZH1",10,0,0.0109545365981732,"no",3.66318487177032e-14,"down"
