"","#wt","#mut","pvalue","is_significant"
"THEM4",7,3,0.000448760271219456,"yes"
"PRKAA1",6,4,0.00263117769350226,"no"
"HSD17B7",8,2,0.00661421674403822,"no"
"PTGER4",6,4,0.0103070209605173,"no"
"SLAMF9",8,2,0.0104825510287413,"no"
"MAPK1",8,2,0.0124563647452059,"no"
"MLLT11",6,4,0.0141294614275602,"no"
"KIRREL",8,2,0.0146462307777966,"no"
"PMEPA1",8,2,0.0159042885683207,"no"
"UBAC2",7,3,0.02044431761808,"no"
"PMP22",8,2,0.022292073553325,"no"
"SLC1A3",6,4,0.0246712409417283,"no"
"ALDH3A2",8,2,0.0330776773418973,"no"
"RFX5",6,4,0.0331498154996553,"no"
"TCHH",7,3,0.0342030149093323,"no"
"CABLES2",8,2,0.0452662709236877,"no"
"CLDN10",8,2,0.0473411633624056,"no"
"SLC39A1",7,3,0.0487995769481294,"no"
"NTSR1",8,2,0.0534083789615399,"no"
"LIMS3",8,2,0.0556613506267543,"no"
"LIMS3L",8,2,0.0556613506267543,"no"
"CA14",7,3,0.0576272094848323,"no"
"AGR2",7,3,0.0613606411001537,"no"
"SLAMF6",8,2,0.0622372880498364,"no"
"HGF",8,2,0.064831072164108,"no"
"NPAS3",8,2,0.0677687423073767,"no"
"APCDD1L",8,2,0.0692509677602169,"no"
"TCFL5",8,2,0.0699509559874199,"no"
"DUSP12",8,2,0.0733550233433393,"no"
"STK24",7,3,0.0744361148180002,"no"
"SREBF1",8,2,0.0750352029711745,"no"
"GJA5",7,3,0.0762401051004191,"no"
"DOCK9",7,3,0.0774782011976031,"no"
"ZNF496",8,2,0.0805080982742269,"no"
"TTC24",7,3,0.0812360566856682,"no"
"HS3ST3B1",8,2,0.082194803855786,"no"
"FARP1",7,3,0.087842824705167,"no"
"CDH12",7,3,0.0909392913589799,"no"
"C6",6,4,0.0958719849313194,"no"
"CLPTM1L",8,2,0.0966847454459999,"no"
"MYT1",8,2,0.0972691708462119,"no"
"RGS5",8,2,0.0975396320264654,"no"
"PXDN",8,2,0.101960377881771,"no"
"ADRM1",8,2,0.110073308188787,"no"
"ARHGAP5",8,2,0.117473707800588,"no"
"ASH1L",7,3,0.119505596853194,"no"
"OSBPL2",8,2,0.12083227077954,"no"
"TSSC1",8,2,0.122843249042837,"no"
"CFHR3",4,6,0.122950994161576,"no"
"OR6F1",8,2,0.127100152447453,"no"
"PRKAB2",7,3,0.130751632625115,"no"
"RBM38",8,2,0.132830340405622,"no"
"C20orf151",8,2,0.138356163045479,"no"
