"","#wt","#mut","pvalue","is_significant"
"ANKRD24",8,2,0.0022367934296813,"yes"
"CFH",8,2,0.00234290125111547,"yes"
"MEGF8",8,2,0.00792025044112066,"no"
"SLITRK3",8,2,0.00931062419484708,"no"
"PAX1",8,2,0.0136836819879405,"no"
"ACO2",8,2,0.0168524827859055,"no"
"ABCB11",8,2,0.0178377030959366,"no"
"COL6A3",7,3,0.0191765896398134,"no"
"ATM",7,3,0.0195814559398958,"no"
"LAMA5",7,3,0.0197240271487517,"no"
"ATR",8,2,0.0207966450480081,"no"
"DLG5",8,2,0.021011326595287,"no"
"FAM83H",8,2,0.0310819013684803,"no"
"MED12",8,2,0.0334108174776404,"no"
"FREM2",8,2,0.0368010824001627,"no"
"BTBD17",7,3,0.0384515090797633,"no"
"ATP2B4",8,2,0.0389578513014471,"no"
"RHO",8,2,0.0459431993099267,"no"
"KIF18A",8,2,0.0507304482506081,"no"
"PAX3",8,2,0.0582198602359677,"no"
"ANKRD17",7,3,0.0608340671794761,"no"
"KIF2B",7,3,0.0630121330090153,"no"
"DENND5B",8,2,0.0672197053771703,"no"
"SMARCA4",8,2,0.0672435167393208,"no"
"COL9A3",8,2,0.0677986637117513,"no"
"KCNA2",8,2,0.0685434361895328,"no"
"GTF2IRD1",8,2,0.0717300168247498,"no"
"CCAR1",8,2,0.0729089670656307,"no"
"ABCA12",8,2,0.0800748764347523,"no"
"FCGBP",8,2,0.0856549761815799,"no"
"NOTCH4",8,2,0.0914710668849493,"no"
"SLC4A8",8,2,0.0946635864063458,"no"
"SLC7A14",8,2,0.105732947592528,"no"
"TRIO",7,3,0.11197153806497,"no"
"AMBRA1",8,2,0.113123945016375,"no"
"C1QTNF1",8,2,0.116358285893527,"no"
"NOX4",8,2,0.116425200202296,"no"
"ARSG",8,2,0.117011676272968,"no"
"NOS1",8,2,0.121947061505514,"no"
"HGF",7,3,0.125332232330086,"no"
"FAIM3",8,2,0.126501863745592,"no"
"CHRM4",7,3,0.127130976651815,"no"
"TIAM1",8,2,0.128168849876767,"no"
"LRP1B",3,7,0.131440599088271,"no"
"SEMA6A",8,2,0.131946089554601,"no"
"DGKD",8,2,0.13394503473685,"no"
"MTOR",8,2,0.137496820781913,"no"
"EMILIN1",8,2,0.139488169694862,"no"
"KIAA1549",8,2,0.141102530875549,"no"
"MAGEA2B",8,2,0.142548608237866,"no"
"COL12A1",7,3,0.142607195737476,"no"
"NBN",7,3,0.1434559888289,"no"
"DHX38",8,2,0.147907483626363,"no"
"PHKB",8,2,0.150663461204874,"no"
"MAPKBP1",8,2,0.152379898674814,"no"
"UGT3A1",8,2,0.157446035770709,"no"
"TAF15",7,3,0.157833585402869,"no"
"WDR46",8,2,0.159316107407935,"no"
"EMILIN2",8,2,0.16157259804728,"no"
"TEX2",8,2,0.162291554758813,"no"
"OR2T4",8,2,0.162748160650754,"no"
"MME",7,3,0.16350223920074,"no"
"HES6",8,2,0.164244761513479,"no"
"ROS1",7,3,0.164951072448091,"no"
"SP140",8,2,0.166570934342093,"no"
"BRIP1",8,2,0.166581222314768,"no"
"SPEG",7,3,0.167995694297911,"no"
"ENOX1",8,2,0.173596032603654,"no"
"NWD1",8,2,0.175496652543282,"no"
"NPAS3",8,2,0.1760584628642,"no"
"CFB",8,2,0.179493048138935,"no"
"BCLAF1",7,3,0.181219742610525,"no"
"GLI2",8,2,0.181439724889757,"no"
"HTR2C",8,2,0.183625879284414,"no"
"GPNMB",8,2,0.185291277572697,"no"
"MAPKAPK2",8,2,0.197167291647703,"no"
"BRCA1",7,3,0.204349158434183,"no"
"OR2T1",7,3,0.21653872696975,"no"
"KTN1",7,3,0.217940184666346,"no"
"SRCAP",7,3,0.218813264025874,"no"
"APOH",8,2,0.227234204862518,"no"
"DMRT3",8,2,0.229013443160622,"no"
"CCDC144A",8,2,0.23015050887094,"no"
"MRGPRX3",8,2,0.234739939930693,"no"
"HEATR2",8,2,0.239812764720932,"no"
"ITK",8,2,0.24888509000125,"no"
"SEMA4A",8,2,0.249790069044433,"no"
"PTPRZ1",8,2,0.250837277836414,"no"
"E2F4",8,2,0.251976329971987,"no"
"MYO7B",8,2,0.255744170892112,"no"
"LAMP3",8,2,0.256028186516186,"no"
"LGR5",8,2,0.257515318506706,"no"
"RASGRF1",7,3,0.258631959146412,"no"
"PRKCQ",7,3,0.259329618593212,"no"
"PTGER4",8,2,0.260293834631827,"no"
"MYT1L",8,2,0.262158560838673,"no"
"TNS3",8,2,0.262236941650771,"no"
"ENPP4",8,2,0.265223769149647,"no"
"FRMD6",8,2,0.269654920509398,"no"
"RREB1",7,3,0.288771808404395,"no"
"KIF5A",8,2,0.289171870601389,"no"
"OBSCN",6,4,0.289332272101065,"no"
"NCOA4",8,2,0.300066291399747,"no"
"KCNS2",8,2,0.308951364381756,"no"
"TRIM29",7,3,0.316876429699489,"no"
"NLRP3",8,2,0.318217737318934,"no"
"FERD3L",8,2,0.32330963608986,"no"
"TAF1L",8,2,0.324760257403023,"no"
"FRMPD2",8,2,0.327611657122468,"no"
"COL22A1",7,3,0.330888109540581,"no"
"KIF21B",7,3,0.331612913605019,"no"
"ACLY",8,2,0.333474989958821,"no"
"MAGEA1",8,2,0.335467642563673,"no"
"HDAC4",8,2,0.339993505421747,"no"
"FLT4",8,2,0.348286492687063,"no"
"MLH3",8,2,0.350045718664201,"no"
"KCNQ2",7,3,0.352179935394489,"no"
"CACNA1B",8,2,0.354242340964571,"no"
"ITGAD",6,4,0.356204202450231,"no"
"JUP",8,2,0.358934463103264,"no"
"KDM3B",8,2,0.360862244311305,"no"
"CIC",7,3,0.365062989976044,"no"
"KCNA5",8,2,0.365434293145353,"no"
"ADAMTSL3",8,2,0.365434293145354,"no"
"LRRK2",8,2,0.36732876650017,"no"
"GJC2",8,2,0.371021789866967,"no"
"CNTNAP2",8,2,0.371384209243965,"no"
"OR2G6",8,2,0.376667302414803,"no"
"PLXNA2",8,2,0.376712819203872,"no"
"ASXL2",8,2,0.38290382816828,"no"
"LYST",6,4,0.386557667825646,"no"
"ATP13A2",8,2,0.388344204955259,"no"
"SI",8,2,0.394006927340349,"no"
"INPP4B",8,2,0.395314650265215,"no"
"PLAA",8,2,0.396007463916245,"no"
"ZMYM2",8,2,0.400804662652577,"no"
"FGD5",8,2,0.402087573911871,"no"
"TCHH",6,4,0.405331045151047,"no"
"ABCA13",8,2,0.406159793679561,"no"
"RNF213",8,2,0.416205794857747,"no"
"CPS1",8,2,0.416548954372065,"no"
"KIAA1875",8,2,0.420953354540141,"no"
"WRN",7,3,0.427095454365748,"no"
"CDK13",8,2,0.427437781240689,"no"
"EZH2",8,2,0.428238029519011,"no"
"LPHN3",7,3,0.42860777799844,"no"
"SEMA3F",8,2,0.431394891615495,"no"
"KIF4B",8,2,0.43345480699109,"no"
"UNC5C",8,2,0.434619255228981,"no"
"PPARGC1B",8,2,0.434745176920912,"no"
"PTGER3",8,2,0.436540300142395,"no"
"NAT10",7,3,0.437176994312791,"no"
"KCNJ3",8,2,0.440134576672833,"no"
"COL6A5",7,3,0.446047700633189,"no"
"ATP6V1B1",8,2,0.446152090592153,"no"
"PKHD1L1",8,2,0.448145044400047,"no"
"CIT",8,2,0.450867771414742,"no"
"WDR6",8,2,0.453608754684681,"no"
"NRBP1",8,2,0.453878226164598,"no"
"KCNH8",7,3,0.462141224869795,"no"
"PDGFRA",8,2,0.463831336022602,"no"
"SMARCA1",8,2,0.465770934015027,"no"
"KDM4C",8,2,0.468109112262463,"no"
"ALPK2",8,2,0.468650081806452,"no"
"NANOG",8,2,0.469604880506931,"no"
"TRIM28",8,2,0.470496190499716,"no"
"NCOR2",6,4,0.471200774357348,"no"
"PKN2",8,2,0.475974587907956,"no"
"PDE11A",8,2,0.476070186553148,"no"
"ALDH1L1",8,2,0.479719889242843,"no"
"TRIP12",6,4,0.480484148968812,"no"
"CSMD3",4,6,0.482930446185955,"no"
"RUNX1T1",8,2,0.494381144493762,"no"
"NTM",8,2,0.501277054429644,"no"
"TAOK1",8,2,0.508539635616856,"no"
"PRKDC",7,3,0.508684661768222,"no"
"NCOA5",8,2,0.509225875829199,"no"
"PAX7",8,2,0.509545047737344,"no"
"ITGA9",8,2,0.514906013833582,"no"
"PROX1",8,2,0.521252488875712,"no"
"SEMA3D",8,2,0.525172481675374,"no"
"HELZ",8,2,0.536820297484552,"no"
"MASP1",8,2,0.538917531533067,"no"
"ADCY8",7,3,0.543113686577363,"no"
"ARHGEF10",8,2,0.543917630953968,"no"
"IGF1R",8,2,0.55168090223705,"no"
"RELB",8,2,0.552123926745967,"no"
"ASXL1",8,2,0.554116693018946,"no"
"PRF1",8,2,0.55681888233837,"no"
"SEMA4C",8,2,0.565475181531263,"no"
"ITGB1",8,2,0.568793707277875,"no"
"WDFY4",8,2,0.57100851660179,"no"
"SETD1B",8,2,0.571039915878942,"no"
"GPR149",8,2,0.571746276274924,"no"
"ATP1A2",8,2,0.572138596146488,"no"
"F13A1",8,2,0.574365562541589,"no"
"MAF",8,2,0.579312454318094,"no"
"KEAP1",8,2,0.582249472547006,"no"
"TP53",2,8,0.583217035615877,"no"
"NFATC1",7,3,0.590242896589283,"no"
"WDR72",8,2,0.591217911482971,"no"
"CSMD1",5,5,0.592214220241159,"no"
"LRRC7",8,2,0.59428975495077,"no"
"CUX1",8,2,0.596195034882383,"no"
"COL4A5",8,2,0.601619040619775,"no"
"TG",8,2,0.602174232265603,"no"
"TAAR5",8,2,0.60242091616008,"no"
"CRIM1",7,3,0.603481327932172,"no"
"NR4A1",8,2,0.604146523817996,"no"
"LRP2",6,4,0.607967977099812,"no"
"JPH2",8,2,0.610736640277572,"no"
"MACF1",7,3,0.613249325275998,"no"
"CNTN1",8,2,0.624530678184462,"no"
"GPAA1",8,2,0.626544776533682,"no"
"NOTCH3",8,2,0.6302156008225,"no"
"EML5",8,2,0.631436563190338,"no"
"FERMT1",8,2,0.639541541426519,"no"
"NID2",8,2,0.640587662648568,"no"
"PIK3C2B",8,2,0.648325232695608,"no"
"TGS1",8,2,0.650945169196739,"no"
"CACNA1F",8,2,0.651033855286841,"no"
"HDAC9",8,2,0.655692889702297,"no"
"KCNK16",8,2,0.656707107621774,"no"
"BIRC6",8,2,0.663818535943953,"no"
"TEP1",7,3,0.665228602504602,"no"
"SLIT1",8,2,0.666147198628001,"no"
"VCAN",7,3,0.675017158372905,"no"
"PGBD5",8,2,0.677923463717737,"no"
"ZFHX4",7,3,0.689597764756288,"no"
"APCDD1L",8,2,0.694419953386722,"no"
"CHRND",8,2,0.695232298761103,"no"
"PTEN",7,3,0.695247462402834,"no"
"SLC52A2",8,2,0.695945829404972,"no"
"ZNF217",8,2,0.698179641676831,"no"
"MSH4",7,3,0.702832251610102,"no"
"MAGEA2",6,4,0.704246865068871,"no"
"ACSL6",8,2,0.708814585974911,"no"
"FZD4",8,2,0.711579872747165,"no"
"NLGN4X",8,2,0.711730115034549,"no"
"FZD10",8,2,0.715189440455129,"no"
"RANBP2",8,2,0.71826486968513,"no"
"ASXL3",8,2,0.722063978649676,"no"
"REV1",8,2,0.723847436362247,"no"
"COL3A1",6,4,0.726493196526451,"no"
"HOXA4",8,2,0.727052105586482,"no"
"CHD3",8,2,0.728568157963321,"no"
"TJP1",8,2,0.731958056551736,"no"
"PTGIS",7,3,0.735714277816222,"no"
"PLXNA3",8,2,0.74057763159803,"no"
"SLITRK2",8,2,0.74464287474134,"no"
