"","#wt","#mut","pvalue","is_significant"
"BCAR1",8,2,0.0149472376800838,"yes"
"MAK",8,2,0.0597341024548602,"no"
"TTN",4,6,0.0812598739600212,"no"
"RDH10",8,2,0.0940667498175576,"no"
"FREM2",8,2,0.128682977433006,"no"
"PDE9A",8,2,0.130080713327314,"no"
"BTK",8,2,0.182184866042087,"no"
"TMEM100",8,2,0.241566059327937,"no"
"MCF2",7,3,0.242375671653322,"no"
"MED12",8,2,0.248299634272444,"no"
"SMARCA4",7,3,0.252945923807264,"no"
"CACNA1F",8,2,0.309599342157686,"no"
"PABPC4",8,2,0.343072558885038,"no"
"MYO9A",8,2,0.369769317437334,"no"
"CNTN1",8,2,0.375469321815538,"no"
"ALDH1B1",8,2,0.39184034552557,"no"
"GPR98",8,2,0.39356104176982,"no"
"WDFY3",8,2,0.403820445820209,"no"
"DLX6",8,2,0.411595243359597,"no"
"GPR132",8,2,0.451818132549314,"no"
"ANKRD30B",8,2,0.453244211006031,"no"
"IQGAP2",7,3,0.481199003659908,"no"
"TP53",7,3,0.490862421213519,"no"
"PKHD1L1",8,2,0.509784422492363,"no"
"CNTRL",8,2,0.518574163306844,"no"
"GRB14",8,2,0.531572677725694,"no"
"CSMD3",8,2,0.556660933782302,"no"
"RB1",6,4,0.570786449014078,"no"
"E2F3",8,2,0.572373952693519,"no"
"GNAS",8,2,0.595141995925275,"no"
"COL20A1",8,2,0.612252903970198,"no"
"FMN2",8,2,0.62120673539357,"no"
"KIAA2026",8,2,0.627558075368347,"no"
"CYP39A1",8,2,0.649776700613625,"no"
"NLRP3",8,2,0.664707081090341,"no"
"CSMD1",7,3,0.704527242906327,"no"
"ZFHX4",7,3,0.715671833761787,"no"
"MCF2L2",8,2,0.725705613563645,"no"
"RAB3C",7,3,0.764779925061254,"no"
"PHKA1",8,2,0.765297156648453,"no"
"ALPK2",8,2,0.776881509521309,"no"
"CDKN2A",8,2,0.779092601087084,"no"
"SETD1B",8,2,0.792245272861231,"no"
"LRP5",8,2,0.871228258094948,"no"
"ARID1A",8,2,0.930305215319335,"no"
"NDUFS7",8,2,0.968648999552943,"no"
"IRX2",8,2,0.982431762132083,"no"
"RECQL",8,2,0.987364852033534,"no"
