"","#wt","#mut","pvalue","is_significant"
"STARD9",8,2,2.88162998457191e-06,"yes"
"VTCN1",10,0,7.05808842875629e-06,"yes"
"RAP1B",10,0,3.21616300935442e-05,"yes"
"CACNB4",9,1,4.13367847298476e-05,"yes"
"AGAP4",10,0,5.4251265500671e-05,"yes"
"AGAP9",10,0,5.4251265500671e-05,"yes"
"AGAP7",10,0,5.4251265500671e-05,"yes"
"AGAP10",10,0,5.4251265500671e-05,"yes"
"AGAP8",10,0,5.4251265500671e-05,"yes"
"AGAP5",10,0,5.4251265500671e-05,"yes"
"CDC20",10,0,7.00716478623732e-05,"yes"
"DLG1",10,0,0.000135695197445933,"yes"
"MBOAT1",10,0,0.000241203988001147,"no"
"MATK",10,0,0.000259790401535708,"no"
"DHX35",9,1,0.000282789555539512,"no"
"PTTG1IP",10,0,0.000289194198492685,"no"
"DDX50",10,0,0.000298586494936429,"no"
"MICB",10,0,0.000299934114964996,"no"
"CITED1",10,0,0.000306294888582999,"no"
"TSFM",10,0,0.000309867429610991,"no"
"DDX6",9,1,0.000449034785852259,"no"
"TNFRSF10A",9,1,0.00065010663459868,"no"
"AGAP6",10,0,0.000711024166940503,"no"
"ORC1",10,0,0.000714177193584997,"no"
"PPEF1",10,0,0.000766334435776204,"no"
"SIGLEC1",10,0,0.000771782822532532,"no"
"UBA3",9,1,0.000849416941932752,"no"
"ONECUT3",10,0,0.000869499929346931,"no"
"GABRR1",9,1,0.000879444053509582,"no"
"RNF20",10,0,0.000882890768748073,"no"
"GFI1",10,0,0.000896166212552554,"no"
"FAM8A1",10,0,0.000923551259112655,"no"
"GNG5",10,0,0.00103049400046692,"no"
"SLC47A2",7,3,0.00115349358724899,"no"
"RAX",10,0,0.00122615498811441,"no"
"PPP3R1",10,0,0.00125182657876131,"no"
"EREG",10,0,0.00139526936620644,"no"
"TRAIP",8,2,0.0014311994322042,"no"
"CLTA",10,0,0.00143656552113454,"no"
"IDH3G",9,1,0.00151252979890612,"no"
"CNST",8,2,0.00153180603724652,"no"
"BARHL2",10,0,0.00165851967441877,"no"
"ANKRD33B",8,2,0.00172062006011462,"no"
"SLC6A19",8,2,0.00173475515746007,"no"
"DDX5",10,0,0.00174938127423578,"no"
"ATP1A3",10,0,0.00176763565849058,"no"
"COL9A1",9,1,0.00178638345827459,"no"
"GSTA2",10,0,0.00180409573198794,"no"
"BCAM",10,0,0.00183117524501639,"no"
"DHX40",9,1,0.00192318017512382,"no"
"CRABP1",10,0,0.0019868559087131,"no"
"GPR15",10,0,0.00202419441335143,"no"
"EDC4",9,1,0.00220809915946633,"no"
"MPPED2",9,1,0.00221371596124662,"no"
"SERPINA6",10,0,0.0022841895758975,"no"
"APTX",10,0,0.00236362256951818,"no"
"OGT",10,0,0.00236709981393864,"no"
"WHSC1",10,0,0.00239859599737509,"no"
"ADTRP",10,0,0.0024504660116658,"no"
"TNKS",9,1,0.00251003189453396,"no"
"KCNIP4",8,2,0.00252771318470575,"no"
"BPTF",9,1,0.00255504401774328,"no"
"PDHA2",8,2,0.00264687469656506,"no"
"CXCL6",10,0,0.00265242790870144,"no"
"FOXR2",10,0,0.00268253990820913,"no"
"TSC22D3",10,0,0.0026980968639268,"no"
"SPG7",9,1,0.002778726253439,"no"
"CACNA1D",10,0,0.00289346916132002,"no"
"RPS6KL1",10,0,0.00324001636928105,"no"
"TNFRSF21",10,0,0.003513665988418,"no"
"LYL1",10,0,0.00360888337360018,"no"
"CASP8AP2",9,1,0.00371037979371561,"no"
"TMPRSS3",10,0,0.00373620077374995,"no"
"GABRE",9,1,0.00374122180253103,"no"
"ARHGAP18",10,0,0.00382286651669799,"no"
"GPR139",9,1,0.0038316863103333,"no"
"DDX53",10,0,0.00396427115647442,"no"
"FRAS1",9,1,0.00403828467286473,"no"
"NEIL3",9,1,0.00411203707888629,"no"
"SERPINE2",10,0,0.00425834853103546,"no"
"F2RL1",10,0,0.0043412055696253,"no"
"GPR32",10,0,0.00436361260673317,"no"
"ESRRA",10,0,0.00441469121581109,"no"
"KCNK7",9,1,0.00452432554302175,"no"
"CA5A",9,1,0.00467607825854101,"no"
"RGL3",10,0,0.00471438619274109,"no"
"PCGF1",10,0,0.00483184007078416,"no"
"CDC14A",9,1,0.00504813562770619,"no"
"DSG3",9,1,0.00510123586936772,"no"
"SIX5",10,0,0.00527127389588584,"no"
"SALL2",9,1,0.00529308849002061,"no"
"GMPR2",9,1,0.00550335178889777,"no"
"CEACAM5",9,1,0.00555895436319209,"no"
"RHOD",10,0,0.00565091285965881,"no"
"ZCRB1",9,1,0.00573501043950163,"no"
"LMO7",9,1,0.00579259828886686,"no"
"FOXD2",10,0,0.00579711545384173,"no"
"CLCN3",9,1,0.00581996314415298,"no"
"GBAS",10,0,0.00585314957434222,"no"
"TBL2",8,2,0.0058533877128025,"no"
"PAXIP1",10,0,0.00591271331045033,"no"
"TNF",10,0,0.00592499535223166,"no"
"GPR151",9,1,0.00616548110066761,"no"
"ARHGAP11A",9,1,0.00650696548286267,"no"
"ERCC3",10,0,0.00662987963231012,"no"
"LPAR5",9,1,0.00664473367378672,"no"
"TBC1D22A",10,0,0.00670294963544499,"no"
"MAP3K19",10,0,0.00671149051839742,"no"
"MKL2",10,0,0.00688775979868665,"no"
"BIRC7",7,3,0.00698811974177005,"no"
"SLC19A1",10,0,0.0070234233915969,"no"
"PALB2",10,0,0.00705367964409668,"no"
"CCNE1",9,1,0.00719760379393095,"no"
"PIP4K2B",9,1,0.00722275169834779,"no"
"GABRR3",9,1,0.00731429234558772,"no"
"PDE4C",10,0,0.00736794186473854,"no"
"OPRD1",10,0,0.00749280742638417,"no"
"CALD1",10,0,0.00760614884281265,"no"
"TAOK3",10,0,0.00762517992621051,"no"
"BMPR1B",8,2,0.00773415315457077,"no"
"S100A2",7,3,0.00785132924240664,"no"
"ALDH7A1",10,0,0.00785281787213755,"no"
"GRIN3A",9,1,0.00794929611119319,"no"
"NGB",10,0,0.0081484738700213,"no"
"ITGA8",6,4,0.00816555657408972,"no"
"RFC1",10,0,0.00823959993459653,"no"
"TBC1D3P1-DHX40P1",10,0,0.00838100306243115,"no"
"CD38",9,1,0.00838112998919246,"no"
"ABCB1",8,2,0.00838672070786987,"no"
"PRPS2",10,0,0.00860223248515429,"no"
"ARID4B",8,2,0.00868850680035894,"no"
"MYLIP",10,0,0.00869550431084492,"no"
"RGL1",9,1,0.00882338890434965,"no"
"RAB9B",10,0,0.00895205855973535,"no"
"RRH",10,0,0.00900018271667031,"no"
"PANK2",10,0,0.00900237536309442,"no"
"SPRY4",10,0,0.00902212950385753,"no"
"ITGA3",8,2,0.00911508619181092,"no"
"NR2E3",10,0,0.00912588616696283,"no"
"SOX2",9,1,0.00916368437205226,"no"
"AEBP2",10,0,0.00926205061990678,"no"
"MTR",6,4,0.00933116955172702,"no"
"PRRT1",10,0,0.00933868734021519,"no"
"ATP4A",10,0,0.00954874600335765,"no"
"TTBK2",10,0,0.00961578074728208,"no"
"RGS12",10,0,0.00962969944430687,"no"
"FERMT2",10,0,0.00967854876516646,"no"
"KCNB1",8,2,0.00973408648354281,"no"
"SLC6A12",8,2,0.00982261720278385,"no"
"MYO7B",7,3,0.0099270885547042,"no"
"NFE2",10,0,0.00998322976719741,"no"
"PHACTR1",10,0,0.0100263788868685,"no"
"TDRD1",9,1,0.0100476296565406,"no"
"MUC12",6,4,0.0100547596529312,"no"
"TPM3",7,3,0.0101562942821091,"no"
"JAM3",10,0,0.0105640653932725,"no"
"CHTF18",9,1,0.0105730084171384,"no"
"SH2D2A",7,3,0.0105842195695251,"no"
"STK31",10,0,0.0105891850742242,"no"
"CDKN3",10,0,0.0107435050772292,"no"
"GJC3",9,1,0.0107802714094349,"no"
"COX11",9,1,0.010930387647061,"no"
"ABCC2",9,1,0.0112611718757623,"no"
"MEF2BNB-MEF2B",10,0,0.011546447563687,"no"
"MEF2B",10,0,0.011546447563687,"no"
"NCAN",10,0,0.01161693058981,"no"
"GNG12",10,0,0.0116441352936143,"no"
"CCR2",9,1,0.011689997199565,"no"
"RAB28",9,1,0.0117978427160029,"no"
"NR4A3",10,0,0.0118195126463447,"no"
"PDE6A",9,1,0.0118506072850383,"no"
"KIAA1549L",8,2,0.0120932679469152,"no"
"PKD1L2",10,0,0.0123075385884677,"no"
"E2F3",6,4,0.0123993544561717,"no"
"COL4A2",7,3,0.0125470270930362,"no"
"NAA30",10,0,0.0125520021525915,"no"
"ZBTB10",8,2,0.0128482163369902,"no"
"RNF183",10,0,0.0129129310987334,"no"
"GLRA1",10,0,0.0129396772861474,"no"
"RIF1",9,1,0.0130271607152727,"no"
"MAPKAP1",10,0,0.0130651051499135,"no"
"LRRC33",10,0,0.0131583323442924,"no"
"EPS15",8,2,0.0133299874678547,"no"
"FLNA",10,0,0.0133434005160468,"no"
"WDR86",9,1,0.0133708630751477,"no"
"GSTT2",9,1,0.0134391944970377,"no"
"GSTT2B",9,1,0.0134391944970377,"no"
"MACF1",6,4,0.0137957655006465,"no"
"ALG3",10,0,0.0138769566254638,"no"
"FZR1",10,0,0.0144086307900161,"no"
"BTNL2",10,0,0.0144411928579414,"no"
"MRGPRG",9,1,0.0146143977412965,"no"
"ALDOC",10,0,0.0147303858229102,"no"
"GDF15",10,0,0.0147635509516484,"no"
"MIXL1",8,2,0.014911094248407,"no"
"TLR7",9,1,0.0149211176408732,"no"
"FOXL2",10,0,0.0151223165165525,"no"
"SMARCA5",7,3,0.0153891304441095,"no"
"ENPP4",8,2,0.0155261481861764,"no"
"LRRC4C",8,2,0.0156920442723155,"no"
"EPHA3",9,1,0.0159070660760255,"no"
"PDE6G",10,0,0.0160990808411032,"no"
"PIK3CD",9,1,0.0161940800303382,"no"
"TRPM6",8,2,0.0163866643488378,"no"
"NID1",9,1,0.0164467775257628,"no"
"MAP4K1",10,0,0.016495402202284,"no"
"NHLH2",10,0,0.0165063229606128,"no"
"RPL22",9,1,0.0165820954656719,"no"
"AK1",10,0,0.0166745245762883,"no"
"CLCN1",9,1,0.0166832093989127,"no"
"HSP90AB1",10,0,0.0166965679877709,"no"
"HSP90AB3P",10,0,0.0166965679877709,"no"
"MED17",8,2,0.0167265709521096,"no"
"BARD1",10,0,0.0167997559292368,"no"
"HCN4",10,0,0.0169331998363905,"no"
"ZBTB48",9,1,0.0169382153550277,"no"
"DBF4",9,1,0.0171046865145648,"no"
"GNG3",10,0,0.0171237430077559,"no"
"SRSF11",10,0,0.0171951807212906,"no"
"WIF1",9,1,0.0172284186980424,"no"
"POLDIP2",10,0,0.0172404258932863,"no"
"RAB32",10,0,0.0173387942313303,"no"
"UBE2G1",9,1,0.0173689992393563,"no"
"CHRNA5",10,0,0.0175407487860967,"no"
"ARF3",10,0,0.0177369100373125,"no"
"PTPN14",9,1,0.0178210856226356,"no"
"STK11",9,1,0.0179159581787188,"no"
"DSTYK",9,1,0.0179904949022364,"no"
"UBE2K",9,1,0.0179904949022364,"no"
"BRD8",10,0,0.0180169188203523,"no"
"TXNRD1",9,1,0.0182785786807223,"no"
"MC5R",10,0,0.0183322999312227,"no"
"MATN3",10,0,0.0183799966544681,"no"
"JPH2",7,3,0.0188087534157028,"no"
"RALYL",10,0,0.019066742364671,"no"
"GNAS",7,3,0.0190988223946269,"no"
"EPB41",9,1,0.0191001534895063,"no"
"SIX2",10,0,0.019148904004145,"no"
"LIME1",7,3,0.0191946257618962,"no"
"WSB2",10,0,0.0192272267247283,"no"
"OVOL1",10,0,0.0192520148067028,"no"
"FCN1",9,1,0.019807651436454,"no"
"THRA",9,1,0.0198166287200183,"no"
"NADK",9,1,0.0198975738598763,"no"
"SMAP1",9,1,0.0201238386224478,"no"
"PKP1",9,1,0.0202331889712948,"no"
"WWP1",9,1,0.0203201013164443,"no"
"C1QL3",10,0,0.0203473166696342,"no"
"IKBKB",9,1,0.0203889311837732,"no"
"CXCL3",10,0,0.0206870000424663,"no"
"SUCLA2",9,1,0.0209464411957037,"no"
"MAPK8",9,1,0.0209840455648114,"no"
"GLRB",10,0,0.0210135403397828,"no"
"USP28",9,1,0.0211823713999438,"no"
"JMJD6",10,0,0.0212141648516252,"no"
"NLGN4Y",10,0,0.0212724136502727,"no"
"ARNTL2",10,0,0.0213307931020078,"no"
"ZFHX3",8,2,0.0213349599229893,"no"
"NR1H3",10,0,0.0213532815709396,"no"
"NEUROD1",10,0,0.0213667839492892,"no"
"KANK1",7,3,0.0215459908461072,"no"
"RBMY1A1",10,0,0.0215474832591489,"no"
"RBMY1F",10,0,0.0215474832591489,"no"
"RBMY1B",10,0,0.0215474832591489,"no"
"RBMY1D",10,0,0.0215474832591489,"no"
"RBMY1E",10,0,0.0215474832591489,"no"
"RBMY1J",10,0,0.0215474832591489,"no"
"MAP3K9",10,0,0.0216747139457976,"no"
"KCNJ4",9,1,0.0218982975148662,"no"
"TMEM41A",10,0,0.0220785808985899,"no"
"TSC22D1",8,2,0.0220999202276792,"no"
"ORC2",10,0,0.0222362553712736,"no"
"DMRTA1",10,0,0.0223527773406653,"no"
"RCC1",9,1,0.0223649368211654,"no"
"SUSD1",10,0,0.0224885659768709,"no"
