"","#wt","#mut","pvalue","is_significant"
"BCCIP",10,0,1.54941696606237e-06,"yes"
"CRBN",10,0,2.19669575070025e-05,"yes"
"NDST4",9,1,2.53852596480142e-05,"yes"
"LCP1",9,1,2.8774647749974e-05,"yes"
"FABP9",10,0,2.90719949372908e-05,"yes"
"MED12",6,4,2.98427438191196e-05,"yes"
"LTV1",10,0,3.58444973599381e-05,"yes"
"DRD1",10,0,5.09790885546701e-05,"yes"
"LRIG2",10,0,7.72516779553589e-05,"yes"
"TPT1",9,1,0.00016147543013445,"no"
"CDK6",9,1,0.000187475309423424,"no"
"P2RY8",10,0,0.000200211424464358,"no"
"GALR3",10,0,0.000209012047984181,"no"
"TTC1",10,0,0.000211471371037275,"no"
"WDR67",9,1,0.000233876716784875,"no"
"AK4",10,0,0.000234794550163619,"no"
"ERBB4",8,2,0.000271861179840238,"no"
"FLJ44635",10,0,0.000291160896858433,"no"
"PLEKHA4",10,0,0.000322125276541296,"no"
"CAMK4",10,0,0.000347686316455986,"no"
"MED7",10,0,0.000348071523411986,"no"
"COL10A1",10,0,0.000357562669940026,"no"
"ANKRD44",10,0,0.000447116657408486,"no"
"ABCB8",10,0,0.000508676322333756,"no"
"UBE2L6",10,0,0.000518476079037988,"no"
"COPG1",9,1,0.00051943689255507,"no"
"DPYD",10,0,0.000615555534761114,"no"
"GNL3L",10,0,0.000648930757409349,"no"
"HIST1H1T",10,0,0.000681095961050593,"no"
"RGR",10,0,0.00070068242642285,"no"
"ARAP1",8,2,0.000705662411485841,"no"
"ARID3A",10,0,0.000767887639398945,"no"
"CD14",10,0,0.000788333871956426,"no"
"SAFB2",10,0,0.000809530894208876,"no"
"ALDH16A1",9,1,0.000893687252834119,"no"
"RAB12",10,0,0.000906313005854753,"no"
"TRIB2",8,2,0.000981034212676701,"no"
"VSX2",9,1,0.00098589754558398,"no"
"EDARADD",9,1,0.0011274598290073,"no"
"UBAC2",6,4,0.00113189629134958,"no"
"HSPB1",9,1,0.00114634745261666,"no"
"LGR6",8,2,0.00119600316326407,"no"
"TMPRSS2",10,0,0.00129840410729276,"no"
"NLRP12",10,0,0.00135160421198643,"no"
"LTBP4",9,1,0.00142976307020959,"no"
"WNK1",9,1,0.00143216814084979,"no"
"RAB3D",10,0,0.00146926916432399,"no"
"VSIG4",9,1,0.00147310397306577,"no"
"ZBTB26",10,0,0.00147846858049816,"no"
"FKBP5",10,0,0.00154381151175986,"no"
"AVPR2",10,0,0.00157181652066729,"no"
"SMC1A",10,0,0.00159828921023208,"no"
"C1R",8,2,0.00161165102052174,"no"
"NPTX1",10,0,0.00163520049610621,"no"
"MEGF8",8,2,0.00169325163243672,"no"
"GABRQ",10,0,0.00169716461672864,"no"
"AIP",9,1,0.00172489093137218,"no"
"MED21",10,0,0.00172864567516029,"no"
"ZRANB2",10,0,0.00173447229063695,"no"
"BTF3",10,0,0.0018490510210375,"no"
