"","#wt","#mut","pvalue","is_significant"
"TNK2",3,2,0.022899590720029,"yes"
"PIGZ",3,2,0.0337250841661386,"no"
"HRASLS",3,2,0.0534584320961076,"no"
"LEPREL1",3,2,0.06161645505756,"no"
"GP5",3,2,0.0864764290697883,"no"
"MYC",3,2,0.178719823631132,"no"
"LRCH3",3,2,0.205065069708089,"no"
"TMEM207",3,2,0.214503442592359,"no"
"PIGX",3,2,0.234795477900902,"no"
"UTS2D",3,2,0.250035562689102,"no"
"CPN2",3,2,0.263628275801988,"no"
"WDR53",3,2,0.269906310336297,"no"
"APOD",3,2,0.302618475838618,"no"
"DLG1",3,2,0.306162821848906,"no"
"SIRPB1",2,3,0.324005095929798,"no"
"TM4SF19",3,2,0.368691228115383,"no"
"TM4SF19-TCTEX1D2",3,2,0.368691228115383,"no"
"CLDN16",3,2,0.414964743616715,"no"
"ACAP2",3,2,0.424202330118821,"no"
"TMEM44",3,2,0.465852256688434,"no"
"KIAA0226",3,2,0.476578010571433,"no"
"LPP",3,2,0.496415441352978,"no"
"LMLN",3,2,0.502788349300031,"no"
"CFHR3",1,4,0.516617529752697,"no"
"CLDN1",3,2,0.521624450343583,"no"
"PAK2",3,2,0.538418579611275,"no"
"HES1",3,2,0.547976978530045,"no"
"LRRC33",3,2,0.552491882436527,"no"
"LSG1",3,2,0.651455095245774,"no"
"ATP13A3",3,2,0.653820346976044,"no"
"C3orf43",3,2,0.71176204600186,"no"
"TP63",3,2,0.713836374869435,"no"
"IL1RAP",3,2,0.715413543209699,"no"
"RNF168",3,2,0.736990548799919,"no"
"IQCG",3,2,0.739511077994561,"no"
"NCBP2",3,2,0.759316412236738,"no"
"LRRC15",3,2,0.790304801876377,"no"
"OPA1",3,2,0.791161000590518,"no"
"ATP13A5",3,2,0.836816237779488,"no"
"MUC20",3,2,0.86530902210085,"no"
"MFI2",3,2,0.918106771004808,"no"
"TFRC",3,2,0.925612564433292,"no"
"ZDHHC19",3,2,0.980084586891884,"no"
