"","#wt","#mut","pvalue","is_significant"
"BCL2",1,4,0.180166917342873,"no"
"GLI2",3,2,0.181950787192558,"no"
"FXR2",3,2,0.201282074937825,"no"
"RNF17",3,2,0.207311600808484,"no"
"GNB1",3,2,0.227571881658238,"no"
"LRP1B",3,2,0.290622642602304,"no"
"AHRR",3,2,0.309755208378527,"no"
"NCSTN",3,2,0.343147701265876,"no"
"ANKRD50",3,2,0.39597597954822,"no"
"TLK2",3,2,0.474054251792311,"no"
"DSEL",3,2,0.489966890468403,"no"
"ANK2",3,2,0.514842618148372,"no"
"EP300",3,2,0.551047011578918,"no"
"SVIL",3,2,0.572105281249049,"no"
"DOCK2",2,3,0.580533513060794,"no"
"UTRN",3,2,0.631730854310883,"no"
"DDIT4L",3,2,0.699666720406748,"no"
"ERBB4",3,2,0.728504009837096,"no"
"PLEKHG3",3,2,0.754269810209883,"no"
"HIST1H1E",3,2,0.840046864795912,"no"
"MED1",3,2,0.849529160932411,"no"
"WNK1",3,2,0.877987328178052,"no"
"TP53",1,4,0.906014138513104,"no"
"NBEA",3,2,0.91089455824282,"no"
"PROM1",3,2,0.950122081464044,"no"
"EZH2",0,5,NA,NA
