"","#wt","#mut","pvalue","is_significant"
"CCND3",5,0,5.61591908968851e-13,"yes"
"MEF2B",4,1,1.36163767865035e-10,"yes"
"EP300",3,2,2.66820225123212e-09,"yes"
"TCF3",5,0,2.88366677276536e-08,"yes"
"CDK6",5,0,2.88396739904443e-08,"yes"
"CNKSR1",5,0,2.02610144237343e-07,"yes"
"PTTG1IP",5,0,2.27034049815654e-07,"yes"
"CDK5",5,0,7.31771557749908e-07,"yes"
"F2RL3",5,0,9.71693908407244e-07,"yes"
"LGALS1",5,0,1.37257036198306e-06,"yes"
"ADK",5,0,2.01479753797077e-06,"yes"
"ECM1",5,0,2.09331533208972e-06,"yes"
"PIM3",5,0,2.19584572677586e-06,"yes"
"TPCN2",5,0,2.34812096560827e-06,"yes"
"MAN1B1",4,1,2.82353182759854e-06,"yes"
"MLLT1",5,0,3.01561155863974e-06,"yes"
"CHRM1",5,0,3.99297735060861e-06,"yes"
"FNIP1",4,1,4.31640468658144e-06,"yes"
"UGT8",4,1,4.58406706122069e-06,"yes"
"OR5W2",5,0,4.78820718724734e-06,"yes"
"MATN3",5,0,5.22608913620398e-06,"yes"
"MEF2BNB-MEF2B",5,0,7.11816954701932e-06,"yes"
"SLC44A4",5,0,7.496581632131e-06,"yes"
"CFL1",5,0,7.67065492964158e-06,"yes"
"WDR25",5,0,1.05817124431293e-05,"yes"
"CLMP",5,0,1.10196771393937e-05,"yes"
"PDK3",5,0,1.15020093250116e-05,"yes"
"CACNB2",5,0,1.31460859706775e-05,"yes"
"MAF",5,0,1.48727826503305e-05,"yes"
"FLNA",5,0,1.64886369319332e-05,"yes"
"GNA11",5,0,2.04015992822783e-05,"yes"
"VSTM2L",5,0,2.13248546944454e-05,"yes"
"APMAP",5,0,2.31298663224954e-05,"yes"
"KIF2A",5,0,3.04821161258399e-05,"yes"
"KPNA6",5,0,3.12034886242185e-05,"yes"
"CAMK2A",5,0,3.62781984795589e-05,"yes"
"RNF183",5,0,3.73584476095874e-05,"yes"
"CHST7",5,0,4.15334709150815e-05,"yes"
"NKX3-2",5,0,4.66665660742233e-05,"yes"
"OR2W3",4,1,4.67982728758937e-05,"yes"
"PARK2",5,0,4.7786932268745e-05,"yes"
"TPTE2",5,0,5.11005102155247e-05,"yes"
"GPSM1",4,1,7.3561343215314e-05,"yes"
"APEX2",5,0,7.40414027746397e-05,"yes"
"SLC44A5",5,0,7.52167930828079e-05,"yes"
"IGF2BP3",4,1,9.14322619311974e-05,"yes"
"PLK2",4,1,9.44400538953924e-05,"yes"
"TTC3",5,0,0.00010287544603053,"yes"
"HSH2D",5,0,0.000104579997434469,"yes"
"NR1D1",5,0,0.00011891590251778,"yes"
"LGALS7",5,0,0.000122248715388873,"yes"
"LGALS7B",5,0,0.000122248715388873,"yes"
"RAB33A",5,0,0.000123565206659779,"yes"
"CD14",5,0,0.000134083605074716,"yes"
"MAP2K4",5,0,0.000138952808702456,"yes"
"VAX1",5,0,0.000167526721231743,"no"
"MRGPRD",5,0,0.000169632762101631,"no"
"ZBTB24",5,0,0.000175224476545208,"no"
"GJB1",5,0,0.000177535637365467,"no"
"E2F7",5,0,0.000183021802591084,"no"
"KRTAP5-5",5,0,0.000186482580741376,"no"
"CDKL1",5,0,0.000190023499076035,"no"
"SUZ12",5,0,0.00019659030231702,"no"
"FKBP10",5,0,0.000198669971783655,"no"
"POU2AF1",5,0,0.000208467300932132,"no"
"YIF1B",5,0,0.00021017907441634,"no"
"SHC4",5,0,0.000210635654412866,"no"
"RIT2",5,0,0.000217303000262759,"no"
"KLHL32",5,0,0.000225666879927499,"no"
"ATP6V1G2",5,0,0.00022818488440871,"no"
"TSSC1",5,0,0.000229221318488272,"no"
"MAPK3",4,1,0.00023154298005334,"no"
"ARHGEF39",5,0,0.000239828453415233,"no"
"HES7",4,1,0.000251858400722223,"no"
"ACADL",5,0,0.000269905320417027,"no"
"UNC5CL",5,0,0.000281135760370628,"no"
"ECM2",5,0,0.000284998826291118,"no"
"FBP1",5,0,0.000291923563241664,"no"
"STARD9",4,1,0.000298362185050065,"no"
"BCAM",5,0,0.00030091004714725,"no"
"TNFRSF25",3,2,0.000301252668987228,"no"
"RTN4R",4,1,0.000309513179421766,"no"
"DHRS7",5,0,0.000321792819792334,"no"
"DNMBP",5,0,0.000327726762730802,"no"
"PIP4K2B",5,0,0.000339144924023901,"no"
"SLC4A8",5,0,0.000339367500224498,"no"
"FGD6",5,0,0.000340117062725935,"no"
"DRG1",5,0,0.000373599674307571,"no"
"AATK",5,0,0.000390920277812445,"no"
"CDK3",5,0,0.00040513389668271,"no"
"TEN1-CDK3",5,0,0.00040513389668271,"no"
"NHLH2",5,0,0.000412593061227173,"no"
"MGARP",5,0,0.000423060889512274,"no"
"MBD1",5,0,0.000428902835550803,"no"
"SERPINB12",5,0,0.000434564394798373,"no"
"CBR1",5,0,0.000448283316138108,"no"
"DGKB",5,0,0.00045657413864724,"no"
"TCF4",5,0,0.000465070731661696,"no"
"NAA11",3,2,0.000486243355782897,"no"
"ZRANB3",5,0,0.000504587435285189,"no"
"DMPK",5,0,0.000517212252460862,"no"
"FRYL",5,0,0.000519633675865689,"no"
"GPR19",4,1,0.000520325930250604,"no"
"STK25",5,0,0.000521016581400324,"no"
"AGAP4",5,0,0.000552199019933925,"no"
"AGAP9",5,0,0.000552199019933925,"no"
"AGAP7",5,0,0.000552199019933925,"no"
"AGAP10",5,0,0.000552199019933925,"no"
"AGAP8",5,0,0.000552199019933925,"no"
"AGAP5",5,0,0.000552199019933925,"no"
"HCAR1",5,0,0.000557694115576162,"no"
"FCGR2C",5,0,0.000568412212755323,"no"
"COL12A1",5,0,0.000575832211290946,"no"
"WSB1",5,0,0.000586426475384967,"no"
"SNAP25",5,0,0.000592907179266093,"no"
"KPNA7",5,0,0.000594057306478724,"no"
"KLHL26",5,0,0.000594113798551044,"no"
"MAP1LC3A",5,0,0.00059954645396668,"no"
"PRDM11",5,0,0.000631132093992985,"no"
"DPYD",4,1,0.000636304914667967,"no"
"MAGEF1",5,0,0.000647998096981488,"no"
"LOC647859",5,0,0.000671720668643078,"no"
"OCLN",5,0,0.000671720668643078,"no"
"HIST1H1C",4,1,0.000687038808666736,"no"
"STK35",5,0,0.000687574170222095,"no"
"PDE10A",5,0,0.000737847281910968,"no"
"PABPC5",5,0,0.000742443553324685,"no"
"SEZ6",5,0,0.000745631849099161,"no"
"GMCL1P1",5,0,0.000748037885196535,"no"
"ATP5J2-PTCD1",5,0,0.000754443472905482,"no"
"C1orf159",5,0,0.000766635106481535,"no"
"HMG20B",5,0,0.000770433586334685,"no"
"IRX3",5,0,0.000838007791681537,"no"
"CBLN2",5,0,0.000855555563456944,"no"
"PRKACG",5,0,0.000876190530542519,"no"
"VLDLR",5,0,0.000876697977383098,"no"
"OXTR",5,0,0.000905971836946934,"no"
"SLC22A3",5,0,0.000906062511227176,"no"
"GJA4",5,0,0.000906525182518972,"no"
"POLG2",5,0,0.000909859823951166,"no"
"AHCYL2",5,0,0.000931686318595125,"no"
"LIMK2",5,0,0.000962341123381249,"no"
"CDKN3",5,0,0.00100087735500231,"no"
"RHOC",5,0,0.0010299234563292,"no"
