"","#wt","#mut","pvalue","is_significant"
"DARS",5,0,2.63318256088496e-10,"yes"
"COPS8",5,0,4.08472700108575e-10,"yes"
"DDX19B",5,0,9.21719234270313e-09,"yes"
"WDR74",5,0,1.66645808263866e-08,"yes"
"PPP1CB",5,0,2.1867892718852e-08,"yes"
"PSAT1",5,0,3.61611909305282e-08,"yes"
"RTP1",4,1,5.21710292744615e-08,"yes"
"MCM6",5,0,5.68564325620358e-08,"yes"
"INTS4",5,0,7.0687673603409e-08,"yes"
"ARPC1A",5,0,1.32207323089162e-07,"yes"
"PPP1CC",5,0,1.77404105294876e-07,"yes"
"USP5",5,0,2.67208604354252e-07,"yes"
"WDR46",5,0,2.73741469380973e-07,"yes"
"ACTG1",5,0,3.11948409659202e-07,"yes"
"PRDM14",5,0,3.21207668241286e-07,"yes"
"PRPF6",5,0,3.37458928467704e-07,"yes"
"AATF",5,0,4.67927897540577e-07,"yes"
"UBASH3B",4,1,4.95778515907652e-07,"yes"
"ITGA1",5,0,5.2076699741388e-07,"yes"
"EEF2",5,0,5.37578189740984e-07,"yes"
"ATRIP",5,0,5.57760424513276e-07,"yes"
"FTSJ3",5,0,5.90427949642702e-07,"yes"
"CDK1",5,0,6.72267898238488e-07,"yes"
"STIL",5,0,6.74030707137341e-07,"yes"
"SERPINA3",5,0,7.39021309814625e-07,"yes"
"PRPF4B",5,0,8.07089312604425e-07,"yes"
"DDX59",5,0,9.14104848259711e-07,"yes"
"STC2",5,0,1.0808326442735e-06,"yes"
"PIP5K1B",5,0,1.10316692170098e-06,"yes"
"SNRPF",5,0,1.29929698056142e-06,"yes"
"RPP40",5,0,1.42104025580014e-06,"yes"
"RRM2",5,0,2.08488132280582e-06,"yes"
"RPS10",5,0,2.36203468928498e-06,"yes"
"RPS10-NUDT3",5,0,2.36203468928498e-06,"yes"
"RRP9",5,0,2.67807523601782e-06,"yes"
"EPB41L4A",5,0,3.13030465615149e-06,"yes"
"KDM5B",5,0,3.17643265512757e-06,"yes"
"KAT8",5,0,3.48006402584033e-06,"yes"
"USP7",5,0,4.25993747099618e-06,"yes"
"MKL2",4,1,5.52365857764414e-06,"yes"
"MEIS1",5,0,5.66760049680592e-06,"yes"
"ITGA8",5,0,6.53585992238526e-06,"yes"
"KLHL13",5,0,7.60110761066635e-06,"yes"
"FBXO5",5,0,8.14430147599854e-06,"yes"
"LGALSL",5,0,1.01742276200634e-05,"yes"
"PABPN1",5,0,1.0399024575225e-05,"yes"
"MMP14",5,0,1.1097705643337e-05,"yes"
"VPRBP",5,0,1.12420419217107e-05,"yes"
"NR1I3",5,0,1.1339076091299e-05,"yes"
"CDC27",5,0,1.30014841133175e-05,"yes"
"WDR36",4,1,1.34779379461492e-05,"yes"
"BRCA2",5,0,1.42783112361267e-05,"yes"
"CENPW",5,0,1.45528419778218e-05,"yes"
"NR1H2",5,0,1.45932187505249e-05,"yes"
