"","#wt","#mut","pvalue","is_significant"
"BRIX1",11,4,0.00109218396073483,"yes"
"BTNL9",13,2,0.00405801543255604,"no"
"MFN1",10,5,0.00637136212678893,"no"
"DNAJC2",13,2,0.0114235693122269,"no"
"FFAR1",13,2,0.0118281400667558,"no"
"FAM46C",13,2,0.0146574925612602,"no"
"DHX36",12,3,0.0178578022718207,"no"
"NSF",13,2,0.020199073723852,"no"
"LOC646214",13,2,0.0215114438508905,"no"
"EIF5A2",12,3,0.0226321461638664,"no"
"CCDC144C",12,3,0.0265203288531977,"no"
"UGT3A1",12,3,0.0306269899589256,"no"
"ATP1A1",13,2,0.0337930971558318,"no"
"DLST",13,2,0.0352453318182295,"no"
"TBC1D10C",12,3,0.0368995220026202,"no"
"ALKBH4",13,2,0.0370637267765628,"no"
"ERBB2",12,3,0.0378596058637569,"no"
"LRRC15",11,4,0.041964417266438,"no"
"PRRG4",13,2,0.0453327344696216,"no"
"MCF2L2",11,4,0.0538856830130174,"no"
"SEC62",12,3,0.0564557495672798,"no"
"SOX2",10,5,0.0609862466712942,"no"
"PIGZ",11,4,0.0654061740449046,"no"
"LRP5",12,3,0.0656774837305469,"no"
"VTCN1",13,2,0.0669227447002904,"no"
"OGDH",13,2,0.0682613361529127,"no"
"KIF5B",13,2,0.0689583320332514,"no"
"HUS1",13,2,0.07185357886023,"no"
"EGFR",9,6,0.0794277459469518,"no"
"FOXG1",12,3,0.0826550238610762,"no"
"CLDN15",13,2,0.0844041364379716,"no"
"LRRC4C",13,2,0.0852053154886466,"no"
"RANBP6",13,2,0.0856266343713369,"no"
"PPP1CA",12,3,0.0865442501380646,"no"
"RPS6KA5",13,2,0.0866761845881291,"no"
"GP5",11,4,0.0880188477683458,"no"
"KCNK7",13,2,0.0894821863122754,"no"
"KLHL28",13,2,0.089825621252305,"no"
"USP22",12,3,0.0900211597399149,"no"
"KIFC2",13,2,0.0909325169985444,"no"
"JARID2",13,2,0.0912675109166425,"no"
"IQCG",11,4,0.0942518487633428,"no"
"MFAP4",13,2,0.0949731865491789,"no"
"LRCH3",11,4,0.0962878093320542,"no"
"ASPN",13,2,0.0967338160425572,"no"
"ATP4A",13,2,0.100256665911469,"no"
"FOXA1",13,2,0.100739052111882,"no"
"MTMR12",13,2,0.102144446138076,"no"
"TNFAIP1",13,2,0.102283606777972,"no"
"SLC47A1",13,2,0.102495038783936,"no"
"C11orf24",12,3,0.105152918101429,"no"
"TSNARE1",13,2,0.107076686019055,"no"
"WIPI2",13,2,0.109358500636436,"no"
"SUCNR1",12,3,0.111713044816991,"no"
"ANO1",5,10,0.116832597547289,"no"
"EXT1",11,4,0.121670030991376,"no"
"FOXN1",13,2,0.122602548652539,"no"
"C3orf43",11,4,0.123076882180107,"no"
"TNFSF10",12,3,0.125016524912542,"no"
"FRMD8",12,3,0.127275885968119,"no"
"CD274",13,2,0.127946110665382,"no"
"RRM2B",13,2,0.128626500431489,"no"
"WSB1",13,2,0.129186990045559,"no"
"ARL17A",10,5,0.129276601037522,"no"
"ARL17B",10,5,0.129276601037522,"no"
"MMP27",13,2,0.1309964869725,"no"
"OR5AU1",13,2,0.132891878847869,"no"
"PPP2R5B",13,2,0.133105007816522,"no"
"OR4E2",13,2,0.133165524724188,"no"
"CPN2",11,4,0.136503632675897,"no"
"SLC35E3",13,2,0.137662448017668,"no"
"SALL2",13,2,0.139344162000625,"no"
"SLITRK3",12,3,0.142040467284614,"no"
"RICTOR",11,4,0.143536473748519,"no"
"MMP8",13,2,0.143881627027234,"no"
"CYP51A1",13,2,0.144592346384961,"no"
"ICK",13,2,0.147171078093251,"no"
"AGFG2",13,2,0.148138037144675,"no"
"RTP2",11,4,0.148490135782925,"no"
"DBF4",13,2,0.149068591272991,"no"
"MASP1",11,4,0.149155568132143,"no"
"FRS2",13,2,0.153208289444012,"no"
"GOLGA5",13,2,0.153884487234004,"no"
"TTC7B",13,2,0.153953132311039,"no"
