"","#wt","#mut","pvalue","is_significant"
"NFE2L2",10,5,0.000852464767159587,"yes"
"ZMYM5",13,2,0.00142377261149376,"yes"
"SRCAP",13,2,0.010645515123255,"no"
"SVEP1",12,3,0.0131488053844289,"no"
"SALL1",13,2,0.0158100710601656,"no"
"MTOR",13,2,0.0159047001417772,"no"
"CACNA2D2",13,2,0.0185885622709175,"no"
"DUOX2",13,2,0.0186680180919185,"no"
"CNR1",13,2,0.0208312526120697,"no"
"CYP4Z1",13,2,0.0220823276789298,"no"
"FLNA",13,2,0.0293608828346858,"no"
"STK39",13,2,0.0376719578953053,"no"
"LAMA5",13,2,0.0400655481648184,"no"
"FBXW10",13,2,0.0410404540540147,"no"
"STIL",12,3,0.0470675928428825,"no"
"FMN2",12,3,0.0497582406938899,"no"
"DCAF12L1",13,2,0.0503924942924089,"no"
"SLX4",11,4,0.0522369073494011,"no"
"POTEF",12,3,0.0524156527938439,"no"
"ATP13A5",13,2,0.0563966506925383,"no"
"EPB41L2",13,2,0.0568995965518771,"no"
"CSF1R",13,2,0.0582037516294585,"no"
"MDC1",12,3,0.0637373471805868,"no"
"BCLAF1",13,2,0.0641136041805311,"no"
"PLCE1",13,2,0.0641873442164598,"no"
"IFT122",13,2,0.064270599725523,"no"
"BANK1",13,2,0.0642895305444579,"no"
"ADCY1",13,2,0.066986772806079,"no"
"FAM83H",13,2,0.0676368894273211,"no"
"MBD5",13,2,0.0757711374421052,"no"
"SFMBT2",13,2,0.0758589007435378,"no"
"KIF27",13,2,0.077487016414473,"no"
"ATP8B3",12,3,0.0884228822978527,"no"
"HERC1",13,2,0.0895213316999523,"no"
"BAZ2B",13,2,0.0899179481434289,"no"
"CSMD1",12,3,0.0907244696374801,"no"
"WDR25",13,2,0.0908999860776467,"no"
"PCOLCE2",13,2,0.0912651821176845,"no"
"MYO3B",12,3,0.0931486290665434,"no"
"NFASC",13,2,0.0959817834812964,"no"
"RAET1G",13,2,0.0967241841780966,"no"
"CD109",13,2,0.0983427543898618,"no"
"GRID1",12,3,0.102027997756944,"no"
"PTPRZ1",12,3,0.103350517143123,"no"
"BARHL2",13,2,0.107321781463594,"no"
"ACAN",12,3,0.111416274676865,"no"
"TAF5",13,2,0.112332227974696,"no"
"TSC2",12,3,0.121007502519848,"no"
"PIGS",13,2,0.123418937612316,"no"
"MYO3A",13,2,0.123991651539498,"no"
"SDHA",12,3,0.126300279605055,"no"
"ABCA9",13,2,0.129104813714766,"no"
"CACNA1C",13,2,0.129399649391174,"no"
"COPG1",13,2,0.130030256742039,"no"
"HTR1B",13,2,0.132900515542677,"no"
"HADHA",13,2,0.137536258760323,"no"
"SALL2",13,2,0.138680149377861,"no"
"COL22A1",13,2,0.141406234485076,"no"
"ATP2A3",13,2,0.143202820647637,"no"
"ABCA5",12,3,0.147174333419365,"no"
"ATM",11,4,0.148041206428213,"no"
"ABCG5",13,2,0.148153316578379,"no"
"NOC2L",11,4,0.150837104918583,"no"
"ACCSL",11,4,0.151552786226345,"no"
"EML4",13,2,0.155564808816709,"no"
"TBC1D20",12,3,0.155857269846379,"no"
"GNAS",13,2,0.156429149857652,"no"
"MEGF8",12,3,0.157341302915019,"no"
"MAGEB16",13,2,0.157416092590163,"no"
"KIAA1549L",13,2,0.158568085037818,"no"
"STYK1",13,2,0.160492878071507,"no"
"ABCA8",12,3,0.161560948478273,"no"
"TEX15",12,3,0.167304583151783,"no"
"HDAC6",13,2,0.178530556108396,"no"
"CSNK1A1L",13,2,0.178980441398453,"no"
"PDE2A",13,2,0.182156854991762,"no"
"MACF1",9,6,0.184667944616984,"no"
"PRDM16",13,2,0.18739695273593,"no"
"XYLT2",13,2,0.190739368047501,"no"
"ABCC6",13,2,0.192346723202898,"no"
"ITGB4",13,2,0.194031902367996,"no"
"KDM2B",13,2,0.195231762947603,"no"
"HIC2",13,2,0.196673919322263,"no"
"UNC45A",11,4,0.197014097849523,"no"
"LRP1B",9,6,0.197902276507077,"no"
"CDC42BPG",13,2,0.198068102530575,"no"
"GUCY2D",13,2,0.1981824349714,"no"
"MYO15A",13,2,0.1998405833193,"no"
"CCRL2",13,2,0.200965666958011,"no"
"NOTCH2",13,2,0.201625006975311,"no"
"MAPKBP1",13,2,0.20170074177401,"no"
"TRIM27",13,2,0.201938863028596,"no"
"NSUN2",13,2,0.202589037189425,"no"
"GPR149",13,2,0.204074099135564,"no"
"NPSR1",13,2,0.205922044971329,"no"
"ZEB2",13,2,0.207478450484664,"no"
"TTC30A",13,2,0.208614913852152,"no"
"WDR27",13,2,0.209979283843659,"no"
"PNPLA7",11,4,0.210269802456484,"no"
"MCM4",13,2,0.212403157479763,"no"
"ATRX",13,2,0.215722373739581,"no"
"KIAA0226",13,2,0.216208358939001,"no"
"TCHH",13,2,0.218752194841328,"no"
"RAI1",13,2,0.219117402477663,"no"
"ITGB7",13,2,0.219909143467444,"no"
"GAB1",13,2,0.221250937329628,"no"
"PLEKHA4",13,2,0.223205014505951,"no"
"SATL1",13,2,0.224950296807091,"no"
"NGFR",13,2,0.226629778993437,"no"
"EPB41L3",13,2,0.227781201791492,"no"
"KIF2B",11,4,0.233829050592977,"no"
"MECOM",13,2,0.235491167813111,"no"
"XKR4",12,3,0.236466023170982,"no"
"MAP2K2",13,2,0.239752446265343,"no"
"LRRK2",13,2,0.242236699526228,"no"
"COL14A1",13,2,0.243674624884921,"no"
"CACNB2",12,3,0.243693012400416,"no"
"MYO9B",13,2,0.244092511393245,"no"
"MATN2",13,2,0.245871581815489,"no"
"IBTK",13,2,0.248058454015446,"no"
"DCAF8L2",13,2,0.250747270600681,"no"
"SH2D2A",13,2,0.251163163566289,"no"
"KIF19",13,2,0.253223490447899,"no"
"LGALS13",13,2,0.256319613226378,"no"
"ALDH16A1",13,2,0.260058961408165,"no"
"MYH9",13,2,0.267018300173403,"no"
"POLG",13,2,0.269384725515595,"no"
"EMILIN2",13,2,0.271677387944779,"no"
"GPRC6A",13,2,0.272791510398844,"no"
"IL7R",13,2,0.273338874798202,"no"
"ALS2",13,2,0.276426693873712,"no"
"NCOR1",13,2,0.27930141814102,"no"
"NIN",13,2,0.281476498548812,"no"
"PIP5K1B",13,2,0.285984413326701,"no"
"NPBWR1",12,3,0.286601475601414,"no"
"TTN",3,12,0.289881382507808,"no"
"MYO7A",13,2,0.293644504986887,"no"
"SACS",12,3,0.295694583567025,"no"
"ABCC2",12,3,0.298371074928313,"no"
"NCOA1",13,2,0.29884952772066,"no"
"ALG10B",13,2,0.304385060808398,"no"
"PLEKHG4",13,2,0.305312192132284,"no"
"COL5A2",13,2,0.305676299373929,"no"
"ITGA8",13,2,0.3058717557498,"no"
"ACACB",12,3,0.307104008183437,"no"
"KLHL29",13,2,0.308038906595109,"no"
"TET2",13,2,0.308181550404509,"no"
"ZFHX2",13,2,0.310687135397813,"no"
"HCN1",12,3,0.31243315210614,"no"
"SIX5",13,2,0.316167501147647,"no"
"SDK1",13,2,0.319344830408816,"no"
"KCTD20",13,2,0.320382864227214,"no"
"LRP1",12,3,0.321530595254033,"no"
"TRIO",10,5,0.326215448596337,"no"
"ASXL3",13,2,0.327172798924572,"no"
"MTR",13,2,0.327946825651933,"no"
"NUMB",13,2,0.330374733913721,"no"
"KLHL4",11,4,0.333606984229794,"no"
"FRY",12,3,0.334866425639651,"no"
"HGF",12,3,0.336294514302594,"no"
"STON1",13,2,0.337003683055622,"no"
"PDHA2",13,2,0.337458090063695,"no"
"GRIN2B",13,2,0.3422493172972,"no"
"PRKDC",11,4,0.346089718684967,"no"
"EP300",12,3,0.347538812118383,"no"
"CDH12",11,4,0.354414515946879,"no"
"TTC24",13,2,0.355293337184625,"no"
"COL24A1",12,3,0.359948348252979,"no"
"CR2",13,2,0.366109019471508,"no"
"LRRK1",12,3,0.366435751858781,"no"
"WDR46",13,2,0.367259112260835,"no"
"ARHGAP30",13,2,0.369274950845322,"no"
"NLRP12",13,2,0.369529615825397,"no"
"PIK3R2",13,2,0.372937619790048,"no"
"PROM1",11,4,0.377021273969415,"no"
"KALRN",11,4,0.377485195905026,"no"
"ANKRD27",13,2,0.378206066467692,"no"
"TMC4",13,2,0.378424125172724,"no"
"IGSF9B",13,2,0.378865220863201,"no"
"FUBP1",12,3,0.380156802088028,"no"
"WNK4",13,2,0.38270675705913,"no"
"ANPEP",12,3,0.382766804183014,"no"
"TAAR6",13,2,0.389615934040418,"no"
"POU3F4",13,2,0.393738399165973,"no"
"RASGRP1",13,2,0.397042218821661,"no"
"CDK13",13,2,0.399436854161655,"no"
"ITPKC",13,2,0.400630861483341,"no"
"CDK15",13,2,0.402389259051464,"no"
"MPPED2",13,2,0.404100428669051,"no"
"FPGT-TNNI3K",13,2,0.40432808419277,"no"
"CTTNBP2",13,2,0.405273745077441,"no"
"KLHL36",13,2,0.407489355040929,"no"
"SLC1A2",13,2,0.41282154096145,"no"
"PPFIA4",13,2,0.414574871527983,"no"
"GATA3",13,2,0.415856243721939,"no"
"MCM7",13,2,0.418232239812516,"no"
"ZRANB3",13,2,0.419281575450821,"no"
"KCNH5",13,2,0.420841811413721,"no"
"GRIN3A",13,2,0.42236843314046,"no"
"SMYD1",13,2,0.422839206391184,"no"
"ANKRD30B",11,4,0.42625934733069,"no"
"PITPNC1",13,2,0.42849823191215,"no"
"PKD1",12,3,0.429610239613336,"no"
"GPR68",13,2,0.430800915668353,"no"
"ATP10B",13,2,0.430871346944302,"no"
"ASTN2",13,2,0.434189497327394,"no"
"ZDHHC17",13,2,0.434577560110876,"no"
"MYOM2",13,2,0.43713958756269,"no"
"LRCH4",13,2,0.438593450229045,"no"
"WDR63",13,2,0.439841110962082,"no"
"ITIH2",11,4,0.440436908442531,"no"
"KAT6B",13,2,0.441473718294357,"no"
"ZAP70",13,2,0.442146308080034,"no"
"MAPK10",13,2,0.44275838251235,"no"
"ATAD2B",13,2,0.444438608968129,"no"
"TEP1",13,2,0.444484173701162,"no"
"RFC5",13,2,0.445203197092412,"no"
"TBX5",13,2,0.445274098199984,"no"
"MRGPRX1",13,2,0.448045883866319,"no"
"PKHD1L1",10,5,0.448988206643948,"no"
"GNA14",12,3,0.45232662758596,"no"
"BTAF1",13,2,0.455376881559182,"no"
"PSTPIP1",13,2,0.456480178297352,"no"
"DNAI1",13,2,0.457945068920662,"no"
"ASXL1",13,2,0.459965476592969,"no"
"BAI3",13,2,0.467227162680971,"no"
"POU4F3",13,2,0.467619940495759,"no"
"HIVEP3",11,4,0.468273759229777,"no"
"NACC2",13,2,0.469160800213316,"no"
"ABCC12",13,2,0.47184072809133,"no"
"COL5A1",12,3,0.474044821494331,"no"
"ABCA12",12,3,0.474307192992291,"no"
"EGFR",13,2,0.477005619684501,"no"
"KCNA3",13,2,0.477118065431299,"no"
"IGSF9",13,2,0.477123176653829,"no"
"TRIM28",13,2,0.477399189212445,"no"
"GLTSCR2",13,2,0.478651626946903,"no"
"NDN",13,2,0.480379885627242,"no"
"KIF17",13,2,0.480773663695663,"no"
"ABCC3",13,2,0.481208379489295,"no"
"RANBP2",11,4,0.481293077462144,"no"
"POLE",11,4,0.481457623026787,"no"
"CHD8",13,2,0.481458992410745,"no"
"COL1A1",11,4,0.481561970560851,"no"
"ABCB1",13,2,0.48274799305432,"no"
"CBS",13,2,0.483244213686931,"no"
"RICTOR",13,2,0.483633026591801,"no"
"STK31",13,2,0.488361514915465,"no"
"TG",12,3,0.497003270849177,"no"
"ASPHD2",13,2,0.498197352416237,"no"
"TRPM1",13,2,0.49920621794677,"no"
"RUNX2",10,5,0.499563654932899,"no"
"LRP4",13,2,0.502924161963271,"no"
"ERBB4",13,2,0.503062429162531,"no"
"IGSF3",13,2,0.503507953807398,"no"
"RNF111",13,2,0.504424590924794,"no"
"PAK7",13,2,0.505315597210768,"no"
"ZNF76",13,2,0.508275122317174,"no"
"PCDH7",13,2,0.509616471252732,"no"
"OR2B11",13,2,0.50987755913314,"no"
"SPEG",13,2,0.510496982651792,"no"
"COL6A1",13,2,0.513813672824857,"no"
"FLT3",13,2,0.513818790385054,"no"
"GPBAR1",13,2,0.51602418885158,"no"
"SMARCC1",13,2,0.52031044960966,"no"
"ARHGEF11",13,2,0.522018075749186,"no"
"ARNTL",13,2,0.524900509447035,"no"
"FRAS1",12,3,0.526112596491959,"no"
"BRCA2",12,3,0.526335598941204,"no"
"PIK3C2G",12,3,0.527332458254902,"no"
"DGKQ",12,3,0.528420955265135,"no"
"BCAN",13,2,0.530512589114348,"no"
"FARP1",13,2,0.532589205596392,"no"
"CDC42BPA",13,2,0.533491982014016,"no"
"CAND1",13,2,0.533838757689737,"no"
"TRMT61A",13,2,0.534200799992858,"no"
"CCR6",13,2,0.534414950182115,"no"
"NRN1",13,2,0.535821927498677,"no"
"CIITA",13,2,0.536489548625057,"no"
"JMJD8",13,2,0.542365259893121,"no"
"APCDD1L",12,3,0.542825712928306,"no"
"STXBP5",13,2,0.543001084546618,"no"
"CDCP1",13,2,0.544567200598251,"no"
"OBSCN",7,8,0.545052905161883,"no"
"OR10J1",13,2,0.545807314099123,"no"
"RUNX1T1",12,3,0.547399143158638,"no"
"HFM1",13,2,0.550189155195293,"no"
"SEMA4F",13,2,0.550584852554743,"no"
"KIAA1239",13,2,0.551893275230763,"no"
"FOXG1",13,2,0.554006646733575,"no"
"ABCA6",13,2,0.556178961287858,"no"
"PLXNC1",12,3,0.558962631161481,"no"
"SP4",13,2,0.559880974355095,"no"
"PDGFRA",13,2,0.564293113923687,"no"
"CDH4",13,2,0.564293113946238,"no"
"WDR62",13,2,0.565296429670175,"no"
"C7",13,2,0.567085044024948,"no"
"ANKRD17",12,3,0.567887870365156,"no"
"REV3L",12,3,0.568354735508814,"no"
"LPHN3",13,2,0.570375912148067,"no"
"RASAL3",13,2,0.572270380364344,"no"
"ROBO2",13,2,0.573334859036467,"no"
"ABCA7",13,2,0.57464953756157,"no"
"PYGO1",13,2,0.574890290923636,"no"
"LINGO2",13,2,0.577491349920129,"no"
"GLIS3",12,3,0.57782794907669,"no"
"SQSTM1",13,2,0.579228230208263,"no"
"CDC23",12,3,0.580912353615857,"no"
"L3MBTL1",13,2,0.581957568462706,"no"
"SSH2",13,2,0.584133780451147,"no"
"CHD9",13,2,0.585170931126133,"no"
"PNPLA6",13,2,0.585524802463496,"no"
"VCAN",10,5,0.589007327349103,"no"
"KCNC3",13,2,0.589347422933141,"no"
"EPHA7",13,2,0.590445636012439,"no"
"LILRA6",12,3,0.592497998438308,"no"
"PAPPA2",13,2,0.594037652866679,"no"
"KIFC3",13,2,0.596592207066022,"no"
"SMARCA4",12,3,0.598052984441561,"no"
"SETD2",12,3,0.598449090201834,"no"
"CPVL",13,2,0.599457985618656,"no"
"SEZ6L",13,2,0.601204113109891,"no"
"GRIN3B",13,2,0.602480188889278,"no"
"PRDM9",13,2,0.602952858445028,"no"
"SLC4A8",13,2,0.604025572218003,"no"
