"","#wt","#mut","pvalue","is_significant"
"BAZ2B",13,2,0.0210456460136902,"yes"
"ARID4A",13,2,0.145792247829173,"no"
"ABCA13",12,3,0.241949325235552,"no"
"ARID1A",13,2,0.258110146691543,"no"
"CATSPERG",13,2,0.296454030703503,"no"
"ORC5",13,2,0.304291975431073,"no"
"C6",13,2,0.305769578242916,"no"
"NOTCH1",13,2,0.311161591472846,"no"
"TTN",12,3,0.317111278099205,"no"
"CORO7",13,2,0.324002532995392,"no"
"COL7A1",12,3,0.346375587272458,"no"
"NOMO2",13,2,0.358984711271715,"no"
"COL3A1",13,2,0.368266528346422,"no"
"DNAH5",13,2,0.385458705396094,"no"
"MEF2A",13,2,0.408049994234452,"no"
"ZNF609",13,2,0.468665827633034,"no"
"AKR1B15",13,2,0.478805004074818,"no"
"ZFHX4",13,2,0.499426428250194,"no"
"HIVEP3",13,2,0.525406314901564,"no"
"CSMD3",13,2,0.539235181810421,"no"
"LRP1B",13,2,0.544379105702652,"no"
"FNIP1",12,3,0.551745129753502,"no"
"ABCA9",13,2,0.568987782843778,"no"
"RABL2B",12,3,0.594048496042877,"no"
"RNF4",13,2,0.604197713766363,"no"
"JMJD1C",13,2,0.610134465477497,"no"
"STARD9",13,2,0.611650847985701,"no"
"CFH",13,2,0.617794213190936,"no"
"ATP10A",13,2,0.632884721829884,"no"
"EXO1",13,2,0.64595590977681,"no"
"PWWP2A",13,2,0.656466783059168,"no"
"SMAD4",13,2,0.687758479039422,"no"
"ANKRD30B",13,2,0.701084535387842,"no"
"NEK3",13,2,0.771695827689469,"no"
"TP53",8,7,0.791476327909284,"no"
"DDX54",12,3,0.795915341895202,"no"
"ITGB5",13,2,0.821871459045969,"no"
"CHD8",12,3,0.830019494960093,"no"
"STXBP5",13,2,0.831361020376802,"no"
"COPS8",13,2,0.836359348515043,"no"
"DHX36",13,2,0.967736340357438,"no"
"CTDP1",12,3,0.969705538326731,"no"
"LRP8",13,2,0.978415330955521,"no"
