"","#wt","#mut","pvalue","is_significant","tcga_pvalue","tcga_tumor_vs_normal"
"MKI67IP",15,0,1.05982131761916e-12,"yes",NA,NA
"KRT1",13,2,8.03689439673576e-11,"yes",0.587574499409027,"down"
"CDC42BPA",13,2,2.1708731497863e-09,"yes",0.0531896518359323,"down"
"SMC1A",15,0,2.77739853979821e-09,"yes",5.35165014838913e-05,"up"
"CABP5",15,0,7.11119692110589e-09,"yes",0.425293693421675,"down"
"FTSJ3",15,0,8.01570644738208e-09,"yes",0.00456376107075281,"up"
"SLC35B2",15,0,2.54513334112015e-08,"yes",0.000162071083869255,"up"
"THBS2",14,1,2.62149593554798e-08,"yes",0.000114509621016868,"up"
"CDC40",13,2,3.27980530033702e-08,"yes",0.987957061919525,"down"
"TNS3",13,2,4.38399617706039e-08,"yes",0.478528464107989,"down"
"AKR1A1",15,0,7.07291348253624e-08,"yes",0.915435782561827,"up"
"BET1",14,1,7.80795033108418e-08,"yes",1.13569935820139e-05,"up"
"MPP7",14,1,1.64818397506338e-07,"yes",0.0445909148389006,"down"
"AIFM1",15,0,1.70230932163785e-07,"yes",0.41430308016995,"down"
"BTD",14,1,2.07977217340855e-07,"yes",0.00159757453691281,"down"
"DDX4",13,2,2.67885807369141e-07,"yes",0.941346428359535,"up"
"GNL3",15,0,2.98764589158869e-07,"yes",0.0289222325167096,"up"
"DDX43",14,1,3.1035443176099e-07,"yes",0.0189229211317638,"up"
"WDR16",14,1,3.7540197040047e-07,"yes",NA,NA
"SKIV2L2",13,2,3.82317802162831e-07,"yes",0.175510301285461,"up"
"LRRC7",15,0,3.84361852602058e-07,"yes",0.156843804374572,"down"
"UBE2MP1",14,1,5.07734122645099e-07,"yes",0.0724960369784981,"up"
"CDKN1B",14,1,5.33555055884193e-07,"yes",0.462851291855525,"up"
"XRCC5",15,0,6.45932549247138e-07,"yes",0.00174056512101783,"up"
"CHRNA5",15,0,9.46201563511855e-07,"yes",0.0427260833458641,"up"
"FBXO5",15,0,9.62826220854317e-07,"yes",1.37795671081188e-06,"up"
"COLEC10",10,5,1.05483028745261e-06,"yes",0.000182971962728877,"up"
"TYMP",14,1,1.09145037607979e-06,"yes",4.69156445982985e-17,"up"
"UBE2M",14,1,1.27041004787554e-06,"yes",3.47985577861638e-07,"up"
"ESCO2",15,0,1.38493175190603e-06,"yes",0.00137941547449888,"up"
"UBE2L3",14,1,1.59942446812879e-06,"yes",4.27602508430477e-05,"up"
"HOXD8",14,1,1.83549443047775e-06,"yes",9.2675806566354e-08,"up"
"WNT5B",14,1,1.89870802119188e-06,"yes",0.156798811912763,"up"
"GABRA6",14,1,2.33884522704258e-06,"yes",0.869243886982016,"up"
"B4GALNT3",14,1,2.54399505278576e-06,"yes",0.0100232981315783,"down"
"NEDD4",13,2,2.59705749629257e-06,"yes",0.0134641310459057,"up"
"HLA-C",15,0,2.81004861827144e-06,"yes",0.019494796667228,"up"
"TMEM65",11,4,2.96962745106738e-06,"yes",9.30120469040293e-15,"up"
"CCBL1",15,0,3.1034961454167e-06,"yes",NA,NA
"SLA2",15,0,3.12138710844691e-06,"yes",0.252277848743391,"up"
"SMN1",15,0,3.18084762037938e-06,"yes",1.93286944222198e-10,"up"
"SMN2",15,0,3.18084762037938e-06,"yes",0.0435802286262739,"up"
"POLG",13,2,3.26237993018532e-06,"yes",0.295345157165319,"up"
"BTN3A2",14,1,3.29195568468411e-06,"yes",0.702474101149579,"up"
"STC2",15,0,3.46729877359509e-06,"yes",2.38274587870548e-14,"up"
"AKR1C2",15,0,3.61418762230859e-06,"yes",0.0425755612668881,"up"
"OXA1L",12,3,4.01366406587359e-06,"yes",0.540047040209986,"up"
"RPP40",14,1,4.30593603751083e-06,"yes",0.000307213939743518,"up"
"TP63",12,3,5.50964379095943e-06,"yes",6.69195888596683e-09,"up"
"TRPM7",15,0,5.89892880664422e-06,"yes",0.847584114913208,"up"
"RRP9",15,0,6.18726341660159e-06,"yes",2.78229260034414e-05,"up"
"ATOX1",15,0,6.4684335809698e-06,"yes",0.00532643492247422,"up"
"PTGER3",15,0,6.51642963604301e-06,"yes",0.0180701093301284,"down"
"SULT6B1",15,0,7.51939708068136e-06,"yes",0.67462359396135,"down"
"MED21",15,0,7.9287266150532e-06,"yes",0.0101897224112712,"up"
"UBQLN2",15,0,8.25072641522627e-06,"yes",0.00762164546992847,"up"
"NR1H2",15,0,8.84349985667414e-06,"yes",0.207039660154612,"up"
"BTN3A1",13,2,9.38652374596347e-06,"yes",0.936419313107404,"up"
"FANCD2",13,2,9.54278531762479e-06,"yes",0.000159080670325507,"up"
"EMD",15,0,9.57630965441914e-06,"yes",5.50928847349296e-06,"up"
"IL1RAP",11,4,1.04059486601681e-05,"yes",5.83985386198242e-07,"up"
"PMP2",14,1,1.04856438541063e-05,"yes",0.122900612955622,"down"
"GPR146",14,1,1.10380862219683e-05,"yes",0.00830545962828455,"down"
"EPSTI1",15,0,1.12006708358083e-05,"yes",0.00016836719638126,"up"
"NAA15",15,0,1.14842421230225e-05,"yes",0.000152938221105154,"up"
"HNRPDL",15,0,1.19731305524859e-05,"yes",NA,NA
"WDR1",12,3,1.22351862580287e-05,"yes",0.397324648028972,"up"
"RBM28",14,1,1.29962921940722e-05,"yes",0.00655913185370536,"up"
"WDR11",14,1,1.3077439629068e-05,"yes",0.818293147346024,"down"
"SH2D3C",15,0,1.37991168204149e-05,"yes",0.877059340240193,"up"
"DND1",15,0,1.5695563562689e-05,"yes",NA,NA
"RBMX2",15,0,1.66890828821317e-05,"yes",3.4679818531657e-05,"up"
"PWP2",13,2,1.7070033216606e-05,"yes",0.938713231825588,"up"
"FEN1",14,1,1.74288123847335e-05,"yes",1.52018345213343e-06,"up"
"DDX51",15,0,2.08746010012026e-05,"yes",0.00118534106605891,"up"
"CFL1",13,2,2.39706524249655e-05,"yes",0.000589034310354993,"up"
"RPP14",15,0,2.47290156639899e-05,"yes",0.0905699595575435,"down"
"MAD1L1",13,2,2.49564106912475e-05,"yes",0.00904717386293856,"up"
"ACOX3",14,1,2.64803339948509e-05,"yes",0.057133423777723,"down"
"CDC14A",14,1,2.70305405503854e-05,"yes",0.173964010149152,"down"
"ELL3",15,0,2.73136936801909e-05,"yes",0.196975514612343,"up"
"PRDX5",15,0,2.79489500022751e-05,"yes",0.17981754340708,"down"
"IL1RL1",15,0,2.89073097709585e-05,"yes",0.115452471252041,"down"
"LGALS16",14,1,2.92632498908367e-05,"yes",0.437039699269444,"up"
"RRAS",15,0,2.94028496226811e-05,"yes",0.539383018550919,"up"
"MPHOSPH8",13,2,2.95425468563319e-05,"yes",0.0757542194403152,"down"
"KIF12",15,0,3.0491167933613e-05,"yes",0.231280668282071,"up"
"BTBD8",14,1,3.06583942949008e-05,"yes",NA,NA
"CD7",14,1,3.26411191905581e-05,"yes",0.0132736535785961,"up"
"FOXE1",13,2,3.27267647076673e-05,"yes",0.124340991401754,"up"
"CDH1",14,1,3.27710823770799e-05,"yes",0.769057855179937,"up"
"KDSR",12,3,3.30434096236878e-05,"yes",0.0102278030995864,"up"
"UBE2N",15,0,3.57346537634638e-05,"yes",8.22605837326796e-06,"up"
"URI1",14,1,3.63474547573046e-05,"yes",0.000291749871559043,"up"
"ARL11",15,0,3.63864719663222e-05,"yes",7.50975069346408e-05,"up"
"ATRIP",15,0,3.899875457571e-05,"yes",0.109954483492551,"up"
"CAMK2B",12,3,3.91323386446557e-05,"yes",0.725400670419599,"up"
"PCSK7",14,1,3.91353732699442e-05,"yes",0.0415811007775784,"down"
"HPN",14,1,3.93448248726151e-05,"yes",0.0245921322776772,"down"
"WDR36",15,0,4.22638540881234e-05,"yes",0.000344425382930194,"up"
"PPP3CA",14,1,4.36171248459565e-05,"yes",0.417014136803819,"down"
"TWIST1",12,3,4.38623514232754e-05,"yes",3.56726360281855e-10,"up"
"FRMD6",14,1,4.56436986955535e-05,"yes",0.0727474685394311,"up"
"SDHAF2",14,1,4.8530933939442e-05,"yes",3.42495964032901e-05,"up"
"TP53BP1",15,0,4.97911920319222e-05,"yes",0.0344114162151214,"up"
"XPR1",14,1,5.54233184589566e-05,"yes",4.29655212334404e-06,"up"
"RPP38",15,0,5.64558425270201e-05,"yes",0.00180575116761118,"up"
"SRP19",15,0,5.87632556034908e-05,"yes",0.00155959059348403,"up"
"NUP43",15,0,5.94799590045469e-05,"yes",0.161628585286715,"up"
"FRMD7",15,0,6.3082432164499e-05,"yes",0.506869190135466,"up"
"FANCC",12,3,6.64934447469032e-05,"yes",0.00133088410172046,"up"
"SRGAP1",15,0,7.45237583051639e-05,"yes",0.00163671903175147,"up"
"RAB36",15,0,7.52213525773633e-05,"yes",0.00212804708681554,"up"
"DARS",15,0,7.62422743629254e-05,"yes",2.52501084808396e-08,"up"
"MBOAT1",14,1,7.87639340576445e-05,"yes",0.342861251753639,"down"
"TAAR6",13,2,8.23252251378731e-05,"yes",0.779276605449332,"down"
"TBC1D23",15,0,8.39119536670663e-05,"yes",0.000179529811317985,"up"
"GTF3C3",14,1,8.61436489171198e-05,"yes",1.61146688729888e-05,"up"
"DDX10",13,2,8.65370059759022e-05,"yes",6.24127574824125e-05,"up"
"CHRNB1",13,2,8.65673494762913e-05,"yes",0.000436437888368498,"up"
"ARHGAP42",11,4,9.21587448473012e-05,"yes",0.390861958325728,"down"
"TSC1",14,1,9.66998678359851e-05,"yes",0.135133316637789,"down"
"ARHGAP39",13,2,9.75655690479737e-05,"yes",3.90181384123961e-07,"up"
"STAG3L3",14,1,0.000100825302574762,"yes",0.00733357651528802,"up"
"RARA",14,1,0.00010095780767743,"yes",0.0107614386219351,"up"
"GABRR3",14,1,0.00010122329464095,"yes",0.931021963475535,"down"
"PLIN1",14,1,0.000108282844788524,"yes",0.0200686518540961,"down"
"PTPDC1",13,2,0.000109745308723552,"yes",0.931323365211702,"up"
"CLP1",13,2,0.000116240318254852,"yes",0.000100104274316334,"up"
"USPL1",14,1,0.000116504326790081,"yes",0.050749066656316,"up"
