"","#wt","#mut","pvalue","is_significant","tcga_pvalue","tcga_tumor_vs_normal"
"ITGAV",13,2,7.13309411537466e-11,"yes",0.00352561051243149,"up"
"SRSF4",14,1,2.13133843907087e-10,"yes",9.64691575538177e-05,"up"
"OR2T5",14,1,4.9536191815136e-09,"yes",0.0151606743184157,"up"
"MSI2",15,0,1.55135917001559e-07,"yes",0.00494464827569956,"up"
"CNKSR1",14,1,2.36548264864744e-07,"yes",0.347491302218713,"up"
"LOC100653057",15,0,5.09931787573414e-07,"yes",NA,NA
"SUSD5",15,0,7.24136190788371e-07,"yes",0.714041421557065,"down"
"CPS1",14,1,8.47286787619694e-07,"yes",0.0730167724835643,"up"
"HIST1H2BB",14,1,8.56249396052888e-07,"yes",0.0161298374603449,"up"
"FERMT2",12,3,8.97334654803572e-07,"yes",0.241816553888342,"down"
"H6PD",15,0,1.01479815217687e-06,"yes",0.190289326833779,"down"
"ITGB5",11,4,1.4672470937116e-06,"yes",0.0382869723476127,"up"
"OR2T29",13,2,1.49534723636879e-06,"yes",0.0338737956964584,"up"
"RNF8",15,0,3.09586949820417e-06,"yes",0.000982333623684852,"up"
"IKBKB",13,2,3.36619944774075e-06,"yes",4.99517548457114e-05,"up"
"CES1",13,2,4.95867042005216e-06,"yes",0.0203736085064273,"up"
"HTR2C",15,0,6.41326137429399e-06,"yes",0.00389095140355465,"up"
"UTS2D",11,4,9.09906574686481e-06,"yes",NA,NA
"ADRM1",14,1,1.13108939557849e-05,"yes",2.38959067314649e-08,"up"
"DIRAS1",13,2,1.34127384048277e-05,"yes",0.0223230965481726,"down"
"SLC12A7",13,2,1.41189767576266e-05,"yes",0.0323789056161085,"up"
"HTR1B",13,2,1.4993077611769e-05,"yes",0.21698854379582,"down"
"CDC42",15,0,1.91936165533368e-05,"yes",0.021854914911412,"up"
"SEMA6C",15,0,2.3456707545777e-05,"yes",0.340050536668608,"up"
"RAB11A",15,0,2.36311144278245e-05,"yes",0.815593890038409,"down"
"FGD6",14,1,2.37567797327642e-05,"yes",2.25989302208809e-06,"up"
"LETM2",15,0,2.41105799999586e-05,"yes",0.00449565299324799,"up"
"SLC25A13",13,2,2.57876527584022e-05,"yes",0.00185419761662621,"up"
"DHRS11",14,1,2.59213404102399e-05,"yes",0.919768894242306,"down"
"GPX4",13,2,2.63046229169728e-05,"yes",1.00507527211424e-07,"up"
"TNFRSF25",15,0,2.65244224791905e-05,"yes",8.04276135888282e-05,"up"
"PBX3",15,0,2.71806736081848e-05,"yes",0.75270667236566,"down"
"TINF2",13,2,2.95880798749648e-05,"yes",0.173587913194803,"up"
"SERPINC1",15,0,4.22211789048443e-05,"yes",0.848660369914686,"up"
"GABRR1",15,0,4.53060369173253e-05,"yes",0.0254001872201955,"up"
"MAGOHB",15,0,5.43572611351184e-05,"yes",3.65871518682329e-06,"up"
"SRSF12",15,0,5.64187115876802e-05,"yes",0.988963508350769,"down"
"MDM2",13,2,5.97778116930847e-05,"yes",0.0459217928124436,"up"
"ARHGEF15",14,1,6.19169952279508e-05,"yes",0.321481203177623,"down"
"BTG1",15,0,6.25296103905493e-05,"yes",0.000546580759087235,"up"
"ULK4",14,1,6.29855689942005e-05,"yes",0.270063306189954,"up"
"SPOP",15,0,6.64299483681408e-05,"yes",0.931980316539551,"down"
"MC1R",14,1,6.69508798887275e-05,"yes",9.78754497677038e-05,"up"
"UGT8",15,0,7.67082705134259e-05,"yes",0.206029024373914,"up"
"CPD",14,1,7.99612356824353e-05,"yes",0.611092606562934,"down"
"EMP1",14,1,8.09310261993268e-05,"yes",0.517235295852894,"down"
"BTAF1",13,2,8.43479053971308e-05,"yes",0.57567534517742,"up"
"TERF1",15,0,8.44744337273884e-05,"yes",0.192132071339515,"up"
"ARHGEF26",12,3,8.52157704034351e-05,"yes",0.22488880293878,"down"
"IL6R",15,0,9.1037421618867e-05,"yes",0.423100070370679,"down"
"SCAF4",15,0,9.1875300949118e-05,"yes",0.0204872953275471,"up"
"TEX15",11,4,0.0001092554050377,"yes",2.82793041223741e-05,"up"
"BCAS3",15,0,0.000109845169127487,"yes",0.0955196204294303,"up"
"FZD3",15,0,0.000111254095806479,"yes",0.923530083868729,"down"
"TMED10P1",13,2,0.000114349853204576,"yes",NA,NA
"SLC24A6",15,0,0.000116803421171707,"yes",NA,NA
"CYP2C18",15,0,0.000118147517379597,"yes",0.0486713196072064,"down"
"WEE1",14,1,0.000121313889693608,"yes",0.00444311324570338,"up"
"TGFB2",13,2,0.00013534964411599,"yes",1.91893428371399e-06,"up"
"PKMYT1",14,1,0.000141918056230317,"yes",7.64513219431e-11,"up"
"HSDL2",15,0,0.000142834778971368,"yes",0.0530128209104208,"down"
"TBC1D2B",15,0,0.000143356762039137,"yes",0.58726754346637,"down"
"AGTR1",14,1,0.000143691214909869,"yes",0.176173058901491,"down"
"GNL1",13,2,0.000153857328989426,"no",0.00906850688127994,"up"
"MYF5",15,0,0.000171941105410411,"no",0.904452844865479,"down"
"NLGN3",15,0,0.000173853642437938,"no",0.190756745763702,"down"
"CTNNB1",15,0,0.000176627006204688,"no",0.0020850548371789,"up"
"ZMYM5",12,3,0.000196627389018489,"no",1.0709682064918e-05,"up"
"CDKL2",15,0,0.000199835432389883,"no",0.514071575782647,"down"
"ASCL4",14,1,0.000201312979385082,"no",0.326756689593775,"up"
"ACADL",15,0,0.000202624977610921,"no",0.00459718328051445,"down"
"RECQL",15,0,0.000226382041726536,"no",1.33468585323879e-05,"up"
"MFSD10",14,1,0.000228717807715495,"no",0.0389669330109247,"up"
"CEACAM16",15,0,0.000229640442261925,"no",0.360344540352077,"down"
"MADD",14,1,0.000233293051218109,"no",0.706062889387387,"down"
"ADCY7",15,0,0.000237180008373139,"no",0.00242542361839893,"up"
"STON1-GTF2A1L",15,0,0.000237939297113909,"no",0.154817182101997,"down"
"EPHA3",14,1,0.000239401300771824,"no",0.553884304542382,"down"
"GHSR",11,4,0.000246034506755421,"no",0.843650132406119,"down"
"ARX",15,0,0.000250464690802144,"no",0.234773209245435,"down"
"ANGPTL4",13,2,0.00025150958660014,"no",0.976382908766523,"up"
"PRSS23",15,0,0.00025293821637018,"no",0.499990659319064,"down"
"ARL3",15,0,0.000254036513262723,"no",0.51672303044882,"up"
"MPZ",15,0,0.000258920695417886,"no",0.48937071993244,"down"
"HCLS1",13,2,0.000271095995787118,"no",0.00480847242173745,"up"
"NYX",15,0,0.000273382856247006,"no",0.796147800058944,"down"
"MICB",15,0,0.00028342775997614,"no",1.86851096364015e-09,"up"
"RASL11A",14,1,0.000289391774448533,"no",0.537478373249481,"down"
"CYP51A1",13,2,0.000289681991653024,"no",0.0209436152049895,"up"
"TJP1",13,2,0.000298046957835307,"no",0.671122178698881,"up"
"STON1",13,2,0.000300570475982753,"no",0.296976874212173,"down"
"PFKFB1",15,0,0.000306002695783292,"no",0.0270738106510554,"up"
"ZNF192",14,1,0.000307772053450339,"no",NA,NA
"SAFB",13,2,0.00032326215373335,"no",0.000170499795541188,"up"
"SMARCA1",14,1,0.000328943468418386,"no",0.998347566361203,"down"
"IQCG",11,4,0.000348627573264926,"no",0.173346382836199,"up"
"SLC39A10",14,1,0.000350087860524706,"no",9.47994447168046e-09,"up"
"YIF1B",14,1,0.000351835481018137,"no",4.67161156216185e-10,"up"
"GPHN",13,2,0.000353414331884072,"no",0.197202232934406,"down"
"PKIA",15,0,0.000359315211982292,"no",0.805863370235397,"up"
"ABCC9",14,1,0.000364184992167838,"no",0.292634849320667,"down"
"DAZ1",15,0,0.000367128416845719,"no",0.259813956057451,"down"
"DAZ3",15,0,0.000367128416845719,"no",0.929681582497053,"up"
"DAZ2",15,0,0.000367128416845719,"no",0.297023902906908,"down"
"DAZ4",15,0,0.000367128416845719,"no",0.956119392585855,"up"
"JAG1",14,1,0.000368351918888843,"no",9.26391930835455e-07,"up"
"IP6K2",14,1,0.000368996790446885,"no",0.585041742599674,"up"
"HSD17B6",15,0,0.000376875040472013,"no",0.402450872235205,"down"
"TPM3",15,0,0.000389009459150325,"no",0.000557547074202563,"up"
"PSKH2",15,0,0.000393459328100865,"no",0.854769865872225,"down"
"OR51E1",14,1,0.000400828922310192,"no",0.0951745624016519,"up"
"DUSP11",15,0,0.00043027740477497,"no",0.000223989027998993,"up"
"ATP8B2",13,2,0.000449469733656116,"no",0.532992021788342,"down"
"KDM5A",13,2,0.000478597126087665,"no",0.0421786299539242,"up"
"ULK1",13,2,0.000486356144210998,"no",0.893585549687015,"down"
"HK3",14,1,0.000494675774925013,"no",0.0303356420340432,"up"
"TMEM230",15,0,0.000503092408341677,"no",0.232135008073264,"up"
"MYSM1",14,1,0.000505286562820229,"no",0.150130246121947,"up"
"PCDH9",14,1,0.000549964560469407,"no",0.00928653753006337,"down"
"NR5A2",15,0,0.000557633400098956,"no",0.00328375421508102,"up"
"PHF1",15,0,0.000567579370514326,"no",0.606489548911226,"down"
"IFNA1",12,3,0.000578597650522927,"no",0.846339819392979,"up"
"IFNA13",12,3,0.000578597650522927,"no",0.980629542568517,"up"
"OR2AT4",15,0,0.000642649163609565,"no",0.380100211959969,"down"
"MYF6",15,0,0.00064383939614876,"no",0.315587881243045,"up"
"SMEK2",15,0,0.000646396590146203,"no",NA,NA
"FOXJ3",15,0,0.000662980341936237,"no",0.437123876154467,"up"
"FTO",14,1,0.000675846809962577,"no",0.304221170060152,"up"
"AVPR1B",14,1,0.000703043775120205,"no",0.0445080851300854,"down"
"RASGRP4",14,1,0.000723095583265998,"no",0.768737395629508,"down"
"RAB9A",15,0,0.000735895687775878,"no",0.0178266288056247,"up"
"GNA11",13,2,0.000736161172780192,"no",0.481935900256452,"up"
"EZH2",15,0,0.000747881623877511,"no",1.38874405456118e-08,"up"
"RBMY1A1",15,0,0.000767185363209189,"no",0.30538188089865,"up"
"RBMY1F",15,0,0.000767185363209189,"no",0.2364946216047,"up"
"RBMY1B",15,0,0.000767185363209189,"no",NA,NA
"RBMY1D",15,0,0.000767185363209189,"no",NA,NA
"RBMY1E",15,0,0.000767185363209189,"no",0.318820459438151,"up"
"RBMY1J",15,0,0.000767185363209189,"no",0.318820459438151,"up"
"LGR6",15,0,0.000770379164746982,"no",0.854554526627242,"down"
"ARHGEF12",12,3,0.000781749088044958,"no",0.393913405641529,"down"
"ROS1",14,1,0.000801155809615928,"no",5.99136623869345e-05,"up"
"ECHDC1",14,1,0.000810934608676206,"no",0.664281564071361,"up"
"CHST9",14,1,0.000822367665443635,"no",0.74253069709534,"up"
"TRPM6",14,1,0.000829029159683414,"no",0.028214764973514,"up"
"CRLF2",15,0,0.00083337565590702,"no",0.770291938976821,"down"
"BRI3",10,5,0.000835965522350879,"no",0.118099405780918,"up"
"CDK4",15,0,0.000839620405371555,"no",1.83961089033899e-10,"up"
"STARD7",14,1,0.000848394197824454,"no",0.00408057715872285,"up"
"TAAR1",15,0,0.000852893217494377,"no",0.00931545560231511,"up"
"MAPK10",13,2,0.00085378498558708,"no",0.43545277787176,"down"
"ECHS1",13,2,0.000863660429796242,"no",0.65310329652701,"up"
"WSB2",15,0,0.000871478729496666,"no",0.933155254627243,"down"
"ARID3A",13,2,0.000894151461621195,"no",7.95081711335439e-06,"up"
"ELF1",14,1,0.000897633375635865,"no",0.0525776246391195,"up"
"TAS1R2",14,1,0.000919647382905175,"no",0.649644588791169,"up"
"LGALS3",14,1,0.000930710911778876,"no",0.0496119083416597,"up"
"KIRREL3",13,2,0.000937775480042258,"no",0.58877492770376,"up"
"KRTAP5-5",13,2,0.000948250005207707,"no",0.219662246751124,"up"
"LCNL1",13,2,0.000959892426591669,"no",0.471134520887639,"down"
"PSG3",14,1,0.000966663111295119,"no",0.127436603499565,"up"
"VPREB3",15,0,0.000978610897633736,"no",0.732168684400157,"up"
"PLAU",15,0,0.000982086700659024,"no",7.47794716302507e-19,"up"
"COLQ",14,1,0.000992799058299298,"no",0.231095619415955,"down"
"RNFT1",15,0,0.00102054218495229,"no",0.0133994565987421,"up"
"AK1",15,0,0.00104762519263091,"no",0.0134746154995532,"up"
"TRIM17",15,0,0.0010518484327583,"no",0.0244502075022449,"up"
"LRRD1",13,2,0.00105308583235841,"no",0.542649217293197,"up"
"ZNF92",14,1,0.00108067531879419,"no",0.000166284837009664,"up"
"SUCNR1",12,3,0.00110852565764219,"no",0.000318265803894871,"up"
