"","#wt","#mut","pvalue","is_significant"
"TMED10P1",9,7,0.000732821408630638,"no"
"EXO1",14,2,0.00078785491592029,"no"
"FKBP4",12,4,0.00266595902704208,"no"
"WHSC2",14,2,0.00382206538938125,"no"
"PPP2R5B",14,2,0.0045054078585366,"no"
"SERPINA9",14,2,0.00581714756037604,"no"
"PYROXD1",13,3,0.00630576853559332,"no"
"CLEC2D",13,3,0.00896300099184231,"no"
"CATSPERG",12,4,0.00929993295102453,"no"
"ZNF781",12,4,0.00963196837403962,"no"
"RERGL",13,3,0.0100171976287831,"no"
"PVRL4",14,2,0.0108293694888149,"no"
"PKHD1L1",13,3,0.0109127002429785,"no"
"TBC1D8",14,2,0.0109349515411937,"no"
"ARHGAP39",9,7,0.0117574588612959,"no"
"LRRC7",14,2,0.0125189634332358,"no"
"DLL3",11,5,0.0148177968657055,"no"
"ANKRD42",14,2,0.0149292214762636,"no"
"SMAP2",14,2,0.0166512448109434,"no"
"PRDM14",14,2,0.0173441280588414,"no"
"NR1H3",14,2,0.0177007566739145,"no"
"CACNA2D1",14,2,0.0181908100312259,"no"
"TBX2",14,2,0.0182970110340312,"no"
"P2RY14",14,2,0.0211586823223547,"no"
"OR2T12",14,2,0.0212888767834263,"no"
"OR2T8",14,2,0.0212888767834263,"no"
"OR2T33",14,2,0.0212888767834263,"no"
"SPSB1",13,3,0.0219664328454152,"no"
"KCTD15",12,4,0.0222322125009889,"no"
"LGALS14",12,4,0.0232862167488811,"no"
"BCAS3",14,2,0.0261782919901965,"no"
"SCRT1",10,6,0.0266000883221947,"no"
"RASGRP4",12,4,0.0266951856035256,"no"
"ARHGAP11B",14,2,0.0273953208475247,"no"
"HDAC5",14,2,0.0288550890960252,"no"
"COLEC10",12,4,0.0295653941535226,"no"
"LILRA4",14,2,0.03149246250425,"no"
"MMP8",13,3,0.0320147570366594,"no"
"NSFP1",9,7,0.0320790455087422,"no"
"APPBP2",14,2,0.0332005452675145,"no"
"OSCAR",14,2,0.0333996780455666,"no"
"TMEM207",13,3,0.0335604537292787,"no"
"GABRA6",13,3,0.0346799735751573,"no"
"UBTF",14,2,0.0354698735992678,"no"
"KCNQ5",14,2,0.0372939241775772,"no"
"MLF2",12,4,0.0377771338220292,"no"
"PTGIS",13,3,0.0379277914093608,"no"
"SAMD8",13,3,0.0384182876541132,"no"
"PTPN6",12,4,0.0412523388885289,"no"
"SH2D6",14,2,0.041393901446224,"no"
"ELK4",14,2,0.0426164908987997,"no"
"TNFSF10",11,5,0.0444589176420302,"no"
"CHN1",14,2,0.0452284318397249,"no"
"C1orf204",14,2,0.0458404358656527,"no"
"LRP8",14,2,0.0459119356174494,"no"
"DGAT1",10,6,0.0461441675527332,"no"
"CD7",13,3,0.0472293263401252,"no"
"BCAN",14,2,0.0476791857311513,"no"
"ARL10",14,2,0.0487124530114978,"no"
"COL19A1",14,2,0.0487401571320739,"no"
"NRBP2",11,5,0.0487626836804452,"no"
"VN1R5",14,2,0.0492965629220159,"no"
"C1QTNF2",13,3,0.0506624207313669,"no"
"ETV6",13,3,0.0517139310323806,"no"
"C17orf99",14,2,0.0524727821349303,"no"
"FASTK",14,2,0.0526901523250241,"no"
"TTC30B",14,2,0.0541469910278951,"no"
"C1orf101",14,2,0.0545017950855104,"no"
"RBP1",12,4,0.0547029982068386,"no"
"COLQ",14,2,0.05470625924542,"no"
"CFTR",13,3,0.0560148231909644,"no"
"PHC3",10,6,0.0561946286274782,"no"
"LMNA",13,3,0.0564162143601817,"no"
"LPAR3",14,2,0.0568732052305403,"no"
"MED15",14,2,0.0568948155820621,"no"
"HSD17B7",14,2,0.0569091677941689,"no"
"KRAS",13,3,0.0572823885965157,"no"
"PLEKHG6",12,4,0.0574762584861241,"no"
"BRCA1",14,2,0.0578598940062771,"no"
"PRKRA",14,2,0.0578964614516025,"no"
"RAVER2",14,2,0.0598321545680139,"no"
"GABARAPL1",13,3,0.0601029866904095,"no"
"CLDN1",13,3,0.0601245730187676,"no"
"UBLCP1",13,3,0.0601513424841532,"no"
"KAT2A",14,2,0.0607513795639694,"no"
"PDE3A",13,3,0.0627072369141174,"no"
"VRK1",14,2,0.0634505063535914,"no"
"CCRL1",14,2,0.0652032716940785,"no"
"ARMC8",13,3,0.0655793525969036,"no"
"OMA1",14,2,0.0662410033310764,"no"
"KCNMB3",12,4,0.0666258792017139,"no"
"ZBTB45",13,3,0.0679294783410108,"no"
"MEF2D",14,2,0.0681905471639754,"no"
"SNAP25",14,2,0.0683473796599118,"no"
"C1orf27",14,2,0.0692464058929653,"no"
"CLNS1A",13,3,0.0692869735238494,"no"
"LILRB3",14,2,0.0696898683406238,"no"
"HRH3",10,6,0.0701686936860581,"no"
"RDH10",14,2,0.0703133143278152,"no"
"FOXM1",12,4,0.0705173653761459,"no"
"GRB7",14,2,0.0718392820460266,"no"
"RAF1",14,2,0.0726089779807633,"no"
"LMAN2",13,3,0.0727086282336958,"no"
"KAT7",14,2,0.0729457016783461,"no"
"BCHE",12,4,0.073296648883871,"no"
"GJB3",14,2,0.073597346513013,"no"
"TBX4",14,2,0.0743732128144545,"no"
"ERC1",12,4,0.0769080079596278,"no"
"PVRL3",14,2,0.0769806342076636,"no"
"ITGA4",14,2,0.077767380024289,"no"
"AHCY",14,2,0.0781045698278867,"no"
"SH2D1B",14,2,0.0790267852605526,"no"
"CAV1",13,3,0.0818895560993722,"no"
"ATP1A2",14,2,0.0822739816142201,"no"
"SLC2A4RG",9,7,0.0822941203613367,"no"
"SAMD4B",11,5,0.0845528967529611,"no"
"FOXH1",9,7,0.0846338582600806,"no"
"C1QTNF1",14,2,0.0873716795456616,"no"
"S100A14",12,4,0.0878787547437008,"no"
"PDPN",14,2,0.0893527570130429,"no"
"ACOT11",14,2,0.0898248299958854,"no"
"ANKRD28",14,2,0.0903785809115375,"no"
"NEUROD2",14,2,0.0908710812326075,"no"
"LRRC33",12,4,0.0913250179685545,"no"
"CDK3",13,3,0.0916028955949722,"no"
"TEN1-CDK3",13,3,0.0916028955949722,"no"
"RECQL",13,3,0.0924211178180347,"no"
"CA8",14,2,0.0924401769832111,"no"
"LRRC15",12,4,0.0948140820808664,"no"
"KCTD21",13,3,0.0951054604588918,"no"
"BTBD3",14,2,0.0952935238928833,"no"
"CELF3",13,3,0.0963256627043821,"no"
"NCOA2",14,2,0.0967168634594975,"no"
"CREB3L2",14,2,0.0967401737681745,"no"
"LAMP5",14,2,0.0969521219592602,"no"
"NUMA1",14,2,0.0981512327379314,"no"
"TFDP2",12,4,0.0985392555140842,"no"
"BECN1",14,2,0.0986886697816086,"no"
"SEMA3G",14,2,0.098711463956,"no"
"ANKRD7",13,3,0.0995378820861845,"no"
"TAL1",14,2,0.0997480385625915,"no"
"VAPB",11,5,0.100068268486407,"no"
"SERPINA4",14,2,0.1008432481608,"no"
"NCKAP1",13,3,0.100887173127772,"no"
"TMC4",14,2,0.103402557096395,"no"
"NTSR1",9,7,0.103577219629538,"no"
"TFAP2C",11,5,0.104522458977482,"no"
"FASN",13,3,0.104698230923819,"no"
"CHRNB2",14,2,0.105995039473121,"no"
"LSR",11,5,0.107540931208073,"no"
"ATG9B",14,2,0.10785476644069,"no"
"PA2G4P4",12,4,0.110040053350975,"no"
"PARP11",12,4,0.110125633799597,"no"
"PIP4K2B",14,2,0.110649589170778,"no"
"FXYD3",11,5,0.111545511568924,"no"
"RERG",13,3,0.113376366297783,"no"
"SIRT2",12,4,0.113504075790227,"no"
"TSKU",13,3,0.114879341512074,"no"
"EAF2",14,2,0.114929373786539,"no"
"G3BP1",14,2,0.11497263375791,"no"
"SECTM1",13,3,0.115442683909891,"no"
"ARHGAP31",14,2,0.116104146196928,"no"
"ARNT",11,5,0.116769628672112,"no"
"COL9A3",9,7,0.118643583868714,"no"
"PKP2",13,3,0.119075871264248,"no"
"ACTG1",14,2,0.11946533428724,"no"
"EZH1",14,2,0.120584552054556,"no"
"UBE2E3",14,2,0.120656082742922,"no"
"LRFN1",11,5,0.121370320346019,"no"
"PPDPF",9,7,0.121750214879011,"no"
"STAT5B",14,2,0.121890969595116,"no"
"MASP1",12,4,0.122002796806262,"no"
"GJC1",14,2,0.122231591882319,"no"
"GJA4",14,2,0.122707397153911,"no"
"JUN",14,2,0.124438681465744,"no"
"TMEM55B",14,2,0.124637192150497,"no"
"AK4",14,2,0.124957398519986,"no"
"MMP27",13,3,0.126028665560463,"no"
"PRR7",13,3,0.127619114834987,"no"
"SGCE",14,2,0.127666297852428,"no"
"VANGL2",14,2,0.127814708550004,"no"
"MAP3K10",13,3,0.127830179199596,"no"
"SOX14",13,3,0.128063853269706,"no"
"PBX1",14,2,0.129064512779555,"no"
"EIF5A2",12,4,0.129326158419796,"no"
"PICALM",13,3,0.129618025106754,"no"
"IKBKE",14,2,0.131262400421046,"no"
"KIFC2",9,7,0.131656417591268,"no"
"CA6",13,3,0.135129579758355,"no"
"KIRREL2",12,4,0.136000182420844,"no"
"MTNR1B",13,3,0.137414704495181,"no"
"EBF1",13,3,0.138997260301209,"no"
"KIAA1549",14,2,0.139273375846905,"no"
"ZBTB20",14,2,0.139981160187602,"no"
"WASL",14,2,0.14187852774238,"no"
"PLOD2",13,3,0.143660249776167,"no"
"PAK7",14,2,0.14604640835141,"no"
"KIF2C",14,2,0.147749126729471,"no"
"TNFRSF1A",12,4,0.147902308039043,"no"
"CAPZA2",13,3,0.14857719044126,"no"
"C1orf186",14,2,0.149220731153978,"no"
"GPR85",13,3,0.149428172343237,"no"
"ATOX1",14,2,0.149809586009986,"no"
"GMNN",14,2,0.150624587129541,"no"
"TRIO",14,2,0.151931085577026,"no"
"GJA5",13,3,0.152076003956426,"no"
"GABRB2",13,3,0.153667730777261,"no"
"ZBTB48",14,2,0.154561617308962,"no"
"OR2T10",6,10,0.154629670104722,"no"
"MAFG",13,3,0.155363249353936,"no"
"TDRD5",14,2,0.156084633222928,"no"
"PSG2",14,2,0.156845832629116,"no"
"LRRC38",14,2,0.158525051809743,"no"
"HRASLS",12,4,0.158945146917724,"no"
"TMEM65",12,4,0.159031714619871,"no"
"TMEM55A",14,2,0.160380268928937,"no"
"PTTG1",13,3,0.161018408388485,"no"
"PAK4",11,5,0.162519172384211,"no"
"GNG5",14,2,0.165652892937858,"no"
"ZHX2",12,4,0.166453479107377,"no"
"OR11L1",14,2,0.167522164416393,"no"
"MYCL1",14,2,0.167571210141844,"no"
"RASGEF1C",14,2,0.16790904402727,"no"
"PDE6H",13,3,0.168713439315742,"no"
"RBP7",14,2,0.170404032325449,"no"
"CASR",14,2,0.171005252697732,"no"
"ACADM",13,3,0.171360277247912,"no"
"ZNF148",13,3,0.172172567149638,"no"
"LY6K",11,5,0.172591523238913,"no"
"ADCY8",12,4,0.172941287807073,"no"
"MAPK15",10,6,0.173683434032145,"no"
"MLLT11",13,3,0.174837258947711,"no"
"ACAP2",12,4,0.176004636583871,"no"
"PPME1",14,2,0.176492458226574,"no"
"PDE1A",14,2,0.177100816628657,"no"
"WDR65",13,3,0.177717823537732,"no"
"TRAT1",14,2,0.177875588025966,"no"
"CYP4Z2P",14,2,0.177916699847093,"no"
"CYP4Z1",14,2,0.177916699847093,"no"
"KLHL24",12,4,0.179229318258714,"no"
"SH3BP2",14,2,0.180397588064212,"no"
"ATP4A",12,4,0.180486892595811,"no"
"CD300LG",14,2,0.181001454210689,"no"
"YAP1",13,3,0.181813440934117,"no"
"HSP90AA1",14,2,0.184639000974453,"no"
"ITGA6",14,2,0.18706388956565,"no"
"TMEM117",14,2,0.188360400839297,"no"
"NFE2L2",14,2,0.188600508627734,"no"
"CCNE1",12,4,0.189110208154326,"no"
"CHD1L",14,2,0.190815834627676,"no"
"PRDX1",14,2,0.190968318581647,"no"
"ZFP36L2",14,2,0.191355012142954,"no"
"FGFR4",13,3,0.191988488996196,"no"
"OR6F1",14,2,0.192011156502826,"no"
"HSF1",10,6,0.192369827727743,"no"
"MNX1",14,2,0.192674465627253,"no"
"KIAA1804",14,2,0.195489496706136,"no"
"CCR7",14,2,0.197417644037239,"no"
"SERPINH1",13,3,0.197598327523591,"no"
"PMEPA1",11,5,0.197922639121784,"no"
"KDM5A",12,4,0.198435585927875,"no"
"GPR162",12,4,0.198640119719267,"no"
"HECTD3",14,2,0.198716346001174,"no"
"RAB21",14,2,0.198893454693631,"no"
"TIPARP",12,4,0.199868542605652,"no"
"MYBL1",14,2,0.199994888440973,"no"
"CLEC5A",14,2,0.200143251890667,"no"
"DGKI",14,2,0.20028812931277,"no"
"PRMT8",12,4,0.20192114193418,"no"
"DPP6",14,2,0.203556905404159,"no"
"GSK3B",14,2,0.204798907767276,"no"
