"","#wt","#mut","pvalue","is_significant"
"SVIL",12,4,0.000763389418620535,"yes"
"PPP1R16A",14,2,0.00385058778154247,"no"
"APC",14,2,0.00452387260253356,"no"
"SPTY2D1",14,2,0.0106739093317243,"no"
"PEX14",14,2,0.0114125696153514,"no"
"ATM",13,3,0.0158435055422433,"no"
"TP53",8,8,0.0168565779344252,"no"
"WNK4",14,2,0.0211305856124788,"no"
"SLC38A6",13,3,0.022064752484763,"no"
"PNPLA6",14,2,0.0238148173973925,"no"
"STAT6",14,2,0.0262879421946822,"no"
"SLAMF1",14,2,0.0309958541132102,"no"
"CLCN5",14,2,0.038017269730251,"no"
"BIRC6",13,3,0.0397710234023197,"no"
"BCAM",14,2,0.0421858919971955,"no"
"STARD9",14,2,0.0433597975449031,"no"
"NOTCH4",14,2,0.0447151992031058,"no"
"LRP1",14,2,0.0470633964203713,"no"
"PLXNB2",14,2,0.0486479134272234,"no"
"SARDH",14,2,0.0543244687722776,"no"
"TRPM6",14,2,0.0590002398150851,"no"
"ATP6V1B1",14,2,0.0648615221798336,"no"
"JMJD1C",14,2,0.0653749819576266,"no"
"KRT1",14,2,0.0721270460966096,"no"
"TENM4",14,2,0.0774372738729832,"no"
"PTPRN2",14,2,0.0811309412811488,"no"
"POLD1",14,2,0.0867613974446237,"no"
"NUMA1",14,2,0.0981512327379314,"no"
"FREM2",14,2,0.101919299000092,"no"
"KRAS",14,2,0.101986089414748,"no"
"FRYL",14,2,0.102554060344276,"no"
"ARHGAP21",14,2,0.103863771528598,"no"
"USP19",14,2,0.104381868857885,"no"
"SMARCC2",14,2,0.104553370519268,"no"
"PLEKHG4",14,2,0.104777402197473,"no"
"MYO7B",14,2,0.10772221989838,"no"
"PCDH8",14,2,0.111063906437408,"no"
"CTBP1",14,2,0.111617564042564,"no"
"ABCC2",13,3,0.112031977574216,"no"
"PKD1",13,3,0.114169804229302,"no"
"FRAS1",14,2,0.115212661528911,"no"
"REV3L",14,2,0.118063335337189,"no"
"SCAF4",14,2,0.13848130926082,"no"
"IKZF1",14,2,0.142888543454495,"no"
"NCKIPSD",14,2,0.143317088659359,"no"
"ASPH",13,3,0.143607150048391,"no"
"IVL",14,2,0.144056819541054,"no"
