"","#wt","#mut","pvalue","is_significant"
"TTN",14,2,0.0291789491319587,"no"
"HDAC11",14,2,0.047206109679465,"no"
"ARID1A",13,3,0.0586252434744112,"no"
"WDR87",14,2,0.0895895491452099,"no"
"DLX6",14,2,0.163536476922801,"no"
"FOXB2",14,2,0.20413480874698,"no"
"KIF5C",14,2,0.239399663997317,"no"
"KIF17",14,2,0.240025123486559,"no"
"CACNA1F",14,2,0.247738468434568,"no"
"ASAP1",14,2,0.27191051208753,"no"
"CREBBP",14,2,0.272757656242159,"no"
"ATM",14,2,0.272818658808728,"no"
"COL6A6",14,2,0.283326290470406,"no"
"CSMD3",12,4,0.298472425061279,"no"
"WDR49",14,2,0.305880655478787,"no"
"DDX54",13,3,0.317361663067067,"no"
"OSBPL1A",14,2,0.32484245620564,"no"
"ZFHX4",14,2,0.325946467627103,"no"
"VAV3",14,2,0.444588463571021,"no"
"TTC3",14,2,0.459437628131951,"no"
"ANKRD11",14,2,0.491745077487759,"no"
"WDR36",14,2,0.494232876087032,"no"
"PTEN",14,2,0.528580149002169,"no"
"TP53",11,5,0.545222748285949,"no"
"FAT3",14,2,0.548859392879664,"no"
"GABRG3",14,2,0.55089549621596,"no"
"TLN2",14,2,0.57459061470814,"no"
"LAMA5",14,2,0.607885136655374,"no"
"ITGAE",14,2,0.610566703247387,"no"
"ANKRD17",14,2,0.628502344040825,"no"
"LRRK2",14,2,0.652500878432271,"no"
"ARID1B",14,2,0.786505071992306,"no"
"ASH1L",14,2,0.805143095012642,"no"
"EP300",14,2,0.815127419157682,"no"
"ANKHD1",14,2,0.838802529423474,"no"
"C17orf80",14,2,0.88433270302875,"no"
"NLGN3",14,2,0.901237811372296,"no"
"BCLAF1",13,3,0.903878103461592,"no"
"CELF6",14,2,0.911801846485909,"no"
"BRCA1",14,2,0.917714921597929,"no"
"SMAD4",14,2,0.957094862657218,"no"
"ERMAP",12,4,0.973777710080331,"no"
"SVEP1",14,2,0.982911276309931,"no"
"MGA",14,2,0.99106941879558,"no"
"XIAP",14,2,0.993317357266886,"no"
"ACACB",14,2,0.993569998857365,"no"
"WDR7",14,2,0.998817850019831,"no"
