"","#wt","#mut","pvalue","is_significant"
"MAPKAP1",16,0,1.29725975048545e-06,"yes"
"GPX4",15,1,5.21385353539296e-06,"yes"
"TRA2B",12,4,1.23330530769268e-05,"yes"
"CKMT2",16,0,1.90782899378288e-05,"yes"
"AGAP1",15,1,2.70473024831083e-05,"yes"
"CSTF2T",15,1,5.97959929216523e-05,"yes"
"CCNB1",16,0,7.10328510553012e-05,"yes"
"LRRTM4",15,1,8.72242235251441e-05,"yes"
"CDK2",15,1,9.47256147868908e-05,"yes"
"ARHGAP29",15,1,9.65543332213057e-05,"yes"
"FMN2",14,2,0.000115280731496329,"yes"
"COPG1",15,1,0.000116701468219223,"yes"
"C15orf55",15,1,0.00015807211403595,"no"
"CDKN1B",12,4,0.000160523156409572,"no"
"DDX19B",16,0,0.000238350322690333,"no"
"TBXA2R",14,2,0.000261954773221041,"no"
"OBP2A",14,2,0.000276080946731139,"no"
"COPS3",13,3,0.000367960577957305,"no"
"FCRLA",14,2,0.000386680608327549,"no"
"FUBP1",13,3,0.000395184185008488,"no"
"GSTM2",14,2,0.000426482093350649,"no"
"P2RY12",14,2,0.000455397307185577,"no"
"SKP2",16,0,0.000463739435943067,"no"
"LYPD1",16,0,0.000482445988383909,"no"
"TTN",8,8,0.00054236157353671,"no"
"UBE2G1",15,1,0.000557138590141229,"no"
"KIF5C",13,3,0.000662893951770718,"no"
"TMED10",15,1,0.000777638450815403,"no"
"OTC",16,0,0.000927984298603184,"no"
"GNG10",16,0,0.000992160482646957,"no"
"DNAJC25-GNG10",16,0,0.000992160482646957,"no"
"ALDH7A1",16,0,0.00105966133537029,"no"
"TTC30A",13,3,0.00115714294983869,"no"
"SMPD2",14,2,0.00120226660741612,"no"
"NPR1",12,4,0.00125064057174571,"no"
"THRAP3",13,3,0.00126834728141796,"no"
"CFHR4",15,1,0.00128807309190292,"no"
"CDK12",13,3,0.00138057722350637,"no"
"ZCCHC3",14,2,0.00141310846701688,"no"
"SEMA4D",15,1,0.00141719000439523,"no"
"GJC2",15,1,0.00149544320634335,"no"
"FERMT2",14,2,0.00153396842136742,"no"
"RAB5B",16,0,0.00162079194221779,"no"
"LMLN",11,5,0.00164591924523636,"no"
"TYRO3",14,2,0.00166977381449442,"no"
"SEMA6A",15,1,0.0017224695594442,"no"
"UBA3",16,0,0.00174782686656973,"no"
"NSMCE1",16,0,0.00190099624466547,"no"
"GP5",12,4,0.00214341460137449,"no"
"TXN",16,0,0.00216405636889167,"no"
"ABCB9",16,0,0.00217255005794697,"no"
"SNX31",15,1,0.00221544755308283,"no"
"KIF23",16,0,0.00223204015378601,"no"
"CCNE1",12,4,0.00224772738678012,"no"
"ZBTB44",13,3,0.00227962776865726,"no"
"RBM14",15,1,0.00228208111567104,"no"
"NOS1",16,0,0.00239017539832897,"no"
"PTPN12",14,2,0.00239908451230831,"no"
"TNK1",15,1,0.00242881268005062,"no"
"TAS1R2",16,0,0.0024676036349317,"no"
"SDC1",14,2,0.00260563927203941,"no"
"TRPC5",16,0,0.00271935750033455,"no"
"KLHL22",12,4,0.00272599483801236,"no"
"ADAR",11,5,0.00275339047416127,"no"
"RPS6KB2",14,2,0.00277539261888893,"no"
"TTC16",16,0,0.00291974039902263,"no"
"AMBP",16,0,0.00299652508901488,"no"
"LOC100996758",16,0,0.00307206927819658,"no"
"FBXO5",14,2,0.00309398409929749,"no"
"WEE1",15,1,0.00313604723355862,"no"
"P2RY1",14,2,0.00322006950665494,"no"
"MSGN1",16,0,0.00325538653636513,"no"
"TCHH",14,2,0.00331510537467226,"no"
"CENPW",12,4,0.00348885459961063,"no"
"RAD23B",16,0,0.00352418069718262,"no"
"DDHD2",16,0,0.00385466817997575,"no"
"IDH3A",16,0,0.0039539105998098,"no"
"KCNC3",15,1,0.00397393654569577,"no"
"MAPK11",16,0,0.0039927080419114,"no"
"DHX29",16,0,0.00407630332093174,"no"
"FEN1",15,1,0.00407942478578988,"no"
"MAGEA1",16,0,0.00421073415911292,"no"
"ZNF131",15,1,0.00425391904961196,"no"
"MLL2",16,0,0.00432939578049359,"no"
"CHAF1B",16,0,0.00439278416911694,"no"
"SREK1IP1",16,0,0.00449823186125359,"no"
"CSNK2A2",16,0,0.00468345236498203,"no"
"SERPINA1",14,2,0.00473170574055555,"no"
"FAM210B",11,5,0.00479505867413062,"no"
"ACADVL",15,1,0.00494944237036222,"no"
"XDH",16,0,0.00503496882741112,"no"
"GNGT2",15,1,0.00506574058919817,"no"
"DHRS7B",16,0,0.00508110001427119,"no"
"CDX1",15,1,0.00511506670805228,"no"
"ITGA3",13,3,0.00512359155371592,"no"
"GDF15",16,0,0.00535767570698573,"no"
"RIPK3",15,1,0.00559690360113025,"no"
"FKBP7",14,2,0.00561156000976505,"no"
"DUSP2",16,0,0.00578515753436965,"no"
"PANK3",14,2,0.00609680845259603,"no"
"NSF",11,5,0.00630141579151725,"no"
"COX6A1",16,0,0.00638963837711723,"no"
"SEMA4B",15,1,0.00645426339136305,"no"
"RPL22L1",12,4,0.00651400405399707,"no"
"PPYR1",15,1,0.0065181111225548,"no"
"BHMT2",16,0,0.0068617192537831,"no"
"BHLHE22",14,2,0.00686846976332448,"no"
"XPR1",14,2,0.00687659473002452,"no"
"SRCAP",15,1,0.00691806752468601,"no"
"KLHL30",14,2,0.00694468604702636,"no"
"IQUB",12,4,0.00694857552027606,"no"
"GGA1",16,0,0.00696074258003624,"no"
"GSTM3",16,0,0.00707270464747675,"no"
"PHKG1",16,0,0.007095364553502,"no"
"HELQ",15,1,0.00710959524013318,"no"
"H2AFZ",16,0,0.00714033550539252,"no"
"E2F3",15,1,0.00717520840884664,"no"
"RBFOX3",15,1,0.00718394242924039,"no"
"TM4SF4",14,2,0.00729929795000938,"no"
"ATP5B",16,0,0.00731704138498351,"no"
"TAF1",16,0,0.00752392195380149,"no"
"TP53I3",16,0,0.00766044807887748,"no"
"MAN1B1",15,1,0.00767819016302621,"no"
"RBMXL1",14,2,0.00783273356461655,"no"
"TNFSF12-TNFSF13",15,1,0.00784631836308868,"no"
"PDHB",15,1,0.00789796435930606,"no"
"GSTM4",16,0,0.00801036900498526,"no"
"SFTPD",15,1,0.00804135985339248,"no"
"RCOR3",13,3,0.0080432304989879,"no"
"GEMIN5",12,4,0.00808049622972929,"no"
"PPEF1",16,0,0.00811933414442244,"no"
"ADCY4",14,2,0.00814827288985672,"no"
"CRYZL1",16,0,0.00819283124853749,"no"
"PLAG1",13,3,0.00834549717732109,"no"
"TLR9",15,1,0.00839512593761789,"no"
"PRR5",15,1,0.00865113644281078,"no"
"SRR",15,1,0.00891386886028761,"no"
"VPS4B",14,2,0.00892354612398436,"no"
"VLDLR",14,2,0.00893674039707113,"no"
"NT5E",15,1,0.00903413942871152,"no"
"ACADS",16,0,0.00905469593087541,"no"
"ATP10B",13,3,0.00906444993332575,"no"
"NACC1",16,0,0.00915818804600576,"no"
"C8G",16,0,0.00919214338034099,"no"
"SMARCA4",14,2,0.00922223728096364,"no"
"KCNK17",16,0,0.00928394660613096,"no"
"MCOLN2",13,3,0.00940606784042755,"no"
"PDE11A",13,3,0.0094202078485356,"no"
"CYP3A4",13,3,0.00942449558383692,"no"
"UBE2NL",15,1,0.00950266007467276,"no"
"FEM1B",15,1,0.00972682690168665,"no"
"CADM1",16,0,0.00976134182137797,"no"
