"","#wt","#mut","pvalue","is_significant"
"TP53",2,14,2.28644266053735e-06,"yes"
"ERI1",16,0,2.8898185486792e-06,"yes"
"CDK6",13,3,9.59773226960614e-06,"yes"
"COL25A1",15,1,1.73604435491637e-05,"yes"
"NADSYN1",15,1,2.42105758758715e-05,"yes"
"IRAK2",14,2,2.5101277291828e-05,"yes"
"ERCC5",16,0,3.27488370954754e-05,"yes"
"BIVM-ERCC5",16,0,3.27488370954754e-05,"yes"
"ARL5B",16,0,4.03421781838276e-05,"yes"
"IMPDH1",14,2,5.4509522937396e-05,"yes"
"GTF2H5",14,2,7.1490822639575e-05,"yes"
"SH2D4B",13,3,7.54055400632447e-05,"yes"
"KIT",16,0,0.000125085952563331,"yes"
"TOP2B",13,3,0.000187834516812035,"no"
"UTY",16,0,0.000194285108038761,"no"
"USP33",13,3,0.000228389698674669,"no"
"CFB",15,1,0.000243209426849522,"no"
"PSCA",11,5,0.000244989464226686,"no"
"KIAA1324",14,2,0.000265342677445157,"no"
"YWHAE",14,2,0.000359600432889184,"no"
"LIG4",16,0,0.000383467489666556,"no"
"RCBTB2",16,0,0.000401411665496232,"no"
"AK4",14,2,0.000418093713742129,"no"
"BTBD18",16,0,0.00048189659609621,"no"
"WDR25",15,1,0.000516817142881321,"no"
"SAFB",14,2,0.000528783427191093,"no"
"ZBTB6",15,1,0.00064612428862032,"no"
"MLF2",12,4,0.000676259046988315,"no"
"SRSF12",14,2,0.000692950343473053,"no"
"GCAT",16,0,0.000749063365745539,"no"
"ESRRB",16,0,0.000830840683661349,"no"
"SH2D1B",14,2,0.000911146061361112,"no"
"CXCL5",16,0,0.000939181178283399,"no"
"CASK",16,0,0.000985793939962121,"no"
"GABRR2",15,1,0.00101933187609538,"no"
"RUFY3",16,0,0.00126454260320696,"no"
"EGLN2",15,1,0.00145140087224216,"no"
"WDR27",13,3,0.00150143931165247,"no"
"VAV1",15,1,0.00152610350134064,"no"
"RBPJ",16,0,0.00157114973659922,"no"
"CP",14,2,0.00161761042213682,"no"
"CCNT1",14,2,0.00169807617898354,"no"
"ANK3",15,1,0.00176630748088658,"no"
"RAPGEF6",14,2,0.00190808664818554,"no"
"PA2G4P4",12,4,0.00197143678063638,"no"
"SRPX",16,0,0.00197209814970634,"no"
"UNC5C",14,2,0.00217454178884668,"no"
"SOCS7",15,1,0.00225375918312454,"no"
"NRG1",15,1,0.00240601466579071,"no"
"LRRC33",12,4,0.00241048316731807,"no"
"ROS1",14,2,0.00252308509147792,"no"
"BRDT",15,1,0.00266507520795956,"no"
"WDR31",16,0,0.00271679542834613,"no"
"PIGZ",12,4,0.00274330695380409,"no"
"ADSL",16,0,0.00283859956428634,"no"
"MAP3K11",15,1,0.00309164676820928,"no"
"TBL1Y",16,0,0.00315249058178801,"no"
"RASD1",14,2,0.00317785080165689,"no"
"STRAP",12,4,0.0033714687377866,"no"
"DAZ1",16,0,0.00337182172775308,"no"
"DAZ3",16,0,0.00337182172775308,"no"
"DAZ2",16,0,0.00337182172775308,"no"
"DAZ4",16,0,0.00337182172775308,"no"
"PPIG",13,3,0.00341450216429118,"no"
"SLC22A17",15,1,0.00341538189101576,"no"
"ELOVL2",15,1,0.00355212916512271,"no"
"C1QL4",16,0,0.00355834965659851,"no"
"ARL13A",16,0,0.00358732453843036,"no"
"WDR88",12,4,0.0036946454075456,"no"
"RBPJL",15,1,0.00372723812350173,"no"
"ABCB10",15,1,0.00375850908481046,"no"
"APPBP2",14,2,0.00382035953151216,"no"
"DHRS7",15,1,0.00387993280002641,"no"
"ADCY7",15,1,0.00391625241042315,"no"
"LRR1",15,1,0.00397415179213112,"no"
"CMTM5",16,0,0.00400311436818912,"no"
"BTF3",16,0,0.00404602525544639,"no"
"NUDT9",16,0,0.00409149382996354,"no"
"GNG13",16,0,0.00436655647483108,"no"
"CHM",16,0,0.00456816028697249,"no"
"PWWP2B",14,2,0.0047015164122266,"no"
"HSP90B1",16,0,0.0047825601192073,"no"
"MLNR",16,0,0.00495450223309624,"no"
"SYNCRIP",14,2,0.00499202971185475,"no"
"GTF3A",15,1,0.00505012369584645,"no"
"MAP2K2",15,1,0.00512208927036795,"no"
"DSG1",14,2,0.00518324493828703,"no"
"GJA4",14,2,0.00521190871290511,"no"
