"","#wt","#mut","pvalue","is_significant"
"CKS1B",7,2,0.00832025470359187,"no"
"OR2T1",6,3,0.0116913575183932,"no"
"NME1",7,2,0.0220041710219517,"no"
"PROX1",6,3,0.0258037295498784,"no"
"FH",6,3,0.0290726459973312,"no"
"OR2W3",6,3,0.0356575476804333,"no"
"JMJD4",6,3,0.0429510052272991,"no"
"PLXNA2",6,3,0.0446544820368172,"no"
"PBX1",7,2,0.0450814400851967,"no"
"ZFP36L2",7,2,0.0596875435551649,"no"
"MUC20",6,3,0.0603504707909784,"no"
"CD1D",7,2,0.0623288767291705,"no"
"OR2G2",6,3,0.063000627008595,"no"
"ITLN1",7,2,0.0630833788267358,"no"
"CDC42BPA",6,3,0.064544692878427,"no"
"RGS5",7,2,0.0764203355011221,"no"
"SLAMF8",7,2,0.0791427097207435,"no"
"HAPLN2",7,2,0.0795100800539383,"no"
"ZBTB41",6,3,0.0821373546163355,"no"
"LEFTY1",6,3,0.0878439885551116,"no"
"HIST3H3",6,3,0.090893394204062,"no"
"APOA2",7,2,0.0937599540904787,"no"
"UBE2T",6,3,0.0977493216176867,"no"
"OR2T3",6,3,0.100775184232419,"no"
"AVPR1B",6,3,0.102012433343873,"no"
"PPM1G",7,2,0.104059550314564,"no"
"CACNA1E",7,2,0.107262615163275,"no"
"TAF5L",6,3,0.116461872576153,"no"
"CD84",7,2,0.117206902334568,"no"
"LY9",7,2,0.119692994558627,"no"
"ATP1A4",7,2,0.12016324146873,"no"
"MTR",6,3,0.121005768205051,"no"
"OR14A16",6,3,0.122354562857225,"no"
"XPR1",7,2,0.123017777687376,"no"
"TDRD10",7,2,0.124966114213863,"no"
"ARID4B",6,3,0.125783045486864,"no"
"VSIG8",7,2,0.126491403461565,"no"
"CHML",6,3,0.126787202423082,"no"
"F13B",6,3,0.133652275968004,"no"
"ABCB10",6,3,0.139137163138279,"no"
"OR2T4",6,3,0.143556977489904,"no"
"CFH",5,4,0.146613204835684,"no"
"FCRL4",7,2,0.155763232395749,"no"
"NR1I3",7,2,0.156244897846259,"no"
"OR2T27",5,4,0.165767525277086,"no"
"UCHL5",6,3,0.166175037848312,"no"
"OR11L1",6,3,0.167951061711915,"no"
"GSTT1",5,4,0.170437158687721,"no"
"FCGR3A",7,2,0.172587159796779,"no"
