"","#wt","#mut","pvalue","is_significant"
"TP53",5,4,0.0403794304724642,"no"
"BIRC6",6,3,0.0410818331846488,"no"
"ARID4A",7,2,0.0694733252540812,"no"
"HEATR2",7,2,0.0970123624956862,"no"
"COL8A2",7,2,0.100076121091709,"no"
"OR2T4",7,2,0.174723699500776,"no"
"SEMA3G",7,2,0.177127573405251,"no"
"MYO7A",7,2,0.195442046610651,"no"
"SI",7,2,0.20252916394755,"no"
"NRAS",7,2,0.210927928547471,"no"
"TFAP2B",7,2,0.235662543829022,"no"
"SEMA6C",7,2,0.244326608181717,"no"
"PDE3B",7,2,0.249499036864585,"no"
"CFHR3",7,2,0.272413841842198,"no"
"NCAM1",7,2,0.273724172813169,"no"
"SPEG",7,2,0.302862544488441,"no"
"ATP9A",7,2,0.341514687919414,"no"
"ASH1L",7,2,0.358092007360331,"no"
"KDM4B",7,2,0.358437327886622,"no"
"ABCA4",7,2,0.36796480376561,"no"
"ZFHX2",7,2,0.381718514716758,"no"
"FRY",7,2,0.419184831675399,"no"
"MYO3B",7,2,0.45177219010822,"no"
"FCGBP",7,2,0.457179107610186,"no"
"LLGL1",7,2,0.48290283355701,"no"
"GPR37",6,3,0.485857716152213,"no"
"SACS",7,2,0.486471789223673,"no"
"ALK",7,2,0.490914259999824,"no"
"MAP3K13",7,2,0.49446728837444,"no"
"RGPD8",7,2,0.511424060648784,"no"
"ATR",7,2,0.540754257872067,"no"
"TET2",7,2,0.54394765716951,"no"
"MADD",7,2,0.548138510067839,"no"
"CHD1",7,2,0.560285461108292,"no"
"RASAL1",7,2,0.567167474714939,"no"
"ARHGAP23",7,2,0.57817052840043,"no"
"CENPE",7,2,0.586444667337411,"no"
"SIPA1L1",6,3,0.593680414380436,"no"
"WDR87",7,2,0.612802679801382,"no"
"ABCA13",6,3,0.64794116340207,"no"
"SIGLEC12",7,2,0.65347108493665,"no"
"ALPK3",7,2,0.662829854003841,"no"
"NAT10",7,2,0.671316487263915,"no"
"ANKRD11",7,2,0.681210577546325,"no"
"MYO7B",7,2,0.713683067961403,"no"
"NLRP3",7,2,0.754286926201658,"no"
"RALGAPA2",6,3,0.756303496605138,"no"
"MSX2",7,2,0.769730211434209,"no"
"INSR",7,2,0.777549745777335,"no"
"ROBO2",7,2,0.787899155483176,"no"
"TTN",4,5,0.84741790676093,"no"
"KIAA2018",7,2,0.854784120534199,"no"
"USP20",7,2,0.873156564660518,"no"
"KLHL36",7,2,0.893086780997799,"no"
"GPR98",7,2,0.9148169541991,"no"
"ANKRD17",6,3,0.916642967997731,"no"
"LRRC31",7,2,0.927069965200982,"no"
"FRMD4B",7,2,0.930771592080901,"no"
"PLXNA2",6,3,0.931869515385332,"no"
