"","#wt","#mut","pvalue","is_significant"
"MLNR",9,0,6.92212425643484e-12,"yes"
"KCTD20",9,0,2.7676816002132e-10,"yes"
"GCM1",9,0,2.85231011809913e-09,"yes"
"ANGPTL4",9,0,8.74761655141019e-09,"yes"
"INPP5F",8,1,2.26032260710849e-08,"yes"
"FIGNL2",9,0,1.39018939940974e-07,"yes"
"UTY",9,0,2.00278497239897e-07,"yes"
"ATF1",9,0,3.16667581093613e-07,"yes"
"SULT1A2",9,0,3.85009507610953e-07,"yes"
"SULT1A1",9,0,3.85009507610953e-07,"yes"
"ABTB2",9,0,4.93796737996336e-07,"yes"
"MIB1",9,0,5.94799203740227e-07,"yes"
"RASGRP4",9,0,8.06507272183116e-07,"yes"
"STK39",9,0,1.42310915164787e-06,"yes"
"HSD11B1L",9,0,2.60966122921041e-06,"yes"
"HMG20B",9,0,3.2604835902512e-06,"yes"
"KIT",9,0,3.74261131495858e-06,"yes"
"SMARCE1",9,0,3.78509320354954e-06,"yes"
"TIAM1",9,0,6.85807079241659e-06,"yes"
"ATP13A1",9,0,7.13555610685155e-06,"yes"
"PLD1",9,0,8.08293651896471e-06,"yes"
"ANKRD30B",9,0,1.00111488401779e-05,"yes"
"TEX28",9,0,1.04734964324561e-05,"yes"
"LOC101060234",9,0,1.04734964324561e-05,"yes"
"DIRAS1",9,0,1.04859155818703e-05,"yes"
"APEX2",8,1,1.08544124954771e-05,"yes"
"DOCK11",9,0,1.16860626336751e-05,"yes"
"GRIN1",9,0,1.20888842541151e-05,"yes"
"IMPDH1",9,0,1.21100515069633e-05,"yes"
"TET3",7,2,1.26531217374015e-05,"yes"
"PPP2R2A",9,0,1.60073273354476e-05,"yes"
"FGD4",9,0,1.69067507784021e-05,"yes"
"LAMP3",9,0,1.87787872707701e-05,"yes"
"DGKH",9,0,1.90200124174753e-05,"yes"
"ESPNL",8,1,1.93381770170367e-05,"yes"
"RNFT1",8,1,2.0258727095446e-05,"yes"
"ARL13A",9,0,2.13765751554505e-05,"yes"
"GPR50",9,0,2.2258242203913e-05,"yes"
"MLLT10",7,2,2.58589417762873e-05,"yes"
"GLI1",9,0,2.73006532828801e-05,"yes"
"TNS1",8,1,3.17395441468337e-05,"yes"
"ARID3A",9,0,3.35428153706194e-05,"yes"
"PTPRZ1",9,0,3.47672277043941e-05,"yes"
"RELB",9,0,3.51112840420184e-05,"yes"
"SLC22A17",9,0,3.714419552994e-05,"yes"
"SRPX",9,0,3.98065931400248e-05,"yes"
"TGFB2",6,3,4.28824359568294e-05,"yes"
"CDK6",9,0,4.89136724399678e-05,"yes"
"CHD3",9,0,4.89625299095967e-05,"yes"
"HIST1H1B",9,0,5.03733212238941e-05,"yes"
"FN1",9,0,5.10287470308375e-05,"yes"
"KIRREL",7,2,5.17271212946885e-05,"yes"
"YIF1B",9,0,5.26223559546594e-05,"yes"
"SLC16A5",8,1,5.45863928948286e-05,"yes"
"BAZ2A",9,0,5.72772768800677e-05,"yes"
"SMUG1",9,0,5.87547937877965e-05,"yes"
"ENO1",8,1,5.98090811370099e-05,"yes"
"KBTBD13",9,0,6.41963656015868e-05,"yes"
"TGFBR2",9,0,6.47268005228084e-05,"yes"
"KDM1B",8,1,6.5110447854079e-05,"yes"
"NAA11",9,0,6.57358356192307e-05,"yes"
"RBM34",5,4,7.13894135182754e-05,"yes"
"OR2T12",5,4,7.13894135182754e-05,"yes"
"OR2T33",5,4,7.13894135182754e-05,"yes"
"ARID5B",8,1,7.42673170626134e-05,"yes"
"ITGA5",9,0,7.57527866788585e-05,"yes"
"NDST4",7,2,7.95852990859292e-05,"yes"
"ALDOB",8,1,8.10088810069064e-05,"yes"
"PIGX",9,0,8.82917921330721e-05,"yes"
"IER3",9,0,9.83821730477717e-05,"yes"
"CAMK4",9,0,0.000100259889382963,"yes"
"EAF1",9,0,0.000106231067162241,"yes"
"GLI3",8,1,0.000106544180241868,"yes"
"CHRNA6",9,0,0.000108934978187666,"yes"
"NCOA3",9,0,0.000109233612392372,"yes"
"FANCE",9,0,0.000111040719470429,"yes"
"CDC42BPG",9,0,0.000111903257265759,"yes"
"GRM4",8,1,0.000118127472951644,"yes"
"STK35",9,0,0.000120861179968966,"yes"
"MLF1",9,0,0.000124394884244668,"yes"
"SPHK1",8,1,0.000124943790241705,"yes"
"KPNA6",9,0,0.000130624553844356,"yes"
"ADCY7",9,0,0.000133038466032693,"yes"
"ARHGEF15",8,1,0.00013574628735028,"yes"
"KCNB1",9,0,0.000137312339612674,"yes"
"PRICKLE1",9,0,0.000141833096951776,"yes"
"CD8B",8,1,0.000147357116972166,"yes"
"GPR162",8,1,0.000149095145385025,"yes"
"TICAM1",8,1,0.000149386553269,"yes"
"SLC5A1",9,0,0.000152943255274787,"no"
"KDM4E",9,0,0.000153818602873483,"no"
"TMEM14C",9,0,0.000154156455505241,"no"
"KLHL10",9,0,0.000157916475817624,"no"
"CKMT2",9,0,0.000159303771995862,"no"
"AFF4",9,0,0.000159373419425087,"no"
"INSR",7,2,0.00016906675402512,"no"
"DDR1",9,0,0.000171985451341347,"no"
"KLHL26",9,0,0.000174838107178874,"no"
"HOXB3",8,1,0.000175716682401281,"no"
"VAPB",9,0,0.000179737421632424,"no"
"E2F4",9,0,0.000180825216330343,"no"
"AIRE",9,0,0.000182075547416864,"no"
"LRG1",8,1,0.00018324955045106,"no"
"KBTBD4",9,0,0.000183412409051917,"no"
"SGCE",9,0,0.000193677754243782,"no"
"PKP1",6,3,0.000194642466376068,"no"
"RIPK4",9,0,0.000194756704748253,"no"
"ZEB1",8,1,0.00019897942793722,"no"
"WASH3P",6,3,0.000206828995046981,"no"
"PBX3",9,0,0.000207949137512395,"no"
"GEM",9,0,0.000214021877763069,"no"
"GJD2",9,0,0.000219972904683184,"no"
"IQCA1",8,1,0.000222194658834002,"no"
"ALDH3B1",9,0,0.000225122288783043,"no"
"COL23A1",8,1,0.000239800509078122,"no"
"PABPC1L2A",9,0,0.000241719569077004,"no"
"PABPC1L2B",9,0,0.000241719569077004,"no"
"RALGAPA2",6,3,0.000257719990671293,"no"
"LIME1",8,1,0.000264804141881427,"no"
"SH2D1A",9,0,0.000271647399083448,"no"
"FBXW5",9,0,0.000275016295009331,"no"
"PRDM9",9,0,0.000276487584052861,"no"
"CXCL3",9,0,0.000288039808109683,"no"
"WIPI2",8,1,0.000297738748875676,"no"
"ABCB8",9,0,0.000309661826286222,"no"
"WAS",9,0,0.000327004310374683,"no"
"PCGF5",9,0,0.00032871875537282,"no"
"OMD",8,1,0.000344806748143181,"no"
"OR2T8",4,5,0.000350326211913189,"no"
"STARD8",9,0,0.000351740133456982,"no"
"SULT2B1",8,1,0.000352917157341954,"no"
"LRRD1",9,0,0.000366604260144299,"no"
"NPAS3",9,0,0.000384593617447792,"no"
"HFM1",8,1,0.000386713637823846,"no"
"HSDL2",8,1,0.000394653193818295,"no"
"UGT8",7,2,0.000400694346447832,"no"
"MYL3",8,1,0.000404821001066934,"no"
"PRODH2",9,0,0.000405261575306155,"no"
"ROCK1",9,0,0.000414090809426658,"no"
"PRDM2",8,1,0.00042366393132331,"no"
"CDK5",9,0,0.000431418830642662,"no"
"RHOBTB3",9,0,0.000433439313139601,"no"
"DPF3",8,1,0.000433739088072241,"no"
"MBD3",9,0,0.000435807083229575,"no"
"PRLR",9,0,0.000447470644449753,"no"
"AKR1C3",9,0,0.0004619008278086,"no"
"TPM3",7,2,0.000467842843211182,"no"
"DCAF5",9,0,0.000484315180673791,"no"
"IRS4",9,0,0.000491808044439826,"no"
"WNT7B",9,0,0.000509235884060631,"no"
"RNF182",9,0,0.000534061019491671,"no"
"OR51V1",7,2,0.000574320458647905,"no"
"OR6S1",9,0,0.00059669351809253,"no"
"GPR142",8,1,0.000600859436660223,"no"
"NR3C2",8,1,0.000610515710408895,"no"
"NPFFR1",9,0,0.000618499085454271,"no"
"SPTLC3",9,0,0.000626855013409718,"no"
"ORC1",9,0,0.000628257274684488,"no"
"TCF23",7,2,0.000634060296362628,"no"
"RHOBTB1",9,0,0.000635782677667202,"no"
"TNFSF13",9,0,0.000638862434634666,"no"
"LTBP4",8,1,0.000654733070758962,"no"
"MUC12",8,1,0.000655793699105504,"no"
"CHST5",9,0,0.000663239911204433,"no"
"ARHGEF1",9,0,0.000665205278129323,"no"
"RFXANK",9,0,0.000666682659988018,"no"
"PHOX2A",9,0,0.000670884244501286,"no"
"PTK2B",8,1,0.000675142449063862,"no"
"KIF2A",9,0,0.000713150314141606,"no"
"CAPN10",9,0,0.000722619027822094,"no"
"TAF4B",9,0,0.000728992667161952,"no"
"HENMT1",9,0,0.000761606973681607,"no"
"ZFPM2",9,0,0.000770797442828213,"no"
"DENND3",8,1,0.000777985556629064,"no"
"MAGEA4",9,0,0.00077867159364241,"no"
"NID2",9,0,0.000799533468144258,"no"
"CBX1",8,1,0.000805809230996712,"no"
"OPN1MW",9,0,0.000829205060954197,"no"
"OPN1MW2",9,0,0.000829205060954197,"no"
"LOC101060233",9,0,0.000829205060954197,"no"
"CD28",9,0,0.000839106828432297,"no"
"PHF15",9,0,0.000856147225237593,"no"
"TTC9",9,0,0.000862924214771257,"no"
"WDR47",9,0,0.000867882427340199,"no"
"LTB4R2",9,0,0.000874115299078867,"no"
"KCTD6",8,1,0.000881412084476938,"no"
"CHRAC1",8,1,0.000882442046114753,"no"
"ROCK2",8,1,0.000889335213398928,"no"
"PAGE4",9,0,0.000891776555530168,"no"
"KCNC2",9,0,0.000908132199840842,"no"
"PHRF1",8,1,0.000927013861034551,"no"
"CIT",7,2,0.000942992070020298,"no"
"ORAOV1",9,0,0.000945980378348282,"no"
"NUMB",9,0,0.000953713618097822,"no"
"RGL2",9,0,0.000976901867930199,"no"
"OXTR",9,0,0.000985550221721592,"no"
"DOCK2",8,1,0.000991247753381423,"no"
"GPR6",8,1,0.000993149241572027,"no"
"LGALS1",9,0,0.00102081756435166,"no"
"TDRD5",7,2,0.00102407327653525,"no"
"MAT1A",8,1,0.00103303038441779,"no"
"HOXB-AS3",9,0,0.00103305750521966,"no"
"CHST9",9,0,0.00103559337350105,"no"
"PWWP2B",9,0,0.00103813468688727,"no"
"TCIRG1",9,0,0.0010454256740794,"no"
"HECW1",8,1,0.00104729331735774,"no"
"HMGA2",9,0,0.00106980477784981,"no"
"MAST4",9,0,0.00107879239686906,"no"
"LCN9",9,0,0.00109277770275312,"no"
"ORM1",8,1,0.00111866519148327,"no"
"PRDM13",9,0,0.00114278510341704,"no"
"BRWD1",9,0,0.00115789224414547,"no"
"TRIM33",9,0,0.00116792607353427,"no"
"TAPT1",9,0,0.00116832900217846,"no"
"MPZL2",7,2,0.00117766855568828,"no"
"ATOH1",9,0,0.00119972163023513,"no"
"ZNF652",8,1,0.00121083881891857,"no"
"DSEL",9,0,0.00121840705969935,"no"
"ARHGEF19",8,1,0.00121899797802747,"no"
"NCAN",9,0,0.00122259372749032,"no"
"ADCY1",8,1,0.00122811951972273,"no"
"WDR54",9,0,0.00126472447516384,"no"
"SLC24A6",8,1,0.00127982625039449,"no"
"LZTS2",8,1,0.0013177647824249,"no"
"SETX",9,0,0.00134458121855674,"no"
"GPR173",9,0,0.00135097269749948,"no"
"GPAA1",8,1,0.00136216835081633,"no"
"ISL1",9,0,0.00136799221550012,"no"
"SPEN",8,1,0.00136919060937444,"no"
"ARHGEF17",9,0,0.00140070348272234,"no"
"CNKSR1",8,1,0.00140631633978198,"no"
"PTGER3",8,1,0.00140889074946868,"no"
"SATL1",9,0,0.00141064892542585,"no"
"KIF25",8,1,0.00142598429471695,"no"
"TSNARE1",7,2,0.00147293950652031,"no"
"PHLDA2",8,1,0.00148858227410963,"no"
"SMO",8,1,0.00150268992761883,"no"
"UBE3A",7,2,0.00150873921504492,"no"
"NMNAT3",9,0,0.00153795511756067,"no"
"TNKS",7,2,0.00153975047722954,"no"
"DNMT3A",7,2,0.00154343437650586,"no"
"GRAP2",8,1,0.00155298058215589,"no"
"PIM3",9,0,0.00155649108554721,"no"
"LDHAL6B",9,0,0.00156167436579926,"no"
"MDM4",6,3,0.00156349707897193,"no"
"TBX4",7,2,0.0015644522356131,"no"
"GNA11",9,0,0.00158308328914193,"no"
"MARCH5",9,0,0.00158518558074962,"no"
"ARF5",9,0,0.00158939745698027,"no"
"GABRB1",9,0,0.00159573353913694,"no"
"GPR116",9,0,0.0016250561013563,"no"
"SCN4B",7,2,0.00163219840596338,"no"
"SH2D4B",9,0,0.00166086128959839,"no"
"PNCK",9,0,0.0016641500849601,"no"
"WIPI1",8,1,0.00167342097722254,"no"
"AKAP8",8,1,0.00169748410662027,"no"
"F2R",9,0,0.00170686199190366,"no"
"DNAJC2",8,1,0.00171633784701331,"no"
"SETD9",9,0,0.00171641935019695,"no"
"PABPC5",9,0,0.00174194324306261,"no"
"MYOC",7,2,0.00174361309450115,"no"
"CACNG4",8,1,0.00178344015428416,"no"
"KIAA0226",8,1,0.00178976622550498,"no"
"MFGE8",9,0,0.00179222660007663,"no"
"CLK3",9,0,0.00181635752185318,"no"
"EML1",7,2,0.0018221466250248,"no"
"TTN",3,6,0.00184074931543946,"no"
"BAZ1B",9,0,0.00185639888140495,"no"
"GRB2",8,1,0.00186195102575101,"no"
"PIDD",7,2,0.00192657759977275,"no"
"SOCS7",9,0,0.00193628320888454,"no"
"KCNK12",9,0,0.00195135295870365,"no"
"PDE1B",8,1,0.0019749294396792,"no"
"TNFAIP1",9,0,0.00202823898613358,"no"
"HAND2",8,1,0.00210029915564968,"no"
"DAZ1",9,0,0.00216222988732356,"no"
"DAZ3",9,0,0.00216222988732356,"no"
"DAZ2",9,0,0.00216222988732356,"no"
"DAZ4",9,0,0.00216222988732356,"no"
"TPH1",8,1,0.00220728969055659,"no"
"CPVL",8,1,0.00221336856447538,"no"
"LRCH4",8,1,0.00224320967215682,"no"
"RPS6KA1",8,1,0.00224860221962453,"no"
"KDR",9,0,0.00226697850342734,"no"
"PTGER2",9,0,0.00226913189707821,"no"
"DNAJC7",9,0,0.00227344400082078,"no"
"EP300",7,2,0.00230971935022763,"no"
"MEPCE",8,1,0.00237898011614036,"no"
"ARL14",9,0,0.00238432774114291,"no"
"KIAA1239",9,0,0.0023918335067687,"no"
"FOXS1",9,0,0.00242738520116599,"no"
"C8orf44-SGK3",9,0,0.00243882732624799,"no"
"GMFG",9,0,0.00245569352328413,"no"
"SHD",9,0,0.00245646256052909,"no"
"KCTD14",9,0,0.00248584080198349,"no"
"NDUFC2-KCTD14",9,0,0.00248584080198349,"no"
"MED12",9,0,0.00249596078624869,"no"
"NAT8",7,2,0.00250438293111557,"no"
"BTBD8",9,0,0.00254551021434927,"no"
"DOT1L",8,1,0.00256806363703041,"no"
"PSPC1",9,0,0.00259671482520919,"no"
