"","#wt","#mut","pvalue","is_significant"
"TP53I3",7,2,9.63451540769711e-12,"yes"
"COPS8",9,0,1.59905155783235e-09,"yes"
"BTF3",9,0,2.72480027430078e-09,"yes"
"SNRPB2",9,0,1.15690541591107e-08,"yes"
"DDX19B",9,0,1.48043945991105e-08,"yes"
"CDC40",9,0,1.74696156429732e-08,"yes"
"MAP1B",8,1,1.93789732039207e-08,"yes"
"TMEM44",9,0,2.14212967364347e-08,"yes"
"ATP6V1B2",8,1,2.58745030956575e-08,"yes"
"SP3",9,0,4.57272674170284e-08,"yes"
"RGPD5",8,1,5.09738269371951e-08,"yes"
"RGPD1",8,1,5.09738269371951e-08,"yes"
"RGPD6",8,1,5.09738269371951e-08,"yes"
"RGPD2",8,1,5.09738269371951e-08,"yes"
"WWTR1",9,0,1.23232891668934e-07,"yes"
"GNL3L",9,0,1.82592699404793e-07,"yes"
"CAPZA2",9,0,2.00647371939588e-07,"yes"
"MASP1",9,0,2.60490523706913e-07,"yes"
"UBA3",8,1,2.62862120292695e-07,"yes"
"NT5E",9,0,3.42469305247839e-07,"yes"
"SART3",9,0,5.72868307791019e-07,"yes"
"F11R",7,2,6.24797129034071e-07,"yes"
"MKI67IP",8,1,1.19864746161991e-06,"yes"
"WDR70",8,1,1.34849972943663e-06,"yes"
"WASL",9,0,1.38052635179076e-06,"yes"
"NNMT",8,1,1.40524200564762e-06,"yes"
"PAK1IP1",9,0,1.65283645336967e-06,"yes"
"PRPF4",8,1,1.77200167761349e-06,"yes"
"RGPD3",6,3,1.81619235606334e-06,"yes"
"NUP43",9,0,2.52605965578301e-06,"yes"
"ALX1",9,0,2.5755733108479e-06,"yes"
"GPR89B",6,3,2.82558909581176e-06,"yes"
"GPR89A",6,3,2.82558909581176e-06,"yes"
"GPR89C",6,3,2.82558909581176e-06,"yes"
"RGPD8",6,3,2.94023742763994e-06,"yes"
"RBFOX3",8,1,3.06876866740247e-06,"yes"
"METTL2B",9,0,3.45228268927578e-06,"yes"
"UBE2I",9,0,3.51292025269068e-06,"yes"
"DARS",8,1,3.66697325404619e-06,"yes"
"MED19",9,0,3.93847666368963e-06,"yes"
"C7",8,1,4.45847437213764e-06,"yes"
"CASP8AP2",9,0,4.49923003598141e-06,"yes"
"SNAI2",9,0,4.55517958963814e-06,"yes"
"ATP1A1",9,0,4.82557734826639e-06,"yes"
"MAGEA3",9,0,5.11671284630921e-06,"yes"
"MAGEA6",9,0,5.11671284630921e-06,"yes"
"RGPD4",5,4,5.63041182399804e-06,"yes"
"DDX50",9,0,6.14764367801168e-06,"yes"
"FIGLA",9,0,6.64386107263049e-06,"yes"
"ATRIP",8,1,7.20848883728475e-06,"yes"
"PPP2CA",8,1,7.61928002945833e-06,"yes"
"FTSJ3",8,1,7.64088734173107e-06,"yes"
"DAPK3",9,0,7.75383496320892e-06,"yes"
"RNF20",8,1,7.86547271591775e-06,"yes"
"WDR3",9,0,8.61552544417776e-06,"yes"
"LHX3",8,1,8.94605785173308e-06,"yes"
"RBMX",9,0,9.56703331322917e-06,"yes"
"RANBP2",8,1,9.63238487816653e-06,"yes"
"KIF5A",9,0,1.01370523842848e-05,"yes"
"NAA15",8,1,1.01960695021441e-05,"yes"
"COPG1",9,0,1.10065092214784e-05,"yes"
"NFE2L2",9,0,1.12422290193814e-05,"yes"
"GNL3",8,1,1.13187841610518e-05,"yes"
"RBMXL1",9,0,1.16246371171247e-05,"yes"
"CYP2J2",9,0,1.25622419975269e-05,"yes"
