"","#wt","#mut","pvalue","is_significant"
"KRAS",351,32,8.95895858221026e-08,"yes"
"CDK4",369,14,1.06414086365718e-05,"yes"
"TLK2",362,21,8.24281165029894e-05,"yes"
"IL6",351,32,0.000129077012208136,"yes"
"HAS2",333,50,0.00013835107307559,"yes"
"YAP1",366,17,0.000184298202373338,"yes"
"MITF",372,11,0.000218080757646413,"no"
"ITGA4",376,7,0.000322012564127412,"no"
"ERBB2",362,21,0.000406231960530994,"no"
"NTSR1",342,41,0.000515265137066067,"no"
"BRAF",366,17,0.000552434590362372,"no"
"RAB22A",339,44,0.000579200853870799,"no"
"THRA",368,15,0.000952646575416102,"no"
"NRAS",362,21,0.0013332399474004,"no"
"LY9",362,21,0.00137294974208977,"no"
"NPY1R",376,7,0.0014639950356539,"no"
"PPM1D",365,18,0.00147826011946163,"no"
"CLEC2D",373,10,0.00151585932232159,"no"
"RNFT1",367,16,0.00172940005393992,"no"
"FOXA1",366,17,0.00194274305040964,"no"
"TNS3",352,31,0.00204953035482677,"no"
"CACNA1E",369,14,0.0022337622685514,"no"
"MC2R",378,5,0.0034553851005078,"no"
"LY6K",343,40,0.00362104448632697,"no"
"FOXC1",374,9,0.00375352605228925,"no"
"C20orf151",339,44,0.00383991968344113,"no"
"UBE2MP1",374,9,0.00385272058645792,"no"
"OR2T12",363,20,0.00413904159109901,"no"
"OR2T33",363,20,0.00413904159109901,"no"
"TAX1BP1",357,26,0.00420936384875841,"no"
"PMEPA1",339,44,0.00427650996832597,"no"
"DUSP23",363,20,0.00458828863675231,"no"
"ABCA1",378,5,0.00472754141516496,"no"
"AQP4",378,5,0.00497930423263824,"no"
"EGFR",334,49,0.00500949054132726,"no"
"CCNE1",363,20,0.00508984681498024,"no"
"AHCY",363,20,0.00525555130145419,"no"
"PROX1",371,12,0.00530730658666241,"no"
"FOXQ1",374,9,0.00556340239242943,"no"
"BTNL9",359,24,0.00564443653634007,"no"
"PARD6A",377,6,0.00568788686485237,"no"
"TLE3",377,6,0.00598344267811516,"no"
"VLDLR",372,11,0.00608916176771762,"no"
"APCDD1L",339,44,0.00621926234815531,"no"
"ARHGAP11B",373,10,0.00652833983806984,"no"
"HEY2",375,8,0.00656538775647031,"no"
"MDM4",373,10,0.00668126975270656,"no"
"IRX2",357,26,0.0069214240172272,"no"
"DYRK1A",377,6,0.00708364476026395,"no"
"UBD",377,6,0.00719561439521107,"no"
"GJC2",367,16,0.00729650797582514,"no"
"TRPS1",342,41,0.00738599218657328,"no"
"NR1H3",376,7,0.0076258811932246,"no"
"KIF5A",369,14,0.00818200696006031,"no"
"KIRREL",363,20,0.00825088164310478,"no"
"WIF1",378,5,0.00839782162544116,"no"
"PPME1",369,14,0.0084869000038338,"no"
"FLI1",376,7,0.0090266453099339,"no"
"LGR4",375,8,0.00905303918374557,"no"
"METTL1",370,13,0.00907985972773723,"no"
"ANKRD20A4",372,11,0.0092040557224672,"no"
