"","#wt","#mut","pvalue","is_significant"
"KRAS",302,81,6.90637127143147e-49,"yes"
"TP53",193,190,4.03659578110563e-20,"yes"
"BRAF",316,67,1.45344365327004e-18,"yes"
"CTNNB1",358,25,9.73974632078084e-13,"yes"
"NRAS",357,26,8.45839587909997e-12,"yes"
"PIK3CA",328,55,1.21081155150531e-11,"yes"
"DDX27",373,10,6.1241518425311e-06,"yes"
"DCAF8L2",367,16,7.39074239477567e-05,"yes"
"RBM39",373,10,8.42368916500407e-05,"yes"
"MMS22L",366,17,0.00020064274002277,"no"
"SCAP",363,20,0.000219798176963527,"no"
"ANKRD29",374,9,0.000245579036844139,"no"
"RNF20",368,15,0.000278379938111086,"no"
"TOP2A",374,9,0.000328440480263661,"no"
"SLC2A2",374,9,0.000411716012564214,"no"
"FBXW7",359,24,0.000650133914997599,"no"
"SKIV2L2",373,10,0.000676397644777883,"no"
"FCGRT",376,7,0.000727200689788488,"no"
"CCNK",374,9,0.000812281879072249,"no"
"MDM2",374,9,0.000824840067164291,"no"
"RNF40",367,16,0.00091116844224657,"no"
"DDX39B",377,6,0.000919619076603609,"no"
"TTK",369,14,0.000977582024726527,"no"
"PDE5A",370,13,0.00117249785913804,"no"
"WDR46",374,9,0.00122514774079863,"no"
"XRCC5",374,9,0.00127039514247274,"no"
"DLX5",376,7,0.00135387421707329,"no"
"WDR70",374,9,0.00137919367541665,"no"
"KCTD9",377,6,0.00137994710849723,"no"
"POLE2",369,14,0.00138039248019225,"no"
"TAF3",364,19,0.00144665800964266,"no"
"PPIL2",377,6,0.00158136803771711,"no"
"SORD",376,7,0.00168797909476679,"no"
"APC",336,47,0.00176081527997763,"no"
"SOX3",370,13,0.00208359413417499,"no"
"MYC",377,6,0.00218510318568152,"no"
"LRP1B",262,121,0.0022071534671768,"no"
"UBA3",376,7,0.00250285637204755,"no"
"TBL3",372,11,0.00257821792125405,"no"
"KIF2B",346,37,0.0027115534171023,"no"
"RASGEF1A",372,11,0.00278315207995694,"no"
"PRRX1",373,10,0.00293098077999712,"no"
"SREBF1",368,15,0.00303333816125384,"no"
"RNPC3",374,9,0.00303536217551294,"no"
"PRMT1",378,5,0.00304133752457381,"no"
"ARSG",363,20,0.0030489314958619,"no"
"AAMP",378,5,0.00322573708113615,"no"
"GLDC",365,18,0.00324115990875267,"no"
"TENC1",362,21,0.00328094444236133,"no"
"ERN2",366,17,0.00351281037227882,"no"
"FPR1",369,14,0.00353060957864459,"no"
"SLC38A6",373,10,0.00368992810716837,"no"
"LAMA5",312,71,0.00370627703632203,"no"
"KEAP1",352,31,0.00372181469496755,"no"
"EZH2",363,20,0.00385729980401571,"no"
"RAB36",374,9,0.00419338079099026,"no"
"IDO2",375,8,0.0042735165607164,"no"
"IL1RL1",361,22,0.00437465148866473,"no"
"AIFM1",379,4,0.00452383493748743,"no"
"MAPKAPK2",371,12,0.00471262525554111,"no"
"NFE2L2",367,16,0.00485740037518275,"no"
"CCNI",379,4,0.0049833628183537,"no"
"SMAD4",365,18,0.00508988718338171,"no"
"CTSB",376,7,0.0051079199346983,"no"
"RFC5",376,7,0.0051210979799813,"no"
"RNF43",364,19,0.0051276661983186,"no"
