"","#wt","#mut","pvalue","is_significant"
"ARID1A",326,57,0.000119738140780812,"yes"
"ABCA10",374,9,0.00161800474361662,"no"
"CBX8",370,13,0.00178561560824109,"no"
"DNMBP",376,7,0.00197572134190771,"no"
"FGD5",379,4,0.00213350595362616,"no"
"KDM5B",373,10,0.00226100531500062,"no"
"CAPNS1",377,6,0.00253718354531751,"no"
"MMEL1",377,6,0.00266282765136039,"no"
"G2E3",377,6,0.00280710145383001,"no"
"PAN3",379,4,0.00290121196224191,"no"
"DNMT3A",376,7,0.00301517336114321,"no"
"ZFP36L2",373,10,0.00310275119221781,"no"
"ZCWPW2",378,5,0.00370401738813397,"no"
"GLYR1",372,11,0.00375661075334988,"no"
"AKAP13",376,7,0.00377312151029308,"no"
"WDR62",379,4,0.00442646923052603,"no"
"XPA",374,9,0.00448057143561797,"no"
"PDPN",379,4,0.00478926188535955,"no"
"MAP4K3",369,14,0.00520591334174481,"no"
"BCL6",379,4,0.00589929424959523,"no"
"NCSTN",378,5,0.00590744192619752,"no"
"SREK1IP1",379,4,0.00601994454508514,"no"
"TEAD2",367,16,0.00851061496868055,"no"
"CYP4B1",377,6,0.00865676362479617,"no"
"DHX29",376,7,0.0110634823270044,"no"
"POLK",379,4,0.0114772280889153,"no"
"TLK2",379,4,0.0120027185091471,"no"
"SLTM",376,7,0.0126838503394467,"no"
"HECW1",378,5,0.0131249681308786,"no"
"DGKG",379,4,0.0133582162194598,"no"
"SMARCAD1",378,5,0.0135542577330017,"no"
"NR1H2",376,7,0.0135673871980723,"no"
"TRPM1",376,7,0.0137136482996587,"no"
"LARP4B",371,12,0.0142153666571859,"no"
"ARNTL",378,5,0.0144738865333037,"no"
"CIITA",379,4,0.0145364780931634,"no"
"ITGA6",372,11,0.0146740454125428,"no"
"SMARCB1",378,5,0.0147512090837981,"no"
"EED",379,4,0.0148335534042969,"no"
"SLC47A1",378,5,0.016074267269246,"no"
"VAX2",378,5,0.016897959054792,"no"
"CARD11",375,8,0.017291393180957,"no"
"IGSF21",377,6,0.0177921753444423,"no"
"HLA-G",378,5,0.0185231578369045,"no"
"ZC3HAV1",378,5,0.0186281738922263,"no"
"LGALS9",377,6,0.0188755274269879,"no"
"ABCC2",376,7,0.0199240802404389,"no"
"TCEA1",379,4,0.0199640325992259,"no"
"FLT4",374,9,0.0199647177498644,"no"
"GLI2",378,5,0.0204095169726063,"no"
"WDR87",367,16,0.0205960253297044,"no"
"ABCD4",378,5,0.0209994781575737,"no"
"WDR36",364,19,0.0212563604391366,"no"
"RNF213",372,11,0.0213616697141583,"no"
"IL1RAP",375,8,0.0216023463006131,"no"
"SOS2",372,11,0.0216396165225916,"no"
"FRMPD1",377,6,0.0234116325841028,"no"
"ALB",379,4,0.0234853462821103,"no"
"PHF10",378,5,0.0237561346705872,"no"
"WDR63",375,8,0.0252764345006586,"no"
"UBASH3B",379,4,0.0261387107243056,"no"
"MAP2K4",378,5,0.0267090105925895,"no"
"PLXNA2",376,7,0.0269899228026931,"no"
"ANO1",376,7,0.0280952946039149,"no"
"PMS1",377,6,0.0288168093539184,"no"
"KIF5C",374,9,0.0290179540873842,"no"
"ZNF609",362,21,0.0299261930292034,"no"
"COG2",376,7,0.0300610451048593,"no"
"POMT1",379,4,0.0307931741490609,"no"
"MARK2",377,6,0.0308741514299609,"no"
"PDE10A",372,11,0.030964382206971,"no"
"PKN2",377,6,0.0314286868095131,"no"
"DHX57",379,4,0.0318649916798738,"no"
"FOS",379,4,0.03189150289585,"no"
"LEF1",379,4,0.0320950295037126,"no"
"LEO1",378,5,0.0331460308975924,"no"
"RSF1",377,6,0.0333588283385331,"no"
"GPR149",375,8,0.0341982092470642,"no"
"MTMR3",378,5,0.0349047984140424,"no"
"HKDC1",378,5,0.0359901181719833,"no"
"CDKL3",376,7,0.0360936673642402,"no"
"RBM23",366,17,0.0361221643468651,"no"
"MCPH1",362,21,0.0366673589164376,"no"
"CYLD",379,4,0.036816140456485,"no"
"XPO4",376,7,0.0370167046795946,"no"
"BDP1",365,18,0.037234840050438,"no"
"KLHL17",379,4,0.0382772115965633,"no"
"CUL4A",379,4,0.0386389454534268,"no"
"ZEB2",377,6,0.038653908606619,"no"
"HECTD1",369,14,0.0388125506974466,"no"
"KCNH7",374,9,0.0388999445898693,"no"
"GABRG1",377,6,0.0399311829887988,"no"
"C6",373,10,0.0400675288306677,"no"
"ARHGAP31",377,6,0.0402821180435758,"no"
"LOXL2",375,8,0.0429488351307927,"no"
