"","#wt","#mut","pvalue","is_significant"
"ACTB",21,2,0.0108493289563777,"no"
"IL7R",21,2,0.0125000440979316,"no"
"PKP3",21,2,0.0155819912709672,"no"
"PAQR9",20,3,0.0156485698120837,"no"
"WIPI1",21,2,0.0161307672954052,"no"
"ATP6V1G2",21,2,0.0174371217699274,"no"
"DCAF7",21,2,0.0189506046136331,"no"
"CCND2",21,2,0.0208074833340777,"no"
"OR2T29",17,6,0.0214120001067671,"no"
"TMEM207",20,3,0.0226186362934873,"no"
"PSENEN",21,2,0.0253702777246797,"no"
"CA10",21,2,0.0281310736119699,"no"
"NOTCH4",21,2,0.028530329735915,"no"
"HLA-B",21,2,0.0310184321393713,"no"
"NTSR1",21,2,0.0321619365670935,"no"
"CES1",18,5,0.033698934115278,"no"
"NFKBIZ",21,2,0.0357825246173403,"no"
"GNA13",21,2,0.0366831707046009,"no"
"CD36",21,2,0.0390418515227366,"no"
"MED17",21,2,0.0391810221527232,"no"
"AATK",21,2,0.0409553907969132,"no"
"IKZF1",20,3,0.041070433573308,"no"
"HEATR2",21,2,0.0420453715262414,"no"
"FOXK1",21,2,0.0425666449575666,"no"
"TNS3",20,3,0.0428420044288398,"no"
"SEMA3C",21,2,0.0467057145976302,"no"
"FKBP4",20,3,0.047294560472791,"no"
"PCOLCE2",20,3,0.0476083862730975,"no"
"PHC3",21,2,0.047783480368046,"no"
"DDX5",21,2,0.048524496800467,"no"
"WIPI2",21,2,0.0539144325693381,"no"
"CAMK2B",21,2,0.0563600867066994,"no"
"CAPRIN2",21,2,0.056802626991974,"no"
"SMARCD2",21,2,0.0571001065021718,"no"
"B4GALNT3",21,2,0.0571377741710356,"no"
"PHF20L1",21,2,0.0574176678891975,"no"
"CHRD",21,2,0.0577063091536271,"no"
"RFC4",20,3,0.0625004838710291,"no"
"TEX2",21,2,0.0656497440495662,"no"
"CDC27",21,2,0.065894211692348,"no"
"NMNAT3",20,3,0.0660865776378765,"no"
"U2AF1L4",21,2,0.0665967138683959,"no"
"SRMS",21,2,0.0672448616098986,"no"
"IL1RAP",20,3,0.0677951310991948,"no"
"SLC2A2",21,2,0.0691186689502725,"no"
"MDC1",21,2,0.0699345475554061,"no"
"CACNG4",21,2,0.0715888780201106,"no"
"PIK3CA",21,2,0.0718896044877064,"no"
"PRKAR1A",21,2,0.0727300396628472,"no"
"TNF",21,2,0.0800856289463693,"no"
"USP13",21,2,0.0805106202361907,"no"
"SPOP",19,4,0.0812037846607413,"no"
