"","#wt","#mut","pvalue","is_significant"
"KRAS",1,22,0.00272535542459193,"yes"
"TNS1",21,2,0.0069483056622193,"no"
"PRDM7",21,2,0.0100050374938407,"no"
"NIM1",21,2,0.0160804608354856,"no"
"KDM4A",20,3,0.0170434890701446,"no"
"NCAM1",20,3,0.0204548932739433,"no"
"LRRC7",21,2,0.0229421183779926,"no"
"FCGBP",21,2,0.0246884544623472,"no"
"ATP8B2",21,2,0.0267591062451086,"no"
"DUSP19",21,2,0.0322702854968823,"no"
"TP53",7,16,0.035174040247277,"no"
"EPHA7",21,2,0.0424620016752218,"no"
"TMEM97",21,2,0.0443615925047867,"no"
"RRP9",21,2,0.0455591166957316,"no"
"ABCA13",20,3,0.0500682374522885,"no"
"SYT4",21,2,0.050422641790194,"no"
"NRCAM",20,3,0.0680453199405058,"no"
"KLF5",21,2,0.0682365775286893,"no"
"PBX1",21,2,0.068392608120087,"no"
"HNRNPA1",21,2,0.0692919170966384,"no"
"EFNB3",21,2,0.0706035649016825,"no"
"IL1RL1",21,2,0.0706490656446444,"no"
"COL5A1",21,2,0.0751027701873226,"no"
"DUSP26",21,2,0.0778419545396911,"no"
"HIST1H1D",21,2,0.0813503636407001,"no"
"GLI3",21,2,0.0872592451192187,"no"
"ABCA1",20,3,0.0888286643073315,"no"
"DCAF6",21,2,0.0939761273187767,"no"
"LRP1B",17,6,0.0945020923447756,"no"
"MINA",21,2,0.0953753947670016,"no"
"KIF4B",19,4,0.100159591642676,"no"
"NPBWR1",21,2,0.103115936643612,"no"
"CPS1",21,2,0.106581182853713,"no"
"DDX46",21,2,0.111777621046357,"no"
"GABBR1",21,2,0.119815488243038,"no"
"ASAP1",21,2,0.120694417029648,"no"
"MAP1B",21,2,0.130234483842284,"no"
"OBSCN",19,4,0.137232096234896,"no"
"TEP1",20,3,0.141072517146148,"no"
"SPAG4",21,2,0.147088860487871,"no"
"BAZ1A",21,2,0.1602378362097,"no"
"THBS2",21,2,0.174072136638505,"no"
"PARP9",21,2,0.179310607583865,"no"
"PHKB",21,2,0.181831716104749,"no"
"ARL13B",21,2,0.203649230696618,"no"
"CIT",20,3,0.207704118934796,"no"
"CACNA1A",20,3,0.21042889061841,"no"
"HTR7",21,2,0.215396945252053,"no"
"NPFFR1",21,2,0.216030303908481,"no"
"ITIH3",21,2,0.217398307016523,"no"
"DMGDH",21,2,0.228373250326942,"no"
"PLXNB1",21,2,0.228599699827781,"no"
"UTRN",20,3,0.236318460404943,"no"
"CNGA3",21,2,0.238578286198318,"no"
"UNC45B",21,2,0.248980647969127,"no"
"DGKI",21,2,0.258829487172008,"no"
"CSMD3",20,3,0.261181598159057,"no"
"KAT6A",21,2,0.270619175101051,"no"
"YME1L1",21,2,0.276341430877163,"no"
"PRKAG3",21,2,0.276985653049405,"no"
"PXDN",21,2,0.278992604603626,"no"
"SLC9C2",21,2,0.279161773820092,"no"
"ATP10A",20,3,0.279569765655504,"no"
"BCLAF1",21,2,0.286104650987809,"no"
"TMEM189-UBE2V1",21,2,0.287094308073048,"no"
"ITGB4",21,2,0.287521566243158,"no"
"SLITRK2",21,2,0.295348520744998,"no"
"WDFY4",20,3,0.304155399568648,"no"
"MERTK",21,2,0.304723090708517,"no"
"FES",21,2,0.307985582650035,"no"
"BMPR2",21,2,0.309144957921951,"no"
"MMS22L",21,2,0.312139312164368,"no"
"LTBP4",20,3,0.317033376165582,"no"
"SEMA4D",21,2,0.317163636791179,"no"
