"","#wt","#mut","pvalue","is_significant"
"ACACA",21,2,0.0293357352503244,"no"
"ARID1A",19,4,0.0435105925042665,"no"
"SVIL",21,2,0.0878129059697503,"no"
"SMAD4",19,4,0.111528556964945,"no"
"ERCC6L",20,3,0.146894677950222,"no"
"PVRL1",21,2,0.14924099025126,"no"
"MCPH1",20,3,0.165754783345654,"no"
"PLD1",21,2,0.175569422473078,"no"
"TP53",18,5,0.204769108892836,"no"
"CALCR",21,2,0.225644422851561,"no"
"PPP3R1",21,2,0.228997625086426,"no"
"ATG2B",21,2,0.236664571417891,"no"
"ATN1",19,4,0.252653212455352,"no"
"CNTRL",21,2,0.26819585400333,"no"
"ITGB5",21,2,0.29403601322696,"no"
"CDKN2A",20,3,0.356208332056493,"no"
"RABL2A",20,3,0.390598298561802,"no"
"NEK1",21,2,0.401057553082773,"no"
"RNF4",20,3,0.410193813966263,"no"
"KIAA2026",21,2,0.410830407455664,"no"
"RABGAP1",21,2,0.426336037748642,"no"
"CBX8",21,2,0.438217052259636,"no"
"IRS2",21,2,0.451251309281918,"no"
"TICAM1",21,2,0.455471955790074,"no"
"OBSCN",21,2,0.487582933909161,"no"
"PBRM1",21,2,0.519381950898901,"no"
"NBR1",21,2,0.605919513289922,"no"
"GRB14",21,2,0.65717345877703,"no"
"RBM23",21,2,0.704605313666658,"no"
"ZFP36L2",21,2,0.723605070480843,"no"
"FANCM",21,2,0.727247876556513,"no"
"ZFHX4",21,2,0.751485627451425,"no"
"CACNA1F",21,2,0.764413668951311,"no"
"RDH10",21,2,0.765104142422944,"no"
"EP300",19,4,0.787832538100418,"no"
"MACF1",21,2,0.790113537679664,"no"
"TEX15",21,2,0.799024162954989,"no"
"ERMAP",20,3,0.806027028669087,"no"
"KIF5B",21,2,0.808293470171181,"no"
"TTN",20,3,0.872725163160652,"no"
"BRAF",21,2,0.883953753118207,"no"
"CHD9",21,2,0.947287015688525,"no"
"ABCA13",20,3,0.970437818993762,"no"
