"","#wt","#mut","pvalue","is_significant"
"EPSTI1",23,0,2.75304094822307e-07,"yes"
"ABCF1",20,3,3.46438246837949e-07,"yes"
"EEF2",23,0,1.39093348562095e-06,"yes"
"LANCL2",22,1,1.46021895285644e-06,"yes"
"LRCH3",18,5,1.53786199122343e-06,"yes"
"ATP6V1B2",23,0,2.20458642960452e-06,"yes"
"PPP1R16A",21,2,2.59660784375764e-06,"yes"
"RTN4RL2",23,0,2.68029314323491e-06,"yes"
"BMPER",22,1,5.0686955524141e-06,"yes"
"MTSS1L",21,2,6.04661779461364e-06,"yes"
"CASR",22,1,6.39076653742225e-06,"yes"
"KIF23",22,1,6.72868889995408e-06,"yes"
"GABRQ",23,0,7.26309261347444e-06,"yes"
"GRIA4",22,1,1.05099945181046e-05,"yes"
"COPS3",23,0,1.1539675553183e-05,"yes"
"ARHGEF3",22,1,1.26647561696363e-05,"yes"
"COL4A3",22,1,1.38283117594616e-05,"yes"
"VPRBP",23,0,1.47563631293168e-05,"yes"
"GALR3",23,0,1.49973610762754e-05,"yes"
"HNF4G",23,0,1.51964125976525e-05,"yes"
"ADRBK2",22,1,1.62192753129803e-05,"yes"
"TET1",23,0,1.67950361611722e-05,"yes"
"MATN1",23,0,1.80996578779551e-05,"yes"
"IL17RA",22,1,1.90883915408018e-05,"yes"
"ATP2A1",23,0,1.91536052868348e-05,"yes"
"MED4",23,0,1.96359686848078e-05,"yes"
"SIGLEC12",23,0,2.01651181656165e-05,"yes"
"GALK1",21,2,2.10353574242988e-05,"yes"
"ILF3",23,0,2.10369255001841e-05,"yes"
"CDC40",22,1,2.14631737238558e-05,"yes"
"MAT2A",23,0,2.38057351987475e-05,"yes"
"NCSTN",22,1,2.51795920728803e-05,"yes"
"PRPF4",21,2,2.60892103881106e-05,"yes"
"NUP43",23,0,2.79606392003833e-05,"yes"
"CDKN1B",21,2,2.97722719232691e-05,"yes"
"GNL3L",22,1,3.01085326756e-05,"yes"
"RPP38",22,1,3.30765099922482e-05,"yes"
"RAD9B",22,1,3.3667894446749e-05,"yes"
"VPS4A",23,0,3.90228450635102e-05,"yes"
"SBDS",23,0,4.02611084389253e-05,"yes"
"SBDSP1",23,0,4.02611084389253e-05,"yes"
"PCSK7",21,2,4.36688415934798e-05,"yes"
"MAPK11",23,0,4.73590000155975e-05,"yes"
"ATP2B4",23,0,4.85669306634746e-05,"yes"
"VPS28",22,1,5.58064876288503e-05,"yes"
"AHCTF1",22,1,5.98037417619859e-05,"yes"
"CEACAM1",23,0,6.02877584422703e-05,"yes"
"PKP4",23,0,7.28068019331376e-05,"yes"
"TRPM7",23,0,7.39049519088577e-05,"yes"
"MED1",21,2,7.93502711190744e-05,"yes"
"PWP2",23,0,8.06143294945383e-05,"yes"
"PGLYRP2",23,0,8.44596518416112e-05,"yes"
"FOSL1",23,0,8.45041267846042e-05,"yes"
"FBXO5",23,0,8.94918772903743e-05,"yes"
"MED30",21,2,9.0572627638105e-05,"yes"
"MEIS1",22,1,9.06217250020356e-05,"yes"
"LONP1",23,0,9.15528293513669e-05,"yes"
"KDM5B",22,1,9.2952898822999e-05,"yes"
"RAB5B",22,1,9.42246260406195e-05,"yes"
"ERBB4",22,1,0.000102889917152983,"yes"
"EIF4G3",23,0,0.000110198687427845,"yes"
"ALDH5A1",22,1,0.00011275880439671,"yes"
"CDC25C",23,0,0.000115384070421192,"yes"
"ACADSB",23,0,0.000123634560422824,"yes"
"RRAS",23,0,0.000125613390816626,"yes"
"SEMA4D",20,3,0.000133204966828304,"yes"
"DRAP1",23,0,0.000139972211778049,"yes"
"FEV",23,0,0.000154248327205562,"no"
"MEF2D",23,0,0.000154825385290182,"no"
"MYL12A",23,0,0.000158738028871543,"no"
"MYL12B",23,0,0.000158738028871543,"no"
"MED6",23,0,0.000160820437905357,"no"
"TTF1",21,2,0.000162306976260527,"no"
"FOXE1",22,1,0.000171337544716026,"no"
"PTCH1",21,2,0.00019098013821316,"no"
"JUNB",22,1,0.000197432762068776,"no"
"TRPC4",22,1,0.00020079814672333,"no"
"FUBP1",23,0,0.000203154522067983,"no"
"CBWD6",19,4,0.000207603207141992,"no"
"RTP1",20,3,0.000208499512329357,"no"
"KIF26A",22,1,0.000212693989207505,"no"
"ISG20",23,0,0.000222647637102727,"no"
"PHIP",23,0,0.000240048676334224,"no"
"TAPBPL",22,1,0.000241808425966744,"no"
"OPN5",23,0,0.000246861818977681,"no"
