"","#wt","#mut","pvalue","is_significant"
"MCL1",23,0,1.42370983002849e-07,"yes"
"PIM3",23,0,2.45579556024111e-07,"yes"
"MAGEB3",23,0,2.49614765412964e-07,"yes"
"BCHE",18,5,3.20014145849257e-07,"yes"
"TNFRSF19",23,0,4.62889144681178e-07,"yes"
"GPSM1",21,2,8.20407442647664e-07,"yes"
"CLEC1A",22,1,1.71639790780276e-06,"yes"
"ERCC6L2",23,0,1.75822111425639e-06,"yes"
"NIM1",20,3,2.53568712038632e-06,"yes"
"MADD",21,2,5.62327806141738e-06,"yes"
"WDR35",22,1,6.06132787694946e-06,"yes"
"FH",22,1,1.09044404749126e-05,"yes"
"CHRM1",23,0,1.330706150382e-05,"yes"
"ADK",22,1,1.41355033869139e-05,"yes"
"KCNK7",23,0,1.8857750090473e-05,"yes"
"UGT8",23,0,2.10442297315927e-05,"yes"
"EP300",17,6,2.15279069841756e-05,"yes"
"ARHGAP22",22,1,2.34980680517971e-05,"yes"
"RBMS2",22,1,2.61305029236603e-05,"yes"
"CNR2",23,0,3.33448338963871e-05,"yes"
"SMYD1",22,1,3.4543794834363e-05,"yes"
"GPR173",23,0,4.43754724942513e-05,"yes"
"ATOH1",23,0,4.6055440290127e-05,"yes"
"LY6E",22,1,4.77241870037171e-05,"yes"
"HSPA8",23,0,5.37294924928267e-05,"yes"
"TPCN2",22,1,5.37584353993426e-05,"yes"
"LRP1B",16,7,6.02067012864804e-05,"yes"
"STK38",23,0,6.50455760653479e-05,"yes"
"RAB12",23,0,6.5587883074425e-05,"yes"
"LOC100507203",23,0,6.7377227868648e-05,"yes"
"HK3",23,0,7.27831437747906e-05,"yes"
"SH2D1A",23,0,7.56446205188999e-05,"yes"
"MAP2K3",23,0,8.22069598132025e-05,"yes"
"ZFYVE1",23,0,0.000111806346718701,"yes"
"TMEM14C",21,2,0.000113260863671694,"yes"
"TMEM141",23,0,0.000120628841739245,"yes"
"PALB2",22,1,0.00012088793310272,"yes"
"HSH2D",23,0,0.000121644493743411,"yes"
"SETD6",22,1,0.000129770179579158,"yes"
"SHC3",22,1,0.000136621262733838,"yes"
"SLC24A6",23,0,0.00015336964854018,"no"
"TNFRSF12A",22,1,0.000161035063659276,"no"
"TAOK3",22,1,0.000169586620890172,"no"
"AURKAPS1",23,0,0.000179617980153535,"no"
"PKMYT1",22,1,0.000206305143466423,"no"
"PAPL",18,5,0.000206536116033385,"no"
"PLK2",23,0,0.000208343571512226,"no"
"CDC20",23,0,0.000215096360120071,"no"
"ARHGEF15",23,0,0.000224603114110877,"no"
"CDCP1",23,0,0.000235979387921414,"no"
"FOXO1",23,0,0.00024444593015549,"no"
"FOXP3",23,0,0.000252653282316606,"no"
"DDIT4L",23,0,0.000264223751936354,"no"
"MAP1LC3B",23,0,0.000268262426086574,"no"
"MEGF8",23,0,0.000271546425948621,"no"
"PDE4D",23,0,0.000279624349464935,"no"
"NUMB",23,0,0.000285080716123098,"no"
"SMUG1",23,0,0.000291300042085663,"no"
"PPP1R13B",23,0,0.000291612807954644,"no"
"DUSP27",22,1,0.000294304561851311,"no"
"SPTLC3",22,1,0.000296580068100516,"no"
"RASGRP3",23,0,0.000306935519885587,"no"
"ARHGAP8",23,0,0.000335911476756157,"no"
"PRR5-ARHGAP8",23,0,0.000335911476756157,"no"
"RASAL2",23,0,0.000354472227662828,"no"
"WDR25",23,0,0.000402507129656615,"no"
"ALKBH5",22,1,0.000414155158453555,"no"
"UNK",22,1,0.000439363493170308,"no"
"CHST9",22,1,0.000457591854951644,"no"
"PPP2R2A",23,0,0.000461775935400643,"no"
"SORCS2",22,1,0.00049950347791694,"no"
"KPNA6",23,0,0.000499719827886547,"no"
"FOXQ1",22,1,0.000500659560530692,"no"
"SULT1A2",23,0,0.000502788792963282,"no"
"SULT1A1",23,0,0.000502788792963282,"no"
"LLGL1",22,1,0.000508656367839921,"no"
"SALL1",22,1,0.00056641531307422,"no"
"DLC1",22,1,0.000567395330549392,"no"
"KCNT1",23,0,0.00056777037028688,"no"
"GJB1",23,0,0.000575785986634769,"no"
"MAP1LC3B2",22,1,0.000581396272999135,"no"
"ORC5",22,1,0.000628234339818068,"no"
"CCNI2",23,0,0.000664732099556864,"no"
"ACTL6A",21,2,0.000683458419467597,"no"
"HBP1",22,1,0.000684753227454538,"no"
"HERPUD1",23,0,0.000688800439279991,"no"
"ELOVL2",21,2,0.000694524327237489,"no"
"KIF5C",21,2,0.000704606729139301,"no"
"LPP",20,3,0.000732434293723938,"no"
"ACADM",22,1,0.000742976157902975,"no"
"RBMXL2",22,1,0.000752109260431233,"no"
"ABCC10",22,1,0.000805565953634457,"no"
"WDFY3",22,1,0.000806143930778158,"no"
"MEOX2",21,2,0.000809225752115061,"no"
"NFRKB",23,0,0.000813290526455179,"no"
"BRCA1",22,1,0.000823042567980603,"no"
"RUFY1",23,0,0.000831006608109197,"no"
"KDR",22,1,0.000879079807547978,"no"
"LEO1",23,0,0.000893415705114142,"no"
"SUPV3L1",23,0,0.000931009515825143,"no"
"FERMT3",23,0,0.000940789613250059,"no"
"GJD4",22,1,0.000962181316862432,"no"
"MMP14",22,1,0.000979227395917048,"no"
"ATP2B2",22,1,0.0009842235360219,"no"
"KIF5B",20,3,0.000984768001757952,"no"
"SMO",21,2,0.00103794675899926,"no"
"REXO4",23,0,0.00105407260970347,"no"
"UBE3A",23,0,0.00109388202850469,"no"
"TTC3",22,1,0.00113964067537542,"no"
"SHPRH",22,1,0.00117325045286332,"no"
"USP33",23,0,0.00117418393081614,"no"
"DMPK",22,1,0.00118797642135393,"no"
"CNBP",22,1,0.00120266192581275,"no"
"S100A9",23,0,0.00121309451696572,"no"
"PDIK1L",23,0,0.00126249955627555,"no"
"RALGAPA2",21,2,0.00130536863925979,"no"
"MLNR",23,0,0.00134769249953837,"no"
"PSG11",23,0,0.00136544407949424,"no"
"SERTM1",23,0,0.00139453901530651,"no"
"IRF4",22,1,0.00139518302620145,"no"
"SLC44A4",21,2,0.00139958208173452,"no"
"BDP1",20,3,0.00149877898661299,"no"
"COL22A1",21,2,0.00155262428279823,"no"
"CBL",23,0,0.00156105161058395,"no"
"RNF183",23,0,0.00157865019509296,"no"
"ARHGAP15",22,1,0.0015940506096388,"no"
"SHB",22,1,0.00161236362999417,"no"
"DAZ1",23,0,0.00163329901639231,"no"
"DAZ3",23,0,0.00163329901639231,"no"
"DAZ2",23,0,0.00163329901639231,"no"
"DAZ4",23,0,0.00163329901639231,"no"
"ANKRD36B",22,1,0.0016347177150583,"no"
"NYX",22,1,0.00165680554050518,"no"
"RGL2",23,0,0.00166427928024249,"no"
"GTF2E1",22,1,0.0016983852949759,"no"
"NDUFC2",23,0,0.00170742784528499,"no"
"PDE1B",22,1,0.00173057650081332,"no"
"NR1D1",20,3,0.00173390298898091,"no"
"HCLS1",22,1,0.00174055916498161,"no"
"SMARCE1",19,4,0.00175552387793088,"no"
"PLK3",23,0,0.00176235248295142,"no"
"RABEP1",23,0,0.00178251949939867,"no"
"RAB9A",23,0,0.00187691837397574,"no"
"DET1",23,0,0.00193131650918543,"no"
"C1R",22,1,0.00196596625699919,"no"
"EZH2",22,1,0.00196714812177079,"no"
"DCN",23,0,0.00198784449014133,"no"
"PRKCE",23,0,0.00202209261141406,"no"
"SUZ12",23,0,0.00203841626938184,"no"
"CIC",22,1,0.00206614733883825,"no"
"MAF",23,0,0.00208021061029917,"no"
"TTC22",23,0,0.00209503112063969,"no"
"NEUROD2",21,2,0.00211234058884269,"no"
"NRAS",23,0,0.00211757936685653,"no"
"MRPL45",21,2,0.00215613963619909,"no"
"CDRT1",23,0,0.0021700659387287,"no"
"CSNK2A1",23,0,0.00217667470573268,"no"
"HNRNPA2B1",21,2,0.00219027204594935,"no"
"AGAP7",23,0,0.00219346768710704,"no"
"AGAP10",23,0,0.00219346768710704,"no"
"ANKRD36C",23,0,0.00220640793805771,"no"
"RRAS2",22,1,0.00220936660457194,"no"
"PLEKHG3",23,0,0.00222274519606647,"no"
"CDK5",23,0,0.0022284383746346,"no"
"YIF1B",22,1,0.00223539254681637,"no"
"ARNT",23,0,0.00223971394135747,"no"
"GNG12",23,0,0.00225882144091094,"no"
"FXR2",23,0,0.0022755605600997,"no"
"AXIN1",22,1,0.00230848441558795,"no"
"PARP8",23,0,0.00230892054439535,"no"
"TAL2",23,0,0.00233568577106291,"no"
"LGALS14",21,2,0.00236150275366553,"no"
"PSTPIP1",23,0,0.00239339300942654,"no"
"YWHAE",23,0,0.00245140036252867,"no"
"EED",23,0,0.00251217991914521,"no"
"BRWD1",23,0,0.00253711532475631,"no"
"PMS2",21,2,0.00254960135864513,"no"
"PMS2CL",21,2,0.00254960135864513,"no"
"AK4",22,1,0.00258931321721567,"no"
"TFAP2B",23,0,0.00260500725159096,"no"
"C1QL3",23,0,0.00276932806762098,"no"
"CANT1",22,1,0.00278840699256067,"no"
"SAR1B",23,0,0.00279541450878962,"no"
"LGALS1",23,0,0.00285249732159376,"no"
"AGAP5",22,1,0.00289581527680716,"no"
"TTC9",23,0,0.00295807737017018,"no"
"TRIM32",23,0,0.00296636812129192,"no"
"TOP2B",22,1,0.00302883954209499,"no"
"CCDC90A",22,1,0.0030323194475893,"no"
"RNF8",23,0,0.00303971974020512,"no"
"SS18",22,1,0.00308256741678103,"no"
"GCM1",23,0,0.00308580180548501,"no"
"RARG",23,0,0.00309844678551618,"no"
"ERCC1",23,0,0.00312298188275562,"no"
"ARL5B",23,0,0.00314714600364796,"no"
"OPHN1",23,0,0.00316205030318994,"no"
"C1QL1",23,0,0.00319073968962491,"no"
"ZBTB1",23,0,0.00321972202963938,"no"
"SUSD4",23,0,0.00322434163623919,"no"
"STYK1",22,1,0.00323220457616324,"no"
"SLIT1",23,0,0.00328131852217928,"no"
"DAXX",23,0,0.00329030860276414,"no"
"CCNF",22,1,0.00338238994237006,"no"
"SDK1",21,2,0.00351102423069638,"no"
"MTG1",22,1,0.00355673331291528,"no"
"C1orf159",23,0,0.00358191426421495,"no"
"ANKRD36",19,4,0.00359063410210114,"no"
"EMID2",22,1,0.00359325330002691,"no"
"DEAF1",21,2,0.00359547305157903,"no"
"FGFR2",23,0,0.00364727074535132,"no"
"DNAJC27",21,2,0.00366714692696191,"no"
"RASD1",23,0,0.0036842540516121,"no"
"FKBP1A",23,0,0.00370405002136931,"no"
"ZBTB9",23,0,0.00371984444200546,"no"
"DUSP28",23,0,0.00377582226616147,"no"
"JPH4",21,2,0.00382754904609794,"no"
"GSTT2",21,2,0.00385849239018532,"no"
"GSTT2B",21,2,0.00385849239018532,"no"
"AKT1",23,0,0.00386631622589717,"no"
"ZNF197",23,0,0.00396136942628633,"no"
"ABCB10",23,0,0.00401615253778986,"no"
"BCL10",22,1,0.00406821427937665,"no"
"LHX2",23,0,0.00408485094734368,"no"
"DUSP23",23,0,0.00412644630856163,"no"
"GLUD1",23,0,0.00415575616082509,"no"
"GLUD2",23,0,0.00415575616082509,"no"
"C8orf33",21,2,0.00415980592374332,"no"
"LCP2",21,2,0.00419577523273584,"no"
"SLA",21,2,0.00433831407333496,"no"
"GMCL1P1",23,0,0.004349823318471,"no"
"MDM4",23,0,0.00440778673632058,"no"
"LETM1",22,1,0.00443068179781203,"no"
"MTHFSD",22,1,0.00444470654387108,"no"
"MYL3",23,0,0.00454903105991344,"no"
"PACSIN3",22,1,0.0045848743446778,"no"
"RND1",23,0,0.00459707529047348,"no"
"MOS",23,0,0.00461666128636717,"no"
"KLHL4",23,0,0.0046379311132525,"no"
"CDKL1",23,0,0.00464196687755403,"no"
"FBXW7",22,1,0.00464495653505881,"no"
"SLC29A1",23,0,0.00466011378089781,"no"
"IQGAP2",22,1,0.00471164226997012,"no"
"FRYL",23,0,0.00473941534184819,"no"
"AGAP8",22,1,0.00476159096000561,"no"
"ARMC8",21,2,0.00478102107228318,"no"
"KCTD1",22,1,0.00480026984083137,"no"
"EN1",23,0,0.00482750008218047,"no"
"WNT5A",22,1,0.00483486680601564,"no"
"F13B",23,0,0.00484839922706115,"no"
"ARHGEF5",20,3,0.00498382263130148,"no"
"RAD54L",23,0,0.00509043514065111,"no"
"KCP",22,1,0.0051324028070413,"no"
"INPP5F",23,0,0.00515763392589941,"no"
"LPAR1",23,0,0.00525403389325385,"no"
"SLC44A5",22,1,0.00534863279355069,"no"
"HIST1H2BD",22,1,0.00536655830408761,"no"
"ATP13A1",23,0,0.00538099741595144,"no"
"MSI1",23,0,0.00557271883185939,"no"
"FZD3",22,1,0.00558037806714684,"no"
"ULK4",23,0,0.00574136475225162,"no"
"IL6ST",23,0,0.00575602899709504,"no"
"CCNC",23,0,0.00576287766211436,"no"
"IKBKB",22,1,0.00581875806861187,"no"
"CBX3",21,2,0.00585950793870904,"no"
"LMTK2",22,1,0.00586526080893368,"no"
"SDF2",22,1,0.00586710051965644,"no"
"EMILIN1",22,1,0.00596072157905103,"no"
"ITGAE",23,0,0.005972640162339,"no"
"RBPJL",22,1,0.00599039652870781,"no"
"TNFRSF25",22,1,0.00600323746473508,"no"
"GPR143",23,0,0.00605114554193797,"no"
"LMBR1",21,2,0.00619714031179586,"no"
"ACVRL1",23,0,0.00627671035343391,"no"
"HTR1B",23,0,0.00628493666357099,"no"
"SIX2",23,0,0.00629716710979145,"no"
"IRF5",22,1,0.00630819396487414,"no"
"TTC28",23,0,0.00647704008962813,"no"
"MYSM1",22,1,0.00659868317360657,"no"
"CHD3",23,0,0.0066013502744634,"no"
"PLAU",22,1,0.00664626625434739,"no"
"ANGPTL4",23,0,0.00664866497297456,"no"
"FCGR2A",22,1,0.00665990553306484,"no"
"EYA4",22,1,0.00667827542388399,"no"
"RAB25",23,0,0.00669017261813343,"no"
"NUDT17",23,0,0.00674098913182686,"no"
"POTEA",23,0,0.00696011943268549,"no"
"PSENEN",21,2,0.00697569318280333,"no"
"UBE2E1",23,0,0.00700474686230423,"no"
"BTBD1",23,0,0.00717457990204029,"no"
"SLC39A1",23,0,0.0072182218426966,"no"
"PIK3R5",22,1,0.00728668385662701,"no"
"CHMP4C",23,0,0.00729198570456846,"no"
"STARD7",22,1,0.00730988067009442,"no"
"SUSD5",23,0,0.00736163936794021,"no"
"NBEAL2",22,1,0.00739407789693391,"no"
"POLR3B",23,0,0.00746236239607145,"no"
"INTS12",22,1,0.00746440522544978,"no"
"ITPKB",23,0,0.00758808859064231,"no"
"LAMP3",21,2,0.00766536284242514,"no"
"AGAP9",20,3,0.0076765462090429,"no"
"HOXB3",20,3,0.00770752586302581,"no"
"HOXA2",22,1,0.0077229250165749,"no"
"CHIC2",23,0,0.00778271048780443,"no"
"SLC6A12",21,2,0.00782565228622722,"no"
"SCARA3",22,1,0.00783553873525267,"no"
"RXFP2",23,0,0.00784187107897649,"no"
"MDM2",23,0,0.00787260060257811,"no"
"FBXW10",21,2,0.00797249941250777,"no"
"CPVL",21,2,0.00798484983165915,"no"
"MAGEC1",23,0,0.00802102347619527,"no"
"PDCD1LG2",22,1,0.00811782387081683,"no"
"GPR148",23,0,0.008191760005274,"no"
"SLC22A7",22,1,0.00827884789492905,"no"
"TRPV3",23,0,0.00840254442579835,"no"
"ACAN",23,0,0.00846556918310437,"no"
"DYRK1A",23,0,0.00850523651456703,"no"
"OLIG3",23,0,0.00854022263546472,"no"
"HTR3A",23,0,0.00855262015448999,"no"
"MAPRE1",23,0,0.00859839809523344,"no"
"TMEM171",23,0,0.00865727949241679,"no"
"VANGL1",23,0,0.00874639267532062,"no"
"IL36RN",23,0,0.00875647970599203,"no"
"FBLN7",23,0,0.00896494445512552,"no"
"RORA",22,1,0.00908561614030245,"no"
"CBLC",23,0,0.00916848788382441,"no"
"MAP1LC3A",23,0,0.00921959217154933,"no"
"PDZRN4",23,0,0.00930526259587061,"no"
"CD83",22,1,0.00933610213258318,"no"
"KIF9",22,1,0.00942327485837136,"no"
"TXNRD1",23,0,0.00944858788022696,"no"
"EXT2",23,0,0.00949133961817805,"no"
"ERCC8",23,0,0.00949419818389508,"no"
"LEFTY1",23,0,0.00953457167595972,"no"
"ITGAV",23,0,0.00976364554297271,"no"
"ATAD3B",23,0,0.00977816025992084,"no"
"PPM1D",22,1,0.00980467266085572,"no"
"UBE3B",21,2,0.00983894151530962,"no"
"PAK1",23,0,0.00985009436805129,"no"
"CPSF7",23,0,0.00989132255352565,"no"
"RAB4A",23,0,0.0100071105678371,"no"
"GPI",23,0,0.0100151215958737,"no"
"DAZAP2",23,0,0.0101063914026925,"no"
"MLLT10",23,0,0.0101453935345476,"no"
"MCF2",23,0,0.0102021577458774,"no"
"QRFPR",21,2,0.0102464588590861,"no"
"MAGEF1",20,3,0.010264017815428,"no"
"TGFB3",23,0,0.0102745231267305,"no"
"CORO2A",22,1,0.0102888208673005,"no"
"FOXK1",21,2,0.0103018841609982,"no"
"LYL1",23,0,0.0103316739296554,"no"
"ABCC11",22,1,0.0103593195141205,"no"
"RAB2A",22,1,0.0103764077217741,"no"
"DUSP13",21,2,0.0106949329787518,"no"
"CYP27A1",22,1,0.010733250274127,"no"
"NTSR2",22,1,0.0107727901651671,"no"
"ORC1",23,0,0.0108184136572482,"no"
"FOXA1",22,1,0.0109249781775586,"no"
"EPB41",23,0,0.0109930803453806,"no"
"PLAC9",23,0,0.0110635695793719,"no"
"CNKSR1",22,1,0.0111219741115554,"no"
"BRDT",23,0,0.011183515891657,"no"
