"","#wt","#mut","pvalue","is_significant"
"SLC35B3",32,4,0.000751994130179524,"yes"
"SIRPB1",20,16,0.00219493665755444,"no"
"NRAS",32,4,0.00315914086906473,"no"
"LMLN",34,2,0.00606623242935987,"no"
"TACSTD2",34,2,0.00746577002190322,"no"
"FOXQ1",32,4,0.00868011847713677,"no"
"GSTM2",34,2,0.00926397020715755,"no"
"STK38L",34,2,0.00967611524368291,"no"
"PTGER4",33,3,0.0102660915149837,"no"
"FAM8A1",33,3,0.0117389426667457,"no"
"UBE2V1",33,3,0.0125105129122165,"no"
"TMEM189-UBE2V1",33,3,0.0125105129122165,"no"
"PPME1",32,4,0.0128590737730657,"no"
"TWIST1",28,8,0.0139655685420836,"no"
"GPR37",31,5,0.0140552339916958,"no"
"MMP3",34,2,0.0153795180031557,"no"
"MMP10",34,2,0.0153795180031557,"no"
"PARP12",30,6,0.0159743347293294,"no"
"TMEM14B",32,4,0.0167453820862439,"no"
"CDC25B",34,2,0.0170677182114985,"no"
"IRX1",34,2,0.0176935665371446,"no"
"SEMA4A",34,2,0.0193877374429962,"no"
"BCAN",34,2,0.0194097450376564,"no"
"TFAP2A",32,4,0.0198299181925887,"no"
"PROKR2",34,2,0.0198957661083143,"no"
"NOTCH3",34,2,0.0203951623781313,"no"
"L3MBTL2",34,2,0.0204386873727049,"no"
"ARFRP1",32,4,0.0205824843774671,"no"
"NSF",34,2,0.0231928611358469,"no"
"ZCCHC3",33,3,0.0235372090643881,"no"
"ECI2",31,5,0.0240914440409489,"no"
"TMEM189",33,3,0.0249466612683039,"no"
"NCAN",34,2,0.025580902411837,"no"
"MYOC",34,2,0.0258286643862294,"no"
"VAV3",33,3,0.0264255604093687,"no"
"TMEM170B",32,4,0.0265625158198697,"no"
"MLLT11",34,2,0.0304227303590888,"no"
"MYLIP",33,3,0.0325725280129414,"no"
"MRE11A",34,2,0.0337319358250093,"no"
"CBX2",33,3,0.0341455969761284,"no"
