"","#wt","#mut","pvalue","is_significant"
"NRAS",30,6,1.16270678663315e-05,"yes"
"BRAF",6,30,1.41623944020645e-05,"yes"
"TP53",29,7,4.22416297199905e-05,"yes"
"ATP10D",33,3,7.01010134781062e-05,"yes"
"TRPM7",33,3,0.000785368577272699,"no"
"EPSTI1",34,2,0.000872821500790204,"no"
"SLC5A1",34,2,0.00185740551737212,"no"
"GABRA2",32,4,0.00279025273475721,"no"
"CDK4",34,2,0.00380237647474189,"no"
"GPN3",34,2,0.00415540633326376,"no"
"CD1E",34,2,0.00445148234511585,"no"
"MAGEA2",33,3,0.0049570129668953,"no"
"ERN2",32,4,0.00513863247613732,"no"
"ATR",34,2,0.00563555099661286,"no"
"SELL",34,2,0.00640711363750675,"no"
"HS3ST2",33,3,0.00740089066194197,"no"
"GEMIN4",34,2,0.00770409056361187,"no"
"AGAP8",34,2,0.0122483902799734,"no"
"GALK1",34,2,0.0127282066543764,"no"
"SERPINI1",34,2,0.0131917597960264,"no"
"KCNS2",34,2,0.0137315056436868,"no"
"UBR5",34,2,0.0140378823152662,"no"
"DCLK1",33,3,0.0142363122933334,"no"
"SLC2A14",33,3,0.0159480532548725,"no"
"SLIT2",32,4,0.0159498395976909,"no"
"NPY5R",32,4,0.0160313366042311,"no"
"SDHA",32,4,0.0161353769084059,"no"
"F2RL3",33,3,0.0170522228712495,"no"
"AGAP2",34,2,0.0174005674775017,"no"
"COL21A1",33,3,0.0189180632129058,"no"
"CAMK2A",34,2,0.0201281240318517,"no"
"VAV3",33,3,0.0207711012177676,"no"
"BRWD3",33,3,0.0218417873289129,"no"
"TBR1",33,3,0.0226790337781666,"no"
"PKP4",34,2,0.0228797795035332,"no"
"LRRC4B",34,2,0.0233548032765033,"no"
"BTNL9",34,2,0.0233991022385545,"no"
"MPPED2",32,4,0.0254141253470386,"no"
"CYP3A5",33,3,0.0279916313246487,"no"
"KLHL13",33,3,0.0283664455489458,"no"
"MAP3K15",34,2,0.02993953281317,"no"
"CD22",33,3,0.0300715859714128,"no"
"CHRNA7",34,2,0.0300913851707325,"no"
"GPR87",34,2,0.0301965278675739,"no"
"KANSL3",34,2,0.0313247579228833,"no"
"CPB2",33,3,0.0334805311419876,"no"
"MYBBP1A",34,2,0.0344791017686931,"no"
"RAPGEF5",33,3,0.0347832138480645,"no"
"ASXL3",31,5,0.0349406275409467,"no"
"MAGEF1",34,2,0.0353074351650157,"no"
"OR51V1",33,3,0.0366584782278256,"no"
"FRAS1",28,8,0.0400678815765603,"no"
"TDG",33,3,0.0406314666712431,"no"
"ANKRD32",33,3,0.0409884804992793,"no"
"CYP11B2",34,2,0.0412865559078985,"no"
"CEL",33,3,0.0425665820357901,"no"
"VSIG10",34,2,0.0440804514529142,"no"
"ROBO2",32,4,0.0466617464896856,"no"
"NBEA",28,8,0.0467510699603463,"no"
"DGKG",33,3,0.0478914116850905,"no"
"NFIA",34,2,0.0484949114655759,"no"
"NAT14",34,2,0.0492858934266642,"no"
"SHPRH",34,2,0.0495106015692293,"no"
"RELA",33,3,0.0497398288651965,"no"
"RNF213",33,3,0.052030104583022,"no"
"CHD2",33,3,0.0521644240343498,"no"
"ANKK1",34,2,0.0523851280897769,"no"
"LGSN",33,3,0.0534442904368086,"no"
"CDC42BPA",33,3,0.0543863624461807,"no"
"CORO7",31,5,0.0546848179942637,"no"
"USP35",34,2,0.0566047477632239,"no"
"SIGLEC12",33,3,0.0567170624961688,"no"
"PLXNB3",34,2,0.0587034254675839,"no"
"CBX2",34,2,0.0600685920205796,"no"
"SEMA3G",34,2,0.060320551377448,"no"
"SDS",32,4,0.0616376542698021,"no"
"OR52I2",34,2,0.0625636230961645,"no"
"DOPEY1",33,3,0.0625852779092719,"no"
