"","#wt","#mut","pvalue","is_significant"
"MACF1",31,5,0.0178030944298027,"no"
"IL20RA",34,2,0.0317381959120527,"no"
"CD46",34,2,0.0387403589148875,"no"
"RB1CC1",34,2,0.0426352598034048,"no"
"CBLC",34,2,0.0442433743399262,"no"
"PDGFA",34,2,0.0480334981022543,"no"
"TAF1L",34,2,0.0631627125366359,"no"
"CPEB2",34,2,0.0632817040017919,"no"
"ARID1B",34,2,0.0941934891149305,"no"
"MARCO",34,2,0.100458189579274,"no"
"MUC12",34,2,0.102664502677724,"no"
"L3MBTL3",34,2,0.123399325243581,"no"
"CNBD1",34,2,0.125143968586873,"no"
"PXK",34,2,0.126172269481856,"no"
"CDKN2A",31,5,0.132591877588518,"no"
"IRF1",34,2,0.13783666971548,"no"
"ARL13B",34,2,0.137921654268262,"no"
"BAI3",34,2,0.138900839727012,"no"
"PSG11",34,2,0.142129747595991,"no"
"ITGB5",34,2,0.146224934442286,"no"
"ITGAX",32,4,0.149022608840896,"no"
"TCF20",33,3,0.150539701977205,"no"
"CALCR",34,2,0.152476783225786,"no"
"CYP3A4",34,2,0.161477852842378,"no"
"BCAS3",33,3,0.164490898996594,"no"
"SP140L",34,2,0.173705851398533,"no"
"SSH2",34,2,0.179312968756305,"no"
"PTK2B",34,2,0.182114142384439,"no"
"DHX16",34,2,0.183144698524608,"no"
"COL4A2",34,2,0.188337313706611,"no"
"ROS1",34,2,0.189750762834987,"no"
"GLRA3",34,2,0.197639284088233,"no"
"CENPE",34,2,0.205548781753865,"no"
"ARID2",33,3,0.20642150155369,"no"
"ALS2",34,2,0.209643428574584,"no"
"CNOT7",33,3,0.20972496189615,"no"
"PPP3R1",31,5,0.210351693654785,"no"
"PRDM2",34,2,0.212441972917633,"no"
"ATG9A",34,2,0.212912795527739,"no"
"RNF4",32,4,0.222211588501283,"no"
"GABBR2",34,2,0.225677979142003,"no"
"IRS2",34,2,0.229425957013543,"no"
"IGSF1",34,2,0.229807782935003,"no"
"SIGLEC12",34,2,0.234201869866553,"no"
"MPL",34,2,0.241058185828997,"no"
"GGA2",34,2,0.244625313579454,"no"
"ZFHX4",33,3,0.247593205794563,"no"
"TIE1",34,2,0.250153236070091,"no"
"ABCA8",34,2,0.256259695385303,"no"
"CDH6",34,2,0.264862883348626,"no"
"PKD1",34,2,0.267123327897572,"no"
"TTF1",34,2,0.269331969620031,"no"
"DSC2",33,3,0.273319862594694,"no"
"CACNA1B",33,3,0.275372802953987,"no"
"FLNA",34,2,0.287756311005503,"no"
"KLHL14",34,2,0.289027101808238,"no"
"TTC3",34,2,0.289191876838461,"no"
"COL3A1",34,2,0.294760745032711,"no"
"TASP1",34,2,0.296005436225916,"no"
"AHR",34,2,0.303215977356623,"no"
"ANKRD11",33,3,0.303536140796944,"no"
"FLOT2",34,2,0.308728157321416,"no"
"MYO9A",34,2,0.313152206360225,"no"
"PKHD1",34,2,0.318148832230162,"no"
"ARID1A",34,2,0.320021697177797,"no"
"ZNF384",34,2,0.324298618243561,"no"
"SLC16A3",34,2,0.326331053839281,"no"
"C6",34,2,0.332477568909799,"no"
"MYO10",34,2,0.334324218424279,"no"
"MAGEE1",34,2,0.337268271660203,"no"
