"","#wt","#mut","pvalue","is_significant"
"SOX10",33,3,1.51618904598043e-17,"yes"
"CLEC1A",36,0,4.5364316850433e-14,"yes"
"HTR2C",35,1,2.83279630994606e-13,"yes"
"PAK1",34,2,4.10520769071259e-13,"yes"
"ATF1",35,1,1.82282494299138e-12,"yes"
"FERMT2",36,0,2.21575641195799e-12,"yes"
"HSD17B6",36,0,2.62480489938668e-12,"yes"
"GTF2IRD2",35,1,2.97799653967552e-12,"yes"
"GTF2IRD2B",35,1,2.97799653967552e-12,"yes"
"GTF2IRD2P1",35,1,2.97799653967552e-12,"yes"
"TBC1D2B",34,2,4.45695970829371e-12,"yes"
"BRD2",36,0,1.30475666529346e-11,"yes"
"HIST1H2BD",35,1,1.40786391101509e-11,"yes"
"PKP1",34,2,1.48467253361907e-11,"yes"
"MAP3K11",35,1,1.63318653299635e-11,"yes"
"AGXT",34,2,1.82211703792375e-11,"yes"
"NR1D1",34,2,2.07177450426855e-11,"yes"
"EMID2",33,3,2.36109910961067e-11,"yes"
"MAGEB3",36,0,2.4929328721501e-11,"yes"
"KDR",33,3,2.82705921165082e-11,"yes"
"SPRYD4",36,0,5.17661060652556e-11,"yes"
"CYP2B6",35,1,6.35857303393802e-11,"yes"
"ULK4",34,2,9.22466765593343e-11,"yes"
"MAK",30,6,9.65357366011844e-11,"yes"
"FOXJ3",36,0,1.22969814510118e-10,"yes"
"ZRANB2",35,1,2.13631509547934e-10,"yes"
"RHOBTB3",35,1,2.41236776255514e-10,"yes"
"ARHGEF28",33,3,2.88955576701996e-10,"yes"
"GJA10",34,2,4.15872491544977e-10,"yes"
"ESPN",33,3,5.19909000424843e-10,"yes"
"DUSP10",34,2,6.67020521526613e-10,"yes"
"PARP8",33,3,7.6691076522858e-10,"yes"
"CXCL5",35,1,8.81995120667525e-10,"yes"
"FANCE",36,0,9.05125338309648e-10,"yes"
"KCNB1",33,3,9.64908963973025e-10,"yes"
"GSTP1",33,3,1.97991651133753e-09,"yes"
"TBC1D9",35,1,2.09168332440613e-09,"yes"
"CBLC",33,3,2.57739589914397e-09,"yes"
"KCTD4",36,0,2.75351806399909e-09,"yes"
"RAG2",35,1,2.78254156742564e-09,"yes"
"ARHGAP12",36,0,3.02326609636681e-09,"yes"
"VSIG4",35,1,3.10598323582663e-09,"yes"
"ACAP3",32,4,3.1727231519809e-09,"yes"
"PAK6",36,0,3.58493024057468e-09,"yes"
"OXTR",34,2,3.90914080005371e-09,"yes"
"PSTPIP1",36,0,3.94865146812527e-09,"yes"
"PABPC1L2A",36,0,4.08740943622109e-09,"yes"
"PABPC1L2B",36,0,4.08740943622109e-09,"yes"
"CHRNA10",36,0,5.00512676467157e-09,"yes"
"ASCC3",30,6,5.51663340891807e-09,"yes"
"GRIK4",28,8,5.7713655751967e-09,"yes"
"GPR34",33,3,6.67455768413237e-09,"yes"
"VSTM1",36,0,6.77043173358334e-09,"yes"
"ANGPTL4",35,1,6.90894693432477e-09,"yes"
"PEA15",34,2,8.18445508655178e-09,"yes"
"CHST9",33,3,8.52456743437499e-09,"yes"
"AATK",31,5,9.86173118169424e-09,"yes"
"KIAA0226",32,4,1.10299900576027e-08,"yes"
"TAF3",34,2,1.27303097007379e-08,"yes"
"CTCF",35,1,1.41365849133651e-08,"yes"
"ATP1A3",36,0,1.58778817511436e-08,"yes"
"RNF19A",34,2,1.73822260730734e-08,"yes"
"UBN1",34,2,1.82122877778577e-08,"yes"
"TEX14",33,3,1.99495858318122e-08,"yes"
"CNST",33,3,2.00211709054319e-08,"yes"
"TAAR2",35,1,2.00909318871981e-08,"yes"
"GUCY2D",34,2,2.10768626524082e-08,"yes"
"BARX2",32,4,2.31936915449727e-08,"yes"
"CDX4",33,3,2.53908779644032e-08,"yes"
"DUSP4",34,2,2.56559671741453e-08,"yes"
"BAG3",36,0,2.73242626491328e-08,"yes"
"IGSF21",34,2,3.10845906477002e-08,"yes"
"LPAR1",34,2,3.11641103389835e-08,"yes"
"UPK1A",33,3,3.35633796003967e-08,"yes"
"SDR9C7",36,0,3.66783632882205e-08,"yes"
"SH2D4A",33,3,3.6921138540429e-08,"yes"
"LCN9",36,0,3.76249847466644e-08,"yes"
"GABARAP",35,1,4.02706201123584e-08,"yes"
"SLC44A4",35,1,4.14029050781299e-08,"yes"
"UGT8",36,0,4.33737741023577e-08,"yes"
"MADD",32,4,5.309080715864e-08,"yes"
"FKBP2",35,1,5.51341732622253e-08,"yes"
"SUMO2",33,3,5.69884145476251e-08,"yes"
"TBC1D24",34,2,6.01530183580089e-08,"yes"
"DET1",33,3,6.03791857117265e-08,"yes"
"ARHGAP22",32,4,6.29356952807475e-08,"yes"
"SLC24A6",35,1,6.5205907802899e-08,"yes"
"ITIH1",32,4,6.61461968691471e-08,"yes"
"PLEKHA4",34,2,6.92407614762242e-08,"yes"
"PHOX2A",33,3,6.9498354147011e-08,"yes"
"MLNR",36,0,7.02766028995878e-08,"yes"
"DUSP27",33,3,7.67227325040078e-08,"yes"
"FCHO2",36,0,8.13999737966758e-08,"yes"
"REXO4",36,0,8.56840557275511e-08,"yes"
"CDKL1",36,0,8.92250299845831e-08,"yes"
"LCN6",36,0,9.22694032081987e-08,"yes"
"CANT1",33,3,9.37665681048141e-08,"yes"
"SH2D1A",36,0,9.85755896750158e-08,"yes"
"ARHGAP26",35,1,1.09556277975541e-07,"yes"
"LDLR",31,5,1.13588521939534e-07,"yes"
"ITGA10",30,6,1.22962904152344e-07,"yes"
