"","#wt","#mut","pvalue","is_significant"
"TP53",22,14,1.77635683940025e-15,"yes"
"NBN",36,0,3.78475029094716e-13,"yes"
"SNRPA",34,2,6.72351063712995e-13,"yes"
"CFL1",33,3,1.09157127781145e-12,"yes"
"CDC37",32,4,1.13931086787034e-12,"yes"
"CDK1",35,1,2.54485321704578e-12,"yes"
"PTPN13",32,4,3.3708591473669e-12,"yes"
"PPEF1",34,2,3.8924419243358e-12,"yes"
"NR2E3",36,0,8.56337223353876e-12,"yes"
"CLP1",33,3,1.02375885546735e-11,"yes"
"SNRPB2",36,0,1.37803102262524e-11,"yes"
"AGAP2",34,2,1.59217083961494e-11,"yes"
"RNF20",36,0,3.20058424208014e-11,"yes"
"NCBP2",34,2,3.58085783247475e-11,"yes"
"ATP5A1",35,1,4.12595513310521e-11,"yes"
"RFC4",35,1,4.39636105298291e-11,"yes"
"INPP5A",34,2,5.15074649598546e-11,"yes"
"SERPINE3",36,0,6.08720851502653e-11,"yes"
"MAP3K3",34,2,6.72500943821319e-11,"yes"
"CD79A",34,2,7.69344588036347e-11,"yes"
"GABRA6",33,3,9.23835452582011e-11,"yes"
"ICK",36,0,1.38586475628699e-10,"yes"
"ARFRP1",32,4,1.52146739651471e-10,"yes"
"PTPN11",34,2,2.0493662322707e-10,"yes"
"GPR149",31,5,2.54366083751734e-10,"yes"
"ACTG1",32,4,2.58290056009969e-10,"yes"
"RASGEF1C",34,2,3.72306407925294e-10,"yes"
"GNRHR",36,0,4.93856289196515e-10,"yes"
"RBMX2",36,0,7.93215160221905e-10,"yes"
"WDR24",35,1,1.05993436250174e-09,"yes"
"STAT3",36,0,1.17694254342382e-09,"yes"
"FUBP1",34,2,1.4061036779367e-09,"yes"
"FADD",30,6,1.48443490832761e-09,"yes"
"PDZK1IP1",35,1,1.62806257364423e-09,"yes"
"PLRG1",35,1,2.24066754039853e-09,"yes"
"ATP1A1",32,4,2.59492305421105e-09,"yes"
"MAP4K1",35,1,2.64645994008106e-09,"yes"
"MAPKAP1",36,0,2.70169620009142e-09,"yes"
"CDC40",36,0,2.96305757707671e-09,"yes"
"CCNA2",36,0,3.03271219248558e-09,"yes"
"KRAS",35,1,3.0574918152837e-09,"yes"
"FGF3",29,7,3.16076542716814e-09,"yes"
"TNFRSF21",36,0,3.21607929176793e-09,"yes"
"ZBTB49",36,0,3.8729246476521e-09,"yes"
"TRPM7",33,3,4.0199058526369e-09,"yes"
"GPR31",34,2,4.32163860253354e-09,"yes"
"NACC1",34,2,4.79450923407398e-09,"yes"
"DGKZ",35,1,5.07187603027148e-09,"yes"
"TCF7",36,0,5.2926260041275e-09,"yes"
"PRKACG",34,2,5.3498976360089e-09,"yes"
"CDC27",34,2,6.09130845763417e-09,"yes"
"LIFR",30,6,6.53530951577608e-09,"yes"
"PHKB",32,4,6.83509504550983e-09,"yes"
"DDX39B",35,1,7.59941243266837e-09,"yes"
"ATP6V1G2-DDX39B",35,1,7.59941243266837e-09,"yes"
"PBK",35,1,8.32374436043892e-09,"yes"
"COPS8",35,1,9.87686943343391e-09,"yes"
"TLE6",35,1,1.10224971372475e-08,"yes"
"NCOA7",33,3,1.17732328330789e-08,"yes"
