"","#wt","#mut","pvalue","is_significant"
"LOC643387",7,2,0.000555172057876104,"yes"
"C20orf151",7,2,0.00388665584357599,"no"
"CDK14",7,2,0.00815638385766114,"no"
"FARP2",6,3,0.0088486090435261,"no"
"ARFRP1",7,2,0.010583266400503,"no"
"PMS1",7,2,0.0277490447639075,"no"
"STK25",6,3,0.0306653368732394,"no"
"APCDD1L",7,2,0.0341735359760753,"no"
"KIF5A",6,3,0.0386311787336749,"no"
"PTGER3",7,2,0.0400997640577963,"no"
"BAIAP2",7,2,0.0484724924586533,"no"
"AURKA",7,2,0.0510261909484443,"no"
"COL6A3",7,2,0.0582354770058166,"no"
"SS18L1",7,2,0.0665844173546932,"no"
"CD8B",7,2,0.0738508878031171,"no"
"BIRC7",7,2,0.0878885340784962,"no"
"KLHL30",7,2,0.0896208928898721,"no"
"CBLN4",7,2,0.0992934135903686,"no"
"HRH3",7,2,0.105989943149086,"no"
"ELAC2",7,2,0.107550171217086,"no"
"ARL17A",2,7,0.110260233208695,"no"
"ARL17B",2,7,0.110260233208695,"no"
"PCM1",7,2,0.112771811050274,"no"
"IRS1",7,2,0.11932772013798,"no"
"TTL",7,2,0.122708631318584,"no"
"RAB22A",7,2,0.128045231687536,"no"
"TNNI3K",7,2,0.133982628903677,"no"
"FPGT-TNNI3K",7,2,0.133982628903677,"no"
"MAP2K3",7,2,0.138293112668416,"no"
"FOXO3B",7,2,0.145464650446995,"no"
"HS3ST3B1",7,2,0.154124946264248,"no"
"COMT",7,2,0.156165804431417,"no"
"OMA1",7,2,0.158844583768539,"no"
"HDAC4",7,2,0.159069185118829,"no"
"ALKBH5",7,2,0.16549334561983,"no"
"LRRC40",7,2,0.165798536009096,"no"
"JUN",7,2,0.1728378047015,"no"
"GLS",7,2,0.175198448017587,"no"
"KCNJ2",7,2,0.175624292762898,"no"
"CTH",7,2,0.175681938810254,"no"
"DMTF1",7,2,0.18213794852706,"no"
"PMEPA1",7,2,0.186056480048132,"no"
"STAT1",7,2,0.186987968454562,"no"
"MSR1",7,2,0.188795422662177,"no"
"UBE2F",7,2,0.196363095710355,"no"
"CAPRIN2",7,2,0.200942958063041,"no"
"CABLES2",7,2,0.21021157514048,"no"
"CACNA2D1",7,2,0.221734786497389,"no"
"HES6",7,2,0.228409278218071,"no"
"LIME1",7,2,0.231612668727222,"no"
"NTSR1",7,2,0.238342334324292,"no"
"PDE6G",7,2,0.238412980103059,"no"
"KIF1A",7,2,0.238607098371612,"no"
"MC3R",7,2,0.245567301205386,"no"
"CEBPB",7,2,0.252585794195011,"no"
"RAVER2",7,2,0.25359826922767,"no"
"SEMA3E",7,2,0.259950797247395,"no"
"DUSP28",7,2,0.262942703505662,"no"
"TSFM",6,3,0.263012943394017,"no"
"CDK4",6,3,0.268996113137132,"no"
"CRYZ",7,2,0.271059476550121,"no"
"RBM44",7,2,0.274248751346691,"no"
"USP1",7,2,0.275052954255035,"no"
"TSSK2",7,2,0.279890784573696,"no"
