"","#wt","#mut","pvalue","is_significant"
"UBR5",5,4,0.0123322671108971,"no"
"MCF2L2",7,2,0.013439011744819,"no"
"TP53",4,5,0.0168676023115498,"no"
"FGFR1OP",7,2,0.0192328839761995,"no"
"TRPM7",7,2,0.0297965663840538,"no"
"SLC1A5",7,2,0.0383622720201558,"no"
"TJP1",6,3,0.0467840352628823,"no"
"ATG2A",7,2,0.0576450947150913,"no"
"MED6",7,2,0.062051615507846,"no"
"GABRD",7,2,0.0777038196451906,"no"
"RARA",7,2,0.0922169856533318,"no"
"KIF1A",7,2,0.0976281181617286,"no"
"CHD6",7,2,0.0976803885586861,"no"
"ALPK3",7,2,0.102138828547845,"no"
"STK32B",7,2,0.106310396252046,"no"
"ACTA2",7,2,0.107888212294696,"no"
"NCOA1",7,2,0.108040400682228,"no"
"JAK1",7,2,0.108430424659603,"no"
"BPTF",6,3,0.110513554115519,"no"
"HOXC12",7,2,0.131140118360978,"no"
"CD44",7,2,0.135288321337824,"no"
"SI",7,2,0.149646909806239,"no"
"RDH13",7,2,0.162007921770037,"no"
"PDE4C",7,2,0.187560384592536,"no"
"TMC4",7,2,0.202052037698439,"no"
"GPR37",7,2,0.20254959139488,"no"
"CHRNA7",7,2,0.207382849961442,"no"
"C11orf24",6,3,0.208091232046342,"no"
"CACNA1F",7,2,0.220550179076305,"no"
"ANKRD17",7,2,0.225949095402551,"no"
"PARK2",7,2,0.239851438383679,"no"
"MDC1",7,2,0.267155742324725,"no"
"PAPPA2",6,3,0.279091772155388,"no"
"ATAD3A",7,2,0.280138387831107,"no"
"GAMT",7,2,0.282506719984116,"no"
"IRS4",7,2,0.293299356136044,"no"
"LAMP1",7,2,0.295487949094454,"no"
"TFAP2B",7,2,0.299777393984298,"no"
"PKP2",7,2,0.311055909227467,"no"
"INPP5J",7,2,0.318819962960836,"no"
"APH1A",7,2,0.323130156751341,"no"
"NPSR1",7,2,0.32683102447329,"no"
"IGSF9B",7,2,0.332799340288582,"no"
"KCNK5",6,3,0.332802450810406,"no"
"CD80",7,2,0.348609296086801,"no"
"ASB7",7,2,0.367091039781752,"no"
"INPP5E",7,2,0.368743192989482,"no"
"P2RY2",7,2,0.382220499165776,"no"
"ANKRD27",6,3,0.400684605206648,"no"
"PLXNA3",6,3,0.403262482429351,"no"
"MPL",7,2,0.406555728920844,"no"
"PPARG",7,2,0.409818245464239,"no"
"OPN3",7,2,0.41055845882172,"no"
"COL22A1",7,2,0.410852295484804,"no"
"KCNK3",7,2,0.434955633286141,"no"
"ZNF33A",7,2,0.436228151264323,"no"
"GABRA6",7,2,0.446112665800046,"no"
"CR1",6,3,0.44634139731939,"no"
"ZNF638",6,3,0.451107310377239,"no"
"MSR1",7,2,0.457094109765434,"no"
"DAPK1",7,2,0.459382683173714,"no"
"NTRK1",7,2,0.462940921660575,"no"
"RCOR3",7,2,0.463518499134197,"no"
"SMAD5",7,2,0.489026226939591,"no"
"TADA2B",7,2,0.505045017120202,"no"
"RDH12",7,2,0.527634956628832,"no"
"DSC2",7,2,0.532378290783383,"no"
"YWHAZ",7,2,0.53652719669221,"no"
"TOPBP1",7,2,0.56104859251756,"no"
"FCN2",7,2,0.572387286545168,"no"
"TREM2",7,2,0.585531253413881,"no"
"RANBP2",7,2,0.589156402383247,"no"
"OTX1",7,2,0.605096996770552,"no"
"GRM8",7,2,0.642375438737774,"no"
"MYO7A",6,3,0.656654333413425,"no"
"HNRNPCL1",7,2,0.691202886722552,"no"
"MYO15A",7,2,0.692949749869694,"no"
"TRIM32",7,2,0.698119976446273,"no"
"RAPGEF3",7,2,0.705373609342013,"no"
"PPP1R13B",7,2,0.709291857476713,"no"
"TOP3A",7,2,0.711154960562202,"no"
"ANKRD32",7,2,0.7153742697996,"no"
"RLIM",7,2,0.722245891809312,"no"
"ZNF397",7,2,0.731836424242004,"no"
"MCF2L",7,2,0.734553680584415,"no"
"WNT2",7,2,0.735027788818547,"no"
"TAT",7,2,0.75033173260052,"no"
"HECW1",7,2,0.756478626667282,"no"
"CABLES1",7,2,0.758827002569204,"no"
"FAT3",6,3,0.781378639268618,"no"
"ABCC12",7,2,0.782168439113409,"no"
"ANK1",7,2,0.793348763367758,"no"
"ANKRD44",7,2,0.829662865954401,"no"
"MTMR3",7,2,0.838572298934805,"no"
"TECPR1",7,2,0.847975081396152,"no"
"ICK",7,2,0.862880576105588,"no"
"TTN",4,5,0.865336606324824,"no"
"DLG5",7,2,0.872020695578056,"no"
"MGA",7,2,0.87256416744612,"no"
"DCLK2",7,2,0.877258709999569,"no"
"FNIP1",7,2,0.87878344530034,"no"
"TRIO",7,2,0.888490534301742,"no"
"PARP8",7,2,0.910804878277674,"no"
"IGSF11",7,2,0.911357606891508,"no"
"MTMR2",7,2,0.920509337906102,"no"
"KANK1",7,2,0.934462148276861,"no"
"TLN1",7,2,0.946192096344695,"no"
"BTNL2",7,2,0.954112609055157,"no"
"RIPK4",6,3,0.960401046290838,"no"
"MYO3B",7,2,0.962548189469708,"no"
"ACLY",7,2,0.96506641313556,"no"
"NEK1",7,2,0.981834067613553,"no"
"ANKRD11",7,2,0.982943689075561,"no"
"PRMT2",7,2,0.990762405840055,"no"
"SP140L",7,2,0.996481205596024,"no"
