"","#wt","#mut","pvalue","is_significant"
"DNMBP",7,2,0.0226998254246328,"yes"
"NAV2",7,2,0.0299604916667731,"yes"
"TTN",7,2,0.0394824629868805,"yes"
"PDGFRB",7,2,0.105274254055646,"no"
"CHRM5",7,2,0.122393354205292,"no"
"MAP1B",7,2,0.149824817619376,"no"
"RGPD1",7,2,0.294161079674355,"no"
"LPHN3",7,2,0.462261079669918,"no"
"LRRK2",7,2,0.527055326920632,"no"
"CAPNS1",7,2,0.558416682265614,"no"
"GABRG2",7,2,0.643056952020754,"no"
"DHX16",7,2,0.706145652840656,"no"
"ELF4",6,3,0.709992306844929,"no"
"LIG4",7,2,0.800246037910592,"no"
"NFATC2",7,2,0.844523298639301,"no"
"SMO",7,2,0.851696915178151,"no"
"TRO",7,2,0.890194657237263,"no"
"LRP2",7,2,0.898685800025324,"no"
"MYO7B",7,2,0.903230844824906,"no"
"BTN3A3",7,2,0.919742123280062,"no"
