"","#wt","#mut","pvalue","is_significant"
"JPH4",9,0,2.00614413405949e-05,"yes"
"UTY",9,0,2.02791243631501e-05,"yes"
"CLEC7A",8,1,3.82370856545092e-05,"yes"
"WDR65",9,0,7.96224423223071e-05,"yes"
"FXR2",8,1,8.0627015136915e-05,"yes"
"ADRA2C",9,0,8.98381798530473e-05,"yes"
"RPH3A",9,0,0.000114015700369242,"yes"
"GRPR",9,0,0.000133311827606818,"yes"
"LGSN",9,0,0.000141153089278372,"yes"
"HMGA2",8,1,0.00015077957114302,"yes"
"ARHGEF26",8,1,0.000162085643608944,"no"
"WISP1",9,0,0.000194509143339961,"no"
"EPB41",9,0,0.000250335921375155,"no"
"ALKBH2",9,0,0.000286876470056223,"no"
"PAAF1",8,1,0.000390922963578048,"no"
"MCF2L",6,3,0.000403015454464443,"no"
"ABCA10",9,0,0.000445785473963489,"no"
"DGKG",9,0,0.00045844349650231,"no"
"TTC19",8,1,0.000475437422626796,"no"
"ARHGEF38",9,0,0.000579484116820988,"no"
"ING5",5,4,0.000601398307837211,"no"
"NR1H3",9,0,0.000640529445036053,"no"
"SETD7",9,0,0.000671668026972389,"no"
"SPOP",9,0,0.000728731675298872,"no"
"ZCCHC3",8,1,0.000785590586995615,"no"
"PYGO2",9,0,0.000869445563398208,"no"
"DSG1",8,1,0.000965150885110931,"no"
"PTPN3",8,1,0.000984450577270733,"no"
"ANO1",7,2,0.00105434824825021,"no"
"CACNG4",8,1,0.00116374468289466,"no"
"KBTBD13",9,0,0.00117340147370816,"no"
"CLDN11",9,0,0.00119773944518096,"no"
"POU3F2",9,0,0.00125621100034635,"no"
"CES1",6,3,0.00158841034188733,"no"
"MAGEB2",9,0,0.00162799114518278,"no"
"CHST3",9,0,0.00162966645614671,"no"
"HMGN2",9,0,0.00164550261581013,"no"
"TRMT5",9,0,0.00164550261581013,"no"
"DYNC1I1",8,1,0.00165617518455497,"no"
"ELL2",9,0,0.00178663752563345,"no"
"CCNE1",9,0,0.00201397531482487,"no"
"CCNI",9,0,0.00209312516287667,"no"
"DUSP27",8,1,0.00219237041331252,"no"
"MTAP",5,4,0.00226758081511724,"no"
"NMUR2",9,0,0.00228677434606358,"no"
"TCF21",8,1,0.0023928101810947,"no"
"BNC1",9,0,0.00243885868573383,"no"
"RRAGB",9,0,0.00244221762914,"no"
"IL17RA",8,1,0.00252089950327932,"no"
"GRAPL",6,3,0.00260351250148385,"no"
"TPM3",9,0,0.0027070125489364,"no"
"ZNF408",8,1,0.0027332846152087,"no"
"NR3C2",8,1,0.00284078387502802,"no"
"TBC1D9",9,0,0.0029396418761902,"no"
"ATOH1",9,0,0.00302100137499189,"no"
"RASGEF1A",9,0,0.00317794334303207,"no"
"PRDM7",8,1,0.00324619104364186,"no"
"FRAS1",9,0,0.0032942525321605,"no"
"IL7R",9,0,0.00331440438407122,"no"
"CBX4",8,1,0.00336644378758705,"no"
"PIM3",8,1,0.00338541026307733,"no"
"DDX25",9,0,0.00340402073314278,"no"
"MMP14",9,0,0.00345112782682277,"no"
"BRD3",9,0,0.00348298802405177,"no"
"BCKDK",9,0,0.00361040067105074,"no"
"SLC47A2",6,3,0.0036245263031098,"no"
"OR4N5",8,1,0.00367183291046807,"no"
"MARCO",9,0,0.00374649061801938,"no"
"MST1",8,1,0.00382854876668487,"no"
"AKT1",9,0,0.00386806176528218,"no"
"PIGG",9,0,0.00393118323870605,"no"
"ALX4",9,0,0.00426685164423587,"no"
"DLG1",7,2,0.0043038419642307,"no"
"LAMP3",9,0,0.00440400451791025,"no"
"KRTAP5-5",9,0,0.00454682663271678,"no"
"FUK",7,2,0.0045740899016073,"no"
"CBX5",9,0,0.00462283243331505,"no"
"KIAA1549",8,1,0.00500646982965677,"no"
"KIF5C",8,1,0.00503673743739138,"no"
"GDEP",9,0,0.00515823246814313,"no"
"POU3F3",9,0,0.0052119035782644,"no"
"KAT2B",9,0,0.00525761691596648,"no"
"RASD2",9,0,0.00538756591935267,"no"
"TNF",7,2,0.00559934556776297,"no"
"BCAS3",9,0,0.00560886848918605,"no"
"SMAD6",9,0,0.00562302738796601,"no"
"KIF27",8,1,0.00585209951148504,"no"
"DHX57",7,2,0.00586063842404928,"no"
"CBX8",8,1,0.00589012286986276,"no"
"EGFL7",9,0,0.0059163574363156,"no"
"TCF23",9,0,0.00603031195294276,"no"
"ARHGEF19",9,0,0.00604972051241058,"no"
"DHX33",8,1,0.00638995321337234,"no"
"CCNO",9,0,0.00643018994039485,"no"
"ABCB10",8,1,0.00655725831563795,"no"
"EHMT1",8,1,0.00668998677418774,"no"
"TRIM13",7,2,0.00680829455671563,"no"
"ARHGEF6",9,0,0.00689787936747786,"no"
"SH3BP4",7,2,0.00697294572570263,"no"
"MAST1",8,1,0.00705302247454364,"no"
"SLC44A5",7,2,0.00711925449088494,"no"
"CFHR4",9,0,0.00712882163898897,"no"
"MLLT1",8,1,0.00719094555098466,"no"
"CPEB3",9,0,0.00727216715867788,"no"
"UHRF2",6,3,0.00727255988124906,"no"
"IGF1R",9,0,0.00734601287324486,"no"
"HES2",9,0,0.00735819936609892,"no"
"ECI1",9,0,0.00748883187427815,"no"
"MTMR9",9,0,0.00761799825379189,"no"
"CASP9",9,0,0.00768900510337583,"no"
"DYRK4",8,1,0.00775882106478132,"no"
"ERMAP",9,0,0.00779471154825556,"no"
"TXK",9,0,0.00781478318907991,"no"
"SIX6",9,0,0.00783869882570144,"no"
"EIF4B",9,0,0.00794635477385053,"no"
"PMP2",9,0,0.00799881407456698,"no"
"GCM1",8,1,0.00807545899818883,"no"
"TFE3",9,0,0.00809976036822951,"no"
"COL8A1",7,2,0.00812151041577015,"no"
"ITGB3",9,0,0.00859251796632734,"no"
"RER1",9,0,0.00861089154331103,"no"
"AGTR1",9,0,0.0087639705746279,"no"
"PRKAG2",9,0,0.00889475346610804,"no"
"TTC8",9,0,0.00889805292257497,"no"
"MYSM1",7,2,0.00890871892283265,"no"
"EIF5A2",9,0,0.00914498826341914,"no"
"MUC12",8,1,0.00917462526995942,"no"
"TTC3",8,1,0.00917467346875151,"no"
"MBD2",8,1,0.00918870460701441,"no"
"FAS",9,0,0.00927664925245483,"no"
"ERCC6L2",9,0,0.00936039765480216,"no"
"LDLRAD3",9,0,0.00937005154818457,"no"
"DOCK11",9,0,0.00937651677629841,"no"
"GBX1",9,0,0.00938392883746976,"no"
"GPR6",9,0,0.00943275049478196,"no"
"TXNRD1",9,0,0.00944477582503407,"no"
"MAGOHB",8,1,0.00944914412595205,"no"
"TXNDC11",8,1,0.00966239715483513,"no"
"ALDOC",9,0,0.0101265581437942,"no"
"CREB3L4",9,0,0.0102073051254067,"no"
"POU4F1",9,0,0.0103798563186073,"no"
"MICB",7,2,0.0105562703833913,"no"
"BDP1",8,1,0.0106789081277882,"no"
"RBPJL",8,1,0.0106904300255564,"no"
"TAF5L",8,1,0.0107516991758266,"no"
"CSMD1",6,3,0.0107643589466304,"no"
"CSTF2T",8,1,0.010806501975372,"no"
"HAPLN1",9,0,0.010833846863144,"no"
"MASP2",9,0,0.0108359099094573,"no"
"ZRANB2",7,2,0.0109087078228236,"no"
"FER1L6",8,1,0.0110393530415884,"no"
"BRWD1",9,0,0.0110957217349777,"no"
"OR52I2",9,0,0.0111875553426952,"no"
"OR52I1",9,0,0.0111875553426952,"no"
"SOX8",8,1,0.011287832768192,"no"
"PEX10",9,0,0.0113586408023325,"no"
"RAD9B",9,0,0.0116007621124695,"no"
"CKMT2",9,0,0.0116325927103388,"no"
"FNIP1",7,2,0.011734077071438,"no"
"ARHGAP12",8,1,0.0118496300178369,"no"
"KIF21A",8,1,0.0119781530449405,"no"
"H3F3A",8,1,0.0120691142818376,"no"
"H3F3AP4",8,1,0.0120691142818376,"no"
"GLYR1",9,0,0.0120865778390981,"no"
"OTX2",9,0,0.0123133715342217,"no"
"WDR78",7,2,0.0123733197822771,"no"
"HIF1AN",9,0,0.0124292411295061,"no"
"GMFG",9,0,0.012444437888051,"no"
"FCGBP",8,1,0.0126379811826059,"no"
"PDE1B",9,0,0.0127648278012438,"no"
"GNG2",9,0,0.0129296924991875,"no"
"WDR47",8,1,0.0130310284633308,"no"
