"","#wt","#mut","pvalue","is_significant"
"AHCTF1",9,0,2.83959133984268e-09,"yes"
"TP53",3,6,3.80116372822314e-08,"yes"
"EEF2",8,1,4.557848409803e-08,"yes"
"TFRC",8,1,4.94191091826579e-07,"yes"
"RGPD5",9,0,2.49122566287063e-06,"yes"
"RGPD8",9,0,2.49122566287063e-06,"yes"
"RGPD6",9,0,2.49122566287063e-06,"yes"
"RTN4RL2",9,0,3.86887844372463e-06,"yes"
"GKN1",9,0,5.02900775323223e-06,"yes"
"PABPN1",8,1,5.23503036808926e-06,"yes"
"WDR70",9,0,1.04189691669809e-05,"yes"
"NFKBIA",9,0,1.14782126044988e-05,"yes"
"UBA2",9,0,3.42687225791671e-05,"yes"
"FUBP1",8,1,3.57639725581116e-05,"yes"
"MCM6",7,2,7.27415273589216e-05,"yes"
"CDC40",9,0,8.15976886303638e-05,"yes"
"RGPD4",7,2,9.63989158462297e-05,"yes"
"SSRP1",9,0,9.64062736519278e-05,"yes"
"SMN1",9,0,9.6491235394458e-05,"yes"
"SMN2",9,0,9.6491235394458e-05,"yes"
"SART3",9,0,0.00010445900947853,"yes"
"RGPD3",7,2,0.000108296229314186,"yes"
"POU2F2",9,0,0.000111806084183819,"yes"
"WEE1",8,1,0.000118012202189988,"yes"
"SERPINB5",8,1,0.000133702078580211,"yes"
"TTK",8,1,0.000138724950635383,"yes"
"CEBPZ",7,2,0.000142560941511438,"yes"
"ATP6V1B2",8,1,0.000159673142813732,"no"
"RGPD2",7,2,0.000159769628568895,"no"
"WDR7",8,1,0.000163581357432552,"no"
"GNL3",8,1,0.000171818868464513,"no"
"PSIP1",6,3,0.000194027058317614,"no"
"EIF3I",9,0,0.000196179859776824,"no"
"PNN",9,0,0.000197100441099773,"no"
"TNFAIP3",9,0,0.000222686191417742,"no"
"LLGL2",8,1,0.000272243025357,"no"
"USP5",9,0,0.000306827608826832,"no"
"GAK",9,0,0.000324260462028048,"no"
"DROSHA",8,1,0.000371901442354772,"no"
"RANBP2",7,2,0.000391677001759683,"no"
"ISG20",9,0,0.00049809253152322,"no"
"ACTR8",8,1,0.000527410741067658,"no"
"RNF43",9,0,0.000544619330770546,"no"
"DHX37",9,0,0.000549314040291127,"no"
"GNL2",9,0,0.000579403317907512,"no"
"RPAP3",9,0,0.000610663627905517,"no"
