"","#wt","#mut","pvalue","is_significant","tcga_pvalue","tcga_tumor_vs_normal"
"MST1",5,0,4.48679431916108e-06,"yes",0.0270318347297814,"up"
"MST1P2",5,0,4.48679431916108e-06,"yes",0.00332014013694176,"up"
"LRRK2",5,0,5.40274855508029e-06,"yes",1.15398996655478e-72,"up"
"PSIP1",5,0,1.40833586439653e-05,"yes",8.36830841923978e-06,"down"
"IL8",5,0,1.71544115886523e-05,"yes",NA,NA
"CCNO",5,0,3.68133490873288e-05,"yes",0.0251141488896487,"up"
"NME7",5,0,5.49928533151077e-05,"yes",3.6717185250184e-11,"down"
"CAPZA2",5,0,5.69106191437404e-05,"yes",0.210229205988864,"up"
"TMEM241",5,0,7.9119813015866e-05,"yes",0.834008724218125,"up"
"TLN1",5,0,8.16042454178993e-05,"yes",0.673364297225904,"up"
"PAX8",5,0,8.33482010840907e-05,"yes",7.12437788473742e-12,"down"
"WNT11",5,0,8.96035945317358e-05,"yes",3.20615157047602e-14,"down"
"RHOB",5,0,9.41839735935439e-05,"yes",1.18553198098223e-05,"down"
"RNF43",5,0,0.000123443444357936,"yes",4.02900357575953e-07,"up"
"NFIA",5,0,0.000134197983922391,"yes",8.80329105644496e-15,"down"
"SMYD4",5,0,0.000153734458931178,"no",3.63777807898104e-11,"down"
"EGLN1",5,0,0.000154387868474235,"no",0.0120963530230222,"down"
"ACVR2A",5,0,0.000161587320201732,"no",0.479963736215252,"down"
"COL1A2",5,0,0.000176937806108724,"no",1.6940377686694e-09,"up"
"WBP2",5,0,0.000183605571029326,"no",1.10250910861716e-29,"up"
"WWTR1",5,0,0.000199786345724207,"no",2.82553855366267e-06,"down"
"BHLHA15",5,0,0.000224583028709547,"no",3.64462139058879e-05,"down"
"PARP4",5,0,0.000225822446087572,"no",4.62033570936419e-45,"up"
"CLTCL1",5,0,0.000243945185649693,"no",8.79738363325324e-16,"down"
"KCNK5",5,0,0.000253919614580453,"no",4.52843167647586e-40,"up"
"HIF1AN",5,0,0.000268266291334868,"no",0.00286043829948118,"down"
"PSTPIP2",5,0,0.000271952336893864,"no",6.22724806838477e-07,"up"
"TMEM55A",5,0,0.000307212117974139,"no",0.0680759944801207,"down"
"PKN3",5,0,0.00037598510026954,"no",6.37937843873573e-31,"up"
"TWIST1",4,1,0.000381723439026868,"no",0.00457129576717778,"up"
"IP6K2",5,0,0.000394481590316584,"no",2.29870564554376e-05,"up"
"WDR41",5,0,0.000482365186641078,"no",5.24941096638872e-12,"up"
