"","#wt","#mut","pvalue","is_significant","tcga_pvalue","tcga_tumor_vs_normal"
"TFRC",5,0,1.4215332422296e-07,"yes",2.48802581663498e-13,"down"
"RASL10A",5,0,1.60182142772136e-06,"yes",0.813263480906743,"up"
"ILF3",5,0,2.43676181654884e-06,"yes",0.834236810795824,"up"
"EPHB2",5,0,4.41774446380272e-06,"yes",0.000555778306494701,"down"
"RRP9",5,0,7.74199967579214e-06,"yes",1.12412544892871e-19,"up"
"ELL3",5,0,1.56945117022467e-05,"yes",0.507014835257487,"down"
"AATF",5,0,1.73813185497806e-05,"yes",3.84657295048819e-05,"up"
"GUCA1B",5,0,1.86243604980429e-05,"yes",1.66170447682528e-05,"down"
"RFC4",4,1,2.10037299308574e-05,"yes",0.313356963161787,"up"
"FCGRT",5,0,2.57318403077411e-05,"yes",2.00969660591804e-09,"down"
"TTC28",5,0,2.60455628897649e-05,"yes",0.00175473854136575,"down"
"RAD23B",5,0,6.16567197867512e-05,"yes",1.6394429453426e-97,"up"
"MYLIP",5,0,7.25981705477219e-05,"yes",0.0330968982279012,"down"
"ATP1A1",5,0,8.70082651884818e-05,"yes",2.46568276406019e-11,"down"
"WDR3",5,0,8.75058329413703e-05,"yes",1.96899418039597e-05,"down"
"KPNA6",5,0,0.000134901571759438,"yes",2.17281881512468e-06,"up"
"CFL1",5,0,0.000137506685950917,"yes",5.99099781068008e-08,"up"
"FAM20B",5,0,0.000161995025491413,"no",0.00553589095891249,"down"
"PPP4C",5,0,0.000163359990672185,"no",3.03047579815665e-21,"up"
"ATP4A",5,0,0.000186632802098741,"no",1.6779287680049e-06,"down"
"CATSPERG",5,0,0.00019311999870919,"no",2.11390114937228e-07,"up"
"CHRNA5",5,0,0.000224053518633194,"no",0.000116697590259781,"up"
"KCNJ1",5,0,0.000225290598960926,"no",0.705605754390843,"up"
"SDCBP",4,1,0.000244485255616822,"no",9.06170287891272e-09,"down"
"DSC2",5,0,0.000300908699639946,"no",3.43506373205606e-37,"up"
"CAMK2G",5,0,0.000302923405789746,"no",1.47261977142936e-05,"down"
"HNRNPA2B1",4,1,0.000310447829714344,"no",6.99376819070476e-08,"down"
"KEAP1",5,0,0.000357163574433494,"no",4.01500772013556e-08,"up"
"ATP2B2",5,0,0.000394204411079957,"no",0.510348435051303,"up"
"GTPBP6",5,0,0.000404281547245922,"no",0.000568817104286036,"down"
"DCLRE1B",5,0,0.000463455051869621,"no",0.746609244674209,"down"
"ATG4A",5,0,0.000504245150168448,"no",7.72333866097171e-05,"down"
"PPARGC1B",5,0,0.000601786908359769,"no",0.796863788407583,"up"
"PRDX1",5,0,0.000640039278400062,"no",1.00357423203801e-07,"down"
"PARP9",5,0,0.000643312710528976,"no",1.64406689558141e-25,"up"
"SP1",4,1,0.000682287366588596,"no",0.389687331664434,"down"
"ZNF189",4,1,0.000701124215145676,"no",1.68110858260729e-09,"down"
"ABCA1",5,0,0.000708983076139647,"no",1.09432186872744e-16,"up"
"OR2W3",5,0,0.00074653747028508,"no",9.54328967988484e-13,"down"
"UBA3",5,0,0.000816448486052668,"no",0.795941393292336,"up"
"MTMR6",5,0,0.000835476763754839,"no",6.27807154480249e-07,"down"
"ITGB4",4,1,0.000887308220340333,"no",6.14254923698304e-50,"up"
"WDR36",4,1,0.000898715810442208,"no",6.44969127787139e-07,"down"
"SFTPA1",5,0,0.000900051104735677,"no",0.00618265890134717,"up"
"DNMT1",5,0,0.000904888921144265,"no",2.15197145549611e-08,"up"
"TEC",5,0,0.000939339243926529,"no",3.99906929930562e-20,"up"
"TAAR9",5,0,0.000946576886286632,"no",0.20091283432063,"up"
"NEDD8-MDP1",5,0,0.000992684491362583,"no",0.0324406367911273,"up"
"APCDD1L",4,1,0.00101265593878097,"no",2.84553704508225e-14,"up"
"WDR74",5,0,0.00101610687489617,"no",0.00022242082040577,"up"
"SMPD2",5,0,0.00102143733664306,"no",7.66108453080474e-06,"up"
"APRT",5,0,0.00110791059125892,"no",0.00141977109549167,"up"
"LMX1A",5,0,0.00110917793315157,"no",9.53690625738585e-09,"down"
"PPP1R10",5,0,0.0011155320511379,"no",4.32908294000631e-09,"down"
"ITGAL",5,0,0.00113735422210948,"no",0.00861199722928484,"down"
"PHLDA2",5,0,0.00116412200198279,"no",2.55367453317462e-38,"up"
"LOC647859",5,0,0.00124537534246061,"no",NA,NA
"OCLN",5,0,0.00124537534246061,"no",0.071401117749593,"down"
"GLUD1",5,0,0.00131214034156935,"no",3.05107263741791e-05,"down"
"GLUD2",5,0,0.00131214034156935,"no",0.000248467105944093,"up"
"WEE1",5,0,0.00132890449618206,"no",0.0979228478807743,"down"
"PRKAG3",5,0,0.00136294683729388,"no",0.553916230634696,"down"
"HIST1H1C",5,0,0.00137118983759643,"no",1.08958861163357e-05,"up"
