"","#wt","#mut","pvalue","is_significant"
"MFSD3",8,2,3.33076282741331e-05,"yes"
"TFRC",8,2,0.000439336061272403,"yes"
"CYC1",8,2,0.00529206441844098,"no"
"ADIPOQ",8,2,0.00870303882396258,"no"
"MTNR1B",8,2,0.00961641401079389,"no"
"LY6E",8,2,0.0133742729335656,"no"
"PLEKHG3",8,2,0.0151905587690723,"no"
"TCIRG1",6,4,0.0242036244181108,"no"
"PAK2",8,2,0.0255880495359642,"no"
"YAP1",8,2,0.0278239619876857,"no"
"MAPK15",8,2,0.0347230817422546,"no"
"C14orf169",8,2,0.0372650994869346,"no"
"CLDN1",8,2,0.0420144074253044,"no"
"RAB38",8,2,0.0457899512997048,"no"
"SERPINH1",7,3,0.0461065475901071,"no"
"PTGER4",8,2,0.046821275345913,"no"
"OVOL1",5,5,0.0472643772420798,"no"
"NUDT8",5,5,0.0497397619654683,"no"
"PPP1CA",5,5,0.0522178242549349,"no"
"NUMA1",7,3,0.0644289731092441,"no"
"PGR",8,2,0.0666082595306028,"no"
"IRX1",8,2,0.0676074064984393,"no"
"BCHE",8,2,0.0678748162557324,"no"
"ALKBH1",8,2,0.0696259963575229,"no"
"MFN1",8,2,0.0728989228150701,"no"
"AIP",5,5,0.0739244361844186,"no"
"CANT1",8,2,0.0750578909405332,"no"
"LRFN4",5,5,0.0826802592979669,"no"
"CFL1",5,5,0.0836176973346069,"no"
"AHRR",8,2,0.0853666936613418,"no"
"DLG1",7,3,0.085597190005247,"no"
"MFI2",8,2,0.0865464670591656,"no"
"BAD",8,2,0.0870741566559978,"no"
"UBR5",8,2,0.0880955299422426,"no"
"ALG8",7,3,0.089277354311056,"no"
"LMO2",8,2,0.0914189302769483,"no"
"ARL17A",7,3,0.0958556020922746,"no"
"ARL17B",7,3,0.0958556020922746,"no"
"FAM69A",8,2,0.0959035754060724,"no"
"GPAA1",8,2,0.100535188881221,"no"
"CD44",7,3,0.107842145616688,"no"
"GPR149",8,2,0.109670447649994,"no"
"LRP5",6,4,0.11110021797441,"no"
"KLHL35",7,3,0.111847248032171,"no"
"LIFR",8,2,0.112367946232678,"no"
"DDX31",8,2,0.119326955844664,"no"
"SLITRK3",7,3,0.12337142187041,"no"
"DPF3",8,2,0.124532797771995,"no"
"KCNV1",8,2,0.128319651947486,"no"
"PRR5L",8,2,0.129639824777609,"no"
"GPT",8,2,0.131373402182209,"no"
"GAB2",7,3,0.131535980297467,"no"
"C11orf24",6,4,0.131739487878581,"no"
"USP35",7,3,0.137249655784255,"no"
"LDLRAD3",8,2,0.137723885087047,"no"
"SEC62",7,3,0.141576389050921,"no"
"ZBTB25",8,2,0.146628904016516,"no"
