"","#wt","#mut","pvalue","is_significant"
"TTN",5,5,0.0244387674554011,"no"
"CLASP1",8,2,0.032286469358756,"no"
"MCM10",8,2,0.0401828688964905,"no"
"TCIRG1",8,2,0.0521022001237351,"no"
"PRLR",8,2,0.0577718549180716,"no"
"LRP1",8,2,0.0708287769642903,"no"
"KDM6A",8,2,0.0740195546201612,"no"
"PIK3CA",8,2,0.102820797357765,"no"
"APC",7,3,0.154470229498201,"no"
"GUCY2C",8,2,0.178830473328871,"no"
"HERC1",8,2,0.184168957825216,"no"
"KIF15",8,2,0.195525851100513,"no"
"BFSP1",8,2,0.214732032109802,"no"
"RANBP2",7,3,0.21504678620183,"no"
"RNF123",8,2,0.235279972844078,"no"
"PKHD1L1",8,2,0.236370365552713,"no"
"SPEN",8,2,0.241631816870251,"no"
"POTEJ",8,2,0.264565257763805,"no"
"NPAS3",8,2,0.289379259047892,"no"
"ABL1",8,2,0.295183253207198,"no"
"LRP1B",7,3,0.299522591945201,"no"
"FOXK1",8,2,0.316380070665028,"no"
"ARHGAP20",8,2,0.328182845485727,"no"
"PKD1",8,2,0.330147189182488,"no"
"ATP2A2",8,2,0.331512030148012,"no"
"CACNA1A",8,2,0.348952066987541,"no"
"ADCY1",8,2,0.363722751539998,"no"
"PCDH8",8,2,0.384105511509764,"no"
"SEMA3C",8,2,0.391567735806342,"no"
"RAB3IL1",8,2,0.405989356758288,"no"
"PDE6H",8,2,0.419534056195027,"no"
"ZFPM2",7,3,0.436783435422289,"no"
"EIF2AK1",8,2,0.466053407144913,"no"
"GLI3",8,2,0.46922799618189,"no"
"VAV3",8,2,0.472999010744559,"no"
"DHX34",8,2,0.477504402594871,"no"
"CELSR1",8,2,0.491583980369181,"no"
"COL20A1",8,2,0.495612959220004,"no"
"JMJD8",8,2,0.499086809626306,"no"
"TEX2",8,2,0.501691975047229,"no"
"FIGN",8,2,0.502483245697554,"no"
"IBTK",8,2,0.504077036114077,"no"
"HSP90B1",8,2,0.50864228910025,"no"
"CELF5",8,2,0.522801330900225,"no"
"C3AR1",8,2,0.525963603581154,"no"
"ADCY3",8,2,0.527272403149767,"no"
"PLXNA3",8,2,0.532987242656939,"no"
"CHUK",8,2,0.537581408925151,"no"
"TP53",5,5,0.551285185801428,"no"
"AHI1",8,2,0.55579010535828,"no"
"NR5A1",8,2,0.569159688543645,"no"
"CYP2C8",8,2,0.577158387634041,"no"
"SERPING1",8,2,0.593920169461689,"no"
"LAMA5",8,2,0.595520185979764,"no"
"MITF",8,2,0.605556607064965,"no"
"MARK4",8,2,0.609132519848637,"no"
"MACF1",8,2,0.616647255209851,"no"
"CNTNAP2",8,2,0.61809141005574,"no"
"WFIKKN1",8,2,0.647934935768203,"no"
"HLX",8,2,0.649219372830907,"no"
"ROS1",8,2,0.65607841873687,"no"
"FBLN7",8,2,0.657411045871052,"no"
"FASN",8,2,0.665185852989405,"no"
"AFP",8,2,0.66771103650928,"no"
"ABCA12",8,2,0.673583954244409,"no"
"ABCG8",8,2,0.681601668135099,"no"
"RSF1",8,2,0.704262529199173,"no"
"AFF3",8,2,0.712651661965686,"no"
"CYP24A1",8,2,0.713250819290865,"no"
"UTRN",8,2,0.71355421070133,"no"
"PIK3C2A",8,2,0.731034135027704,"no"
"COL5A3",8,2,0.741454810449732,"no"
"PKN2",8,2,0.742754438609931,"no"
"HTR5A",8,2,0.753799794592125,"no"
"ATAD5",8,2,0.761323568205173,"no"
"PEX1",8,2,0.768994772521358,"no"
"SERPINA6",8,2,0.780818762955288,"no"
"KBTBD13",8,2,0.785486970196406,"no"
"NBEAL2",8,2,0.789196719117737,"no"
"MEGF8",8,2,0.796346201489127,"no"
"EPHA6",8,2,0.798813949890251,"no"
"PLEKHG1",8,2,0.802927858467803,"no"
"ITGAD",8,2,0.830861851767902,"no"
"FRYL",8,2,0.857198863111872,"no"
"COL1A2",8,2,0.86351864870183,"no"
"ATP9B",8,2,0.884725357043767,"no"
"BPTF",8,2,0.907912145748512,"no"
"ASCC3",8,2,0.94340401785534,"no"
"GTF3C1",8,2,0.958126705615854,"no"
"ANKHD1",8,2,0.97486105079786,"no"
"FEM1B",8,2,0.984928257607785,"no"
