"","#wt","#mut","pvalue","is_significant","tcga_pvalue","tcga_tumor_vs_normal"
"PSMC4",9,1,3.90230826909033e-11,"yes",2.16281005749129e-20,"up"
"RPP38",10,0,2.30786521778771e-10,"yes",0.00253416412297663,"up"
"SMC1A",10,0,5.64467361226686e-10,"yes",1.31765341256777e-11,"up"
"WDR82",10,0,1.60101486779372e-09,"yes",0.00737588513639133,"down"
"TP63",8,2,2.73193771345817e-09,"yes",5.11947971410123e-22,"up"
"MKI67IP",9,1,3.31645438424852e-09,"yes",NA,NA
"VPRBP",10,0,4.06920628323042e-09,"yes",NA,NA
"MED12",9,1,4.27782552332055e-09,"yes",0.288272825766058,"up"
"CDH1",10,0,7.3327930283163e-09,"yes",0.231586225451251,"up"
"PMP2",10,0,7.57116306609402e-09,"yes",0.0303287388746497,"down"
"GNL3",10,0,7.83764299988056e-09,"yes",0.00160693640287127,"down"
"CDC14A",8,2,8.05091212387753e-09,"yes",0.364084071873113,"down"
"SKIV2L2",9,1,9.74016675211809e-09,"yes",0.358512786413669,"down"
"FBXO5",10,0,1.08468689679752e-08,"yes",1.65664966590352e-36,"up"
"ELP3",10,0,1.84377419677349e-08,"yes",0.00989781326377858,"up"
"FAM22F",10,0,1.86299342363171e-08,"yes",NA,NA
"FAM22G",10,0,1.86299342363171e-08,"yes",NA,NA
"GABRR3",10,0,2.84808957296596e-08,"yes",0.719652828841031,"down"
"POLG",10,0,2.95633853263373e-08,"yes",9.22091174045191e-10,"up"
"RBM28",10,0,5.31083986161493e-08,"yes",7.81849673102659e-22,"up"
"QPCT",9,1,9.76313898402206e-08,"yes",0.0317542782327755,"down"
"MMS22L",10,0,9.90386464383606e-08,"yes",7.71555001770213e-37,"up"
"FTSJ3",10,0,1.0811513590807e-07,"yes",2.95159965570815e-18,"up"
"COL21A1",10,0,1.31162865162635e-07,"yes",0.513483052008092,"up"
"MED7",10,0,1.35993081325639e-07,"yes",0.490910525386306,"down"
"ADH4",10,0,1.42993752253962e-07,"yes",3.92419275052903e-06,"down"
"WDR70",8,2,1.48398351069769e-07,"yes",9.30810952091124e-21,"up"
"VPS28",8,2,1.55019504202451e-07,"yes",2.70064497814631e-05,"up"
"HES3",10,0,1.58514417309755e-07,"yes",0.401477210772358,"down"
"GEMIN5",10,0,1.71743271526376e-07,"yes",0.0344126180037639,"up"
"UBQLN2",10,0,3.02896690462935e-07,"yes",0.194807374138617,"up"
"COPS8",10,0,3.27610149892858e-07,"yes",1.17166926120197e-05,"up"
"USP5",10,0,3.32274650038165e-07,"yes",4.51421666068339e-17,"up"
"UBA3",9,1,3.38959611695917e-07,"yes",0.020802335519891,"down"
"CELSR1",8,2,3.48548661705164e-07,"yes",2.52563134812225e-08,"up"
"SNRPA",10,0,3.51626136784658e-07,"yes",3.56570875422671e-13,"up"
"EMD",10,0,4.73883055025791e-07,"yes",5.18159793872273e-12,"up"
"RPP40",9,1,5.36878450156149e-07,"yes",7.01030597667681e-07,"up"
"ESCO2",10,0,6.96570690624934e-07,"yes",8.21736704389425e-25,"up"
"RPP14",10,0,7.0620182399847e-07,"yes",8.82158185593046e-05,"down"
"CEBPZ",8,2,7.51710153222063e-07,"yes",1.31007037475562e-05,"up"
"KDM2B",10,0,8.24836258411011e-07,"yes",0.0121680757778258,"up"
"WDR3",9,1,9.49656226840613e-07,"yes",0.00362240378725229,"up"
"COPS3",10,0,1.19599124549807e-06,"yes",0.000288244999724296,"up"
"PPP1R12A",10,0,1.76832275898657e-06,"yes",7.10903316832043e-06,"up"
"GABRA6",10,0,1.82754986141682e-06,"yes",0.000364189144354134,"up"
"RBMX2",10,0,1.84608395846941e-06,"yes",5.20356852331985e-19,"up"
"ATP6V1B2",10,0,2.2923288136798e-06,"yes",0.0292605519341659,"up"
"HOXD10",10,0,2.35775796196386e-06,"yes",1.92724324930819e-63,"up"
"RNGTT",10,0,2.66097212514432e-06,"yes",3.23083978364446e-06,"up"
