"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_amplification_associated_with_overexpression","tcga_amplification_frequency","tcga_nrSamplesInGisticData"
"E2F3",8,3,0.00524283334673638,"yes",-0.121786254698294,0.173900734318204,-0.55238049555898,0.208928470247285,7,3,0.244856444710039,"no","",1.40914470556231e-32,0.156862745098039,408
"OSBPL2",9,2,0.0185890833758251,"no",-0.213552716526386,0.321031613818128,-0.351236977806426,0.000586397657343973,8,2,0.37526812883674,"no","",NA,0.00245098039215686,408
"MBOAT1",9,2,0.019373454152379,"no",-0.0335167943647969,0.0931458976235098,-0.0712055554401312,0.158216559514475,8,2,0.0573350752615117,"no","",4.56354843207071e-09,0.134803921568627,408
"JAG1",9,2,0.027082762012972,"no",0.094378322734875,0.222843960197043,-0.0373042867942665,0.0362390773624873,8,2,0.518994966494781,"no","",NA,0.00245098039215686,408
"FAM210B",8,2,0.0295172497080546,"no",-0.0388261929237178,0.0957516101949029,-0.251735241443571,0.111053927224778,7,2,0.589047100364123,"no","",NA,0.00245098039215686,408
"ABCA4",9,2,0.0440381894362311,"no",-0.142705684543859,0.186235477111908,-0.120805036003134,0.0823866428068018,8,2,0.496026168908884,"no","",0.157490799558957,0.00980392156862745,408
"EPB41L1",9,2,0.0517569687622424,"no",-0.000941792365442488,0.125293534618456,-0.135978574793791,0.217133124696763,8,2,0.439622163160913,"no","",0.0175137353402953,0.0122549019607843,408
"RALY",9,2,0.0581560427252894,"no",-0.284368609791832,0.134651787673216,-0.402605312742923,0.103632409615124,8,2,0.602763212601868,"no","",1.90127696263863e-05,0.0416666666666667,408
"AHCY",9,2,0.0715571957782295,"no",-0.0769273345694031,0.0823383197651202,0.0394940645939552,0.104575163831015,8,2,0.52642429540843,"no","",0.00356800176536607,0.0392156862745098,408
"GHRH",9,2,0.0726220959713959,"no",0.0902009330573607,0.141310921558068,-0.160817733371819,0.170257827814666,8,2,0.580101928940384,"no","",NA,0.00980392156862745,408
"ID1",9,2,0.0828984494026203,"no",0.0841214765479081,0.0927722752308329,-0.00563247833276555,0.0345877848458752,8,2,0.69191890129673,"no","",0.0222129729568766,0.053921568627451,408
