"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"METTL1",11,4.91948396800183e-07,"yes",-0.10431687854362,0.12022334839867,10,7.03507909549364e-09,"yes","",2.67049857824922e-08,"up","","",412
"TACR2",11,5.25947834270436e-06,"yes",-0.0116519516029303,0.261057443312306,10,0.958494915704152,"no","",5.01961463033523e-07,"down","","",412
"USPL1",9,1.18710847906746e-05,"yes",-0.459541880792391,0.189450264269952,8,2.54387652069876e-09,"yes","",0.838804984095642,"up","","",412
"FEN1",11,1.21250893478669e-05,"yes",-0.125644788137638,0.180269367425789,10,2.63763360397467e-11,"yes","",8.57452600636393e-09,"up","TP53 (enriched, 44% vs 23%)","RB1 (enriched, 29% vs 5%)",412
"ATRIP",10,3.35760208382152e-05,"yes",-0.173885733738444,0.100814046431719,9,4.94550480671366e-08,"yes","",0.00804486915706934,"up","","",412
"GABPB1",11,7.1758355928824e-05,"yes",-0.692365077123134,0.585503756969816,10,0.000376927678075842,"no","",0.00451878213752198,"up","","",412
"TNFAIP1",11,0.000101930638123369,"yes",-0.0101852231646285,0.126984247422796,10,0.99850584259042,"no","",0.00408725658710765,"up","","EP300 (enriched, 12% vs 3%), RB1 (enriched, 24% vs 9%)",412
"TDRKH",11,0.000159328521073563,"yes",-0.054485249708111,0.116666467497041,10,0.738597626581019,"no","",1.67339720535363e-06,"up","","KMT2C (depleted, 4% vs 13%), RB1 (enriched, 23% vs 10%), STAG2 (depleted, 6% vs 15%)",412
"ADNP",8,0.000193698434093324,"no",-0.178603617683062,0.0812859094756934,7,0.0028913188529148,"no","",0.000151770684067202,"up","","",412
"MATK",11,0.000193821427003871,"no",-0.00686693288346839,0.128579592542582,10,3.30345876815488e-05,"yes","",0.123969797954563,"down","","",412
"PAK2",11,0.000205434906497816,"no",-0.204371980929135,0.182946547836894,10,0.00046176877042601,"no","THCA_Act",0.000125551200158915,"up","","",412
"OXA1L",11,0.000212976296943621,"no",-0.706945216627948,0.184952043990499,10,4.01429065550114e-05,"yes","",0.0166994718138192,"up","","",412
"LEFTY2",9,0.000460129181160948,"no",-0.36113478939402,0.436370471584221,8,0.999883332466036,"no","",0.0004589726495368,"down","","",412
"TAGAP",11,0.000516078172265331,"no",-0.100458849632493,0.113160510889983,10,0.99998828417243,"no","",0.000633311178102969,"down","","",412
"FKBP15",11,0.000547118539827678,"no",-0.222088283942454,0.158354647267719,10,0.997282621116162,"no","",0.00883841899100007,"up","TP53 (enriched, 44% vs 24%)","RB1 (enriched, 24% vs 9%)",412
"SUV39H2",11,0.000556095106250947,"no",-0.0979644925406202,0.156315861128732,10,0.962785167460668,"no","",1.18159572701022e-06,"up","","ELF3 (depleted, 3% vs 11%), RB1 (enriched, 24% vs 10%), STAG2 (depleted, 3% vs 18%)",412
"QSOX2",11,0.000573058140680838,"no",0.0790490359901527,0.12793252797458,10,0.151792035280986,"no","",3.37961340628635e-05,"up","FGFR3 (depleted, 6% vs 20%), TP53 (enriched, 45% vs 22%)","ELF3 (depleted, 3% vs 11%), RB1 (enriched, 25% vs 9%), TSC1 (depleted, 2% vs 9%)",412
"IP6K2",10,0.000577167270131226,"no",-0.217010926807295,0.247913902686215,9,0.0335583652468342,"no","",0.000353528348415232,"up","FGFR3 (enriched, 21% vs 5%)","",412
"STYK1",11,0.000700536236510697,"no",-0.0295282975780715,0.123854335213148,10,0.910541279328856,"no","",0.0264937651707277,"up","","ARID2 (enriched, 7% vs 0%)",412
"FBXL20",11,0.000714118768100909,"no",-0.0656129844453846,0.122671985156975,10,0.999999664791411,"no","",0.970836024738221,"up","","",412
"BTBD2",11,0.000750735860376392,"no",-0.0606193480622566,0.105312381191585,10,0.98328234207994,"no","",0.000163636822315663,"up","","",412
"WNT11",11,0.000821902514209347,"no",-0.0389091019593314,0.0887918985218609,10,0.252869073688448,"no","",0.148049820456736,"up","","",412
"STARD5",10,0.00101560991081169,"no",NA,NA,9,0.999983211203608,"no","",0.26582472244871,"down","","",412
"CLTCL1",11,0.00106097937177055,"no",-0.0170976196255731,0.0699304205671942,10,0.796792525979038,"no","HC_Act",0.142354903402997,"up","","",412
"SNAP29",11,0.00108720849855869,"no",-0.0234703397334907,0.122170100410074,10,3.70554398291638e-05,"yes","",0.905232895349384,"up","","",412
"CBX8",10,0.00113240055608319,"no",-0.0641235493867159,0.13623071042904,9,0.985092060597527,"no","",2.28278891993717e-11,"up","","",412
"PAN3",9,0.00116440213328643,"no",-0.0775354281350657,0.226885510971406,8,0.778659515650327,"no","",0.0630379898075754,"up","","",412
"UCKL1",9,0.00118018354443902,"no",-0.114774529045584,0.0870173011099981,8,0.589165794281052,"no","",4.2706577995844e-08,"up","","",412
"SLC5A1",11,0.0012353247411618,"no",0.0273624134307682,0.0590935996688848,10,0.241892632726909,"no","",0.0397480502342088,"down","","",412
"CCDC101",11,0.00132309957739066,"no",NA,NA,0,NA,NA,"",NA,NA,NA,NA,412
"DDX4",10,0.0013848250215049,"no",-0.158234668287035,0.285534043569358,9,0.806203084053757,"no","",0.0157160286926645,"up","","",412
"GABRB1",10,0.00140331567612249,"no",-0.0175724547818082,0.199038656598943,9,0.999989937031751,"no","",0.462208481196313,"up","","",412
"C15orf55",11,0.00142871626112472,"no",NA,NA,0,NA,NA,"",NA,NA,NA,NA,NA
"HPN",11,0.00144747240562059,"no",-0.175308215024857,0.136589427123216,10,0.698475359334887,"no","",0.6379116942445,"up","","",412
"ARL14",11,0.00148793611123049,"no",0.0381936670688276,0.0731976490229846,10,0.929401036787805,"no","",0.200681170068201,"down","","",412
"SERPINI2",11,0.0016503267908368,"no",-0.0438139573524497,0.181428018998125,10,0.965609822306927,"no","",2.35528185748045e-05,"down","","",412
"BAD",10,0.001723935339853,"no",-0.0123607867689533,0.0635911356302213,9,0.147249365981488,"no","",8.02114272477821e-05,"up","","",412
"WNT9A",10,0.001723935339853,"no",-0.22164163829141,0.128728009495572,9,0.958214435935492,"no","",1.07467352786284e-06,"down","","",412
"L3MBTL4",10,0.00176784927487259,"no",-0.0694313293009473,0.101362070866006,9,0.999493817895434,"no","",0.000479548234330346,"down","","EP300 (enriched, 13% vs 2%)",412
"ANKIB1",11,0.00177421332971939,"no",0.0236639333952065,0.110744885181652,10,0.138937941008552,"no","",0.000434526798181701,"up","","",412
"PCGF2",11,0.00178013163365598,"no",0.0281525381707774,0.142392718762522,10,0.00453704749097472,"no","",4.32852106728347e-09,"up","FGFR3 (enriched, 21% vs 5%)","",412
"TBC1D22B",11,0.00180943741099701,"no",-0.230684155917848,0.172513713432184,10,0.00983493553677632,"no","",0.0345234354166997,"up","","STAG2 (depleted, 5% vs 16%)",412
"PRKAB1",11,0.00188626354201981,"no",-0.0527648010553446,0.162735995603164,10,0.34681115818078,"no","",0.987285204132951,"up","","",412
"CX3CR1",11,0.00188796499559946,"no",0.0308166352848188,0.0732636555594947,10,0.999999861977832,"no","",0.00137690939804887,"down","","",412
"URI1",10,0.00199860989091346,"no",-0.579004299991134,0.287529509892096,9,3.61800718315215e-11,"yes","",0.21489413297156,"up","","",412
"LIF",11,0.00202671123099309,"no",-0.0121710820409883,0.126218969759284,10,0.935984322895179,"no","",0.00154709892012492,"down","","",412
"ATIC",11,0.0020376051600734,"no",-0.0903546138547432,0.14339341532069,10,9.59383170742296e-05,"yes","",4.90708656942449e-05,"up","","",412
"ING4",11,0.00204064034828851,"no",-0.123270676659999,0.0773277760514528,10,0.999999993408226,"no","",0.0860826184413483,"up","","",412
"CDYL2",9,0.00206605551000639,"no",-0.0125780670406825,0.135484821651441,8,0.741836515894568,"no","",0.0913515042489352,"down","","",412
"ARHGAP35",11,0.002143685317211,"no",-0.00399865340394206,0.077569145623904,10,0.999999999945355,"no","LUSC_LoF,UCEC_LoF",0.00319612658941195,"down","","",412
"BCL11A",11,0.00221445359734068,"no",0.0652886293239114,0.081820886660585,10,0.085525230936252,"no","NHLY_Act",0.878555149303093,"up","","",412
"DDX43",11,0.00240389823998413,"no",-0.121627649203837,0.103780392688463,10,0.612980810710554,"no","",0.0131556314133988,"up","","",412
"MCM7",10,0.00241783890189432,"no",-0.972709499403345,0.357464040947416,9,2.59798189468128e-14,"yes","",9.90289305674803e-09,"up","TP53 (enriched, 44% vs 23%)","RB1 (enriched, 26% vs 8%)",412
"BMPER",11,0.0025103725121319,"no",-0.162598601946947,0.126043110843008,10,0.996649476540814,"no","",7.18879948259851e-07,"down","","",412
"FXR2",11,0.00259010268027148,"no",-0.0163930044770155,0.106279421353062,10,0.795939435817904,"no","",0.850544753297664,"up","","",412
"SIK1",11,0.00269132064432676,"no",0.0695369110595099,0.167459845199811,0,NA,NA,"",0.000723823168206968,"down","","",412
"ORC4",11,0.00281442691930188,"no",-0.149787849186523,0.086748118355939,10,1.13198662800014e-07,"yes","",0.202011354461716,"up","","",412
"IGSF21",11,0.00286225014564751,"no",-0.0332112115898575,0.204556973245973,10,0.99560214926929,"no","",0.000132426222889724,"down","FGFR3 (depleted, 5% vs 21%)","",412
"MIOS",11,0.00293072553883161,"no",-0.129484157421097,0.165189486201406,10,7.50484153574752e-09,"yes","",0.127209616501329,"up","","",412
"CD300LF",11,0.00315455114880618,"no",0.0403773626895423,0.10073421948737,10,0.729861257029073,"no","",0.0741310120562029,"up","FGFR3 (depleted, 4% vs 22%)","",412
"RAC1",11,0.00325454866067283,"no",-0.320631945531722,0.386142779105102,10,5.1782382203302e-09,"yes","CM_Act,HNSC_Act",0.000437607081972283,"up","","",412
"XRCC5",11,0.00333857382488629,"no",-0.85807583255156,0.196080030400893,10,1.39072376846875e-09,"yes","",0.349019698763897,"up","","",412
"HDAC9",10,0.00345379556367378,"no",-0.0190393632902191,0.154107560415623,9,0.999848379954303,"no","",0.000741354831796661,"down","FGFR3 (depleted, 4% vs 22%)","RB1 (enriched, 24% vs 9%)",412
"DMGDH",11,0.0035772068070479,"no",-0.136990364184923,0.106339120306785,10,0.999990686380213,"no","",2.13797498164741e-10,"down","","",412
"TCEB2",10,0.00367046010406688,"no",NA,NA,0,NA,NA,"",NA,NA,NA,NA,412
