"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"TP53",3,1.06165021218629e-09,"yes",0.707258039871892,0.032698737527437,2,5.19788220243456e-08,"yes","ACC_LoF,ALL_LoF,AML_LoF,AN_LoF,ANGS_LoF,BC_LoF,BLCA_LoF,BLY_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,EWS_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LEIS_LoF,LGG_LoF,LUAD_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,MM_LoF,NHLY_LoF,NSCLC_LoF,NSPH_LoF,OS_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,THCA_LoF,THYM_LoF,UCEC_LoF,UCS_LoF,VV_LoF,WT_LoF",0.0314445172985606,"up","","TP53 (depleted, 3% vs 30%)",412
"TFRC",11,0.000119314257536751,"yes",-0.284963501959148,0.453234768717692,10,0.99999999636321,"no","",8.47188181490324e-05,"up","","",412
"SRSF11",11,0.000149380066228555,"yes",-0.260299113129304,0.131541019679038,10,0.999999999989256,"no","",0.000278611400374612,"up","","",412
"BLOC1S1-RDH5",11,0.000152189663603086,"yes",-0.164377693182112,0.180424635324132,0,NA,NA,"",NA,NA,NA,NA,412
"RDH5",11,0.000152189663603086,"yes",-0.0480046853185439,0.113278581160158,10,0.688553902047793,"no","",0.00186246824345063,"down","","",412
"TNFRSF12A",10,0.000262407951536425,"no",0.0659879330264964,0.130125096802815,9,0.998174865225594,"no","",0.0238123500253823,"up","FGFR3 (depleted, 6% vs 20%)","",412
"BTAF1",11,0.000286861036379094,"no",0.102552735799243,0.155819143528808,10,0.998930754172587,"no","",0.914150823962448,"up","","",412
"PITX2",11,0.000305259544852721,"no",0.0664242293491581,0.103390232962166,10,0.0778132306080686,"no","",4.41942808192815e-05,"down","","",412
"NAA50",11,0.000368958735107894,"no",-0.0743357058369749,0.226010949797062,10,0.999999999996058,"no","",0.000226992065073942,"up","","",412
"HOXA10",10,0.000387746014091972,"no",0.0909699427805807,0.0993791077038126,9,0.642459954427296,"no","",0.505083484872145,"down","","",412
