"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_amplification_associated_with_overexpression","tcga_amplification_frequency","tcga_nrSamplesInGisticData"
"RNFT1",19,4,0.00113790827123451,"no",-0.00285615087516712,0.0471103103172466,-0.0006858332648525,0.0515326273509991,15,3,0.0435546911561984,"no","",2.05876803113867e-31,0.085981308411215,1070
"NBEA",17,2,0.00166861255303716,"no",NA,NA,NA,NA,14,2,0.686977555502572,"no","BC_ambiguous,CM_ambiguous,COREAD_ambiguous,DLBCL_ambiguous,ESCA_ambiguous,HC_ambiguous,PAAD_ambiguous",0.1213268978539,0.0102803738317757,1070
"NRAS",20,2,0.00194585172830749,"no",0.00707979633559092,0.094249306449787,-0.51375786734949,0.320364115068329,16,2,0.122201068520303,"no","ALL_Act,AML_Act,ANGS_Act,CH_Act,CLL_Act,CM_Act,COREAD_Act,GBM_Act,HC_Act,LGG_Act,LUAD_Act,LUSC_Act,MGCT_Act,MM_Act,NSPH_Act,OV_Act,PAAD_Act,PRAD_Act,THCA_Act,THYM_Act,UCEC_Act",2.21835181387575e-06,0.00747663551401869,1070
"PPM1D",17,4,0.00241200256796992,"no",0.154286471387327,0.187607881460967,-0.183538821051818,0.570184880373503,14,3,0.240210238441758,"no","HGG_LoF,PIA_LoF,SBCC_LoF",5.62424267433447e-37,0.0822429906542056,1070
"TRIO",17,3,0.00481135804531043,"no",0.0374951715343872,0.0833879402506753,-0.0706405349320838,0.240975945737462,14,2,0.305360395695613,"no","",2.99513819684348e-05,0.0261682242990654,1070
"GNB1L",20,2,0.00577289254796283,"no",0.0446394175432129,0.184519248513163,-0.0184612467597037,0.000438209676111904,16,2,0.512742600095606,"no","",0.0293390311494512,0.00747663551401869,1070
"TFAP2C",16,6,0.00608215200417423,"no",-0.0115625455344886,0.107241667943532,-0.555686277363427,0.851876395806132,14,4,0.536040809846883,"no","",3.14941682091072e-13,0.0411214953271028,1070
"IRX2",17,5,0.00661304022345771,"no",-0.0715952677662905,0.273618302584414,-0.0769246897693547,0.152510574348481,14,4,0.471555159968314,"no","",0.0853889519368198,0.0186915887850467,1070
"ABCA8",14,6,0.00678261126515981,"no",0.247085182644522,0.196590238248245,0.109113564642507,0.164066985510233,10,5,0.198616904365049,"no","",0.487414043006811,0.0485981308411215,1070
"NRBP2",16,7,0.00860050346042337,"no",0.158808900357032,0.201455882973524,-0.0145993212152619,0.118499946777588,12,6,0.37486002295564,"no","",1.74192053743484e-11,0.103738317757009,1070
"SERPINC1",21,2,0.00865458133133817,"no",0.053670237361131,0.122749379221165,0.0126126735171413,0.0101647192342758,16,2,0.515339315797929,"no","",0.330088819560983,0.0663551401869159,1070
"ITLN1",20,2,0.0120770643302403,"no",-0.056013426466724,0.18540267981863,-0.130741766156982,0.0776116782449262,16,2,0.577646915945696,"no","",0.0141999414875823,0.0934579439252336,1070
