"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_deleterious_mutation_frequency","tcga_nrSamplesInMutData"
"TP53",5,6,0.000394806830331104,"yes",0.0266874757959678,0.925621520483976,-0.238465583325913,0.325290955246892,4,5,0.526439356231055,"no","ACC_LoF,ALL_LoF,AML_LoF,AN_LoF,ANGS_LoF,BC_LoF,BLCA_LoF,BLY_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,EWS_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LEIS_LoF,LGG_LoF,LUAD_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,MM_LoF,NHLY_LoF,NSCLC_LoF,NSPH_LoF,OS_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,THCA_LoF,THYM_LoF,UCEC_LoF,UCS_LoF,VV_LoF,WT_LoF","yes",0.140973630831643,986
"CSMD1",12,2,0.022242043476216,"no",-0.187397171774356,0.266930805221334,-0.141543431718051,0.0895728853580765,10,2,0.833456261571038,"no","","yes",0.00608519269776876,986
"GATA3",19,2,0.0563096146507972,"no",-0.0866784422470924,0.430185111047068,-0.777040677402527,0.0115750203794071,15,2,0.254280915927931,"no","ALL_LoF,BRCA_LoF","yes",0.12474645030426,986
"ARID1B",20,2,0.0564803045872735,"no",-0.002876504712504,0.139739729390424,-0.340736268348486,0.313608303767019,16,2,0.121711266255633,"no","BLCA_LoF,BRCA_LoF,COREAD_LoF,DLBCL_LoF,HC_LoF,HGG_LoF,LGG_LoF,LUSC_LoF,MBL_LoF,PAAD_LoF,PIA_LoF","yes",0.00304259634888438,986
"ABCA8",14,3,0.065205949124185,"no",0.247085182644522,0.196590238248245,0.0661603396288179,0.063678974413293,10,3,0.263651621053901,"no","","yes",0.00405679513184584,986
"ZFHX3",20,2,0.0701983778845196,"no",-0.410489014784852,0.352417696548267,-0.594324610235887,0.18224003378616,17,1,NA,NA,"BLCA_LoF,BRCA_LoF,DLBCL_LoF,MM_LoF,PAAD_LoF,PRAD_LoF,THYM_LoF,UCEC_LoF,VV_LoF","yes",0.00811359026369168,986
"TTC3",17,5,0.155696734888141,"no",0.106866511023422,0.123137255877855,-0.00873547262427805,0.136325047652244,15,3,0.0811022403611959,"no","","yes",0.00101419878296146,986
"KMT2A",17,3,0.161722517771348,"no",0.0100457493489508,0.242676426207761,-0.101718823417715,0.229486273914406,13,3,0.458462420865682,"no","ACC_LoF,BCNET_LoF,BLCA_LoF,CM_LoF,ESCA_LoF,HC_LoF,OV_LoF,PRAD_LoF,SBCC_LoF,THCA_LoF","yes",0.0111561866125761,986
"PTPN13",21,2,0.173065531420339,"no",-0.0206237227562033,0.133483334283511,-0.161178207569131,0.00423411246570302,17,1,NA,NA,"BRCA_LoF","yes",0.00304259634888438,986
"MYH9",19,2,0.210115634845878,"no",-0.080375815928323,0.275562547122913,-0.154897992081634,0.217954216795446,15,2,0.541450458728804,"no","BRCA_Act,COREAD_Act,ESCA_Act,HNSC_Act,OV_Act,SBCC_Act,ST_Act","yes",0.00709939148073022,986
"CHD5",20,2,0.238728922148559,"no",0.00199661988302904,0.14327399618477,0.00431913822789851,0.0014483583703899,16,2,0.496617857094959,"no","","yes",0.00101419878296146,986
"COL4A3",20,2,0.238997381595787,"no",-0.12741063546271,0.234274800540199,-0.156514934818479,0.0956067372934938,16,2,0.346516821582752,"no","","yes",0,986
"TRIP12",19,2,0.253167959071043,"no",-0.111335975826272,0.267947186740801,-0.390757846247538,0.231233314469165,16,1,NA,NA,"","yes",0.0050709939148073,986
"ZBTB41",16,2,0.255557672029795,"no",0.00546174623167197,0.191733609355493,-0.0713686683057174,0.0175416303673253,11,2,0.842507209776374,"no","","yes",0.00202839756592292,986
"FRAS1",19,2,0.262841328586716,"no",0.0127364050754206,0.0746153780488436,-0.00817533232302335,0.0527248044366991,15,2,0.381581224927811,"no","","yes",0.00304259634888438,986
"PHF20",18,3,0.270288318808497,"no",-0.00921118638850599,0.0791582616894301,-0.0176605695758725,0.206106673160109,15,2,0.292994048736727,"no","","yes",0,986
"PTEN",16,4,0.288146106668762,"no",0.00467680962799925,0.133975001953534,-0.00092953456908485,0.0737299982095011,12,4,0.763264583229222,"no","BLCA_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CM_LoF,COREAD_LoF,ESCA_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LGG_LoF,LUSC_LoF,MBL_LoF,NSCLC_LoF,OS_LoF,OV_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,ST_LoF,THCA_LoF,UCEC_LoF,UCS_LoF","yes",0.037525354969574,986
"LRP1B",15,3,0.302327786100772,"no",0.0585239131703433,0.0662026365560251,0.0265476135969458,0.0474697222501482,11,2,0.609239748056763,"no","AML_LoF,AN_LoF,BRCA_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,ESCA_LoF,GBM_LoF,HC_LoF,HNSC_LoF,LUAD_LoF,LUSC_LoF,MBL_LoF,MGCT_LoF,MM_LoF,NB_LoF,NSCLC_LoF,OS_LoF,OV_LoF,PAAD_LoF,PRAD_LoF,RCCC_LoF,RHBDS_LoF,SBCC_LoF,SCLC_LoF,ST_LoF,THCA_LoF,UCS_LoF,UVM_LoF","yes",0.00405679513184584,986
"KMT2C",17,2,0.310810210954439,"no",0.0178534660030867,0.123445964851775,-0.0283491304694775,0.129867491273906,15,1,NA,NA,"ACY_LoF,AML_LoF,AN_LoF,BLCA_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CM_LoF,COREAD_LoF,ESCA_LoF,EWS_LoF,HC_LoF,HNSC_LoF,LUAD_LoF,LUSC_LoF,MBL_LoF,NSPH_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PCPG_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RPC_LoF,SCLC_LoF,SG_LoF,SSCC_LoF,ST_LoF,THCA_LoF,UCEC_LoF,VV_LoF","yes",0.0750507099391481,986
"ASH1L",18,2,0.331731252406918,"no",-0.0272808725531574,0.132542593235859,-0.107356703794767,0.0516981662105247,14,2,0.190477438891971,"no","","yes",0.00811359026369168,986
"UNC5C",20,2,0.336345950125069,"no",0.0486094044347832,0.147791986976904,-0.0359269795568182,0.042169100712409,16,2,0.464650397590187,"no","","yes",0,986
"CDK14",20,2,0.428036077252237,"no",-0.0202395350181059,0.268936435580588,0.0391695288642693,0.034501844504473,15,2,0.532770549746477,"no","","yes",0,986
"NCK1",17,3,0.441185075466805,"no",0.00199520844660586,0.10023422356594,-0.0330973752297403,0.12647370633293,13,3,0.421337492530941,"no","","yes",0,986
"WDR87",19,2,0.458856240397692,"no",0.0815059330094831,0.0837174874817678,-0.125029421303253,0.217337174265828,15,2,0.608311120741897,"no","","yes",0.00304259634888438,986
"DDX1",21,2,0.478343749845771,"no",-0.00774911927650059,0.0793237794726569,-0.0345787269251227,0.0766080135044943,17,1,NA,NA,"","yes",0.00101419878296146,986
"REV3L",19,2,0.490643803849486,"no",-0.0640199705577263,0.0994731701967731,-0.0904703246908619,0.130527380853638,15,2,0.503652935812196,"no","","yes",0.00304259634888438,986
"KALRN",19,2,0.512938263908262,"no",-0.00822824918784282,0.0909813042126382,-0.00294652199323205,0.0502320754601459,16,1,NA,NA,"","yes",0.00405679513184584,986
"ASXL2",20,2,0.537520541592732,"no",0.012323736994674,0.0722796761354153,0.0441610132744263,0.0171434473963245,0,0,NA,NA,"AML_LoF,BLCA_LoF","yes",0.0050709939148073,986
"RNF213",18,2,0.580459480634733,"no",0.0293055259563765,0.059188361925794,0.231707623618387,0.104484356444006,14,2,0.0568468975270916,"no","BLCA_Act,ESCA_Act,LUSC_Act,MBL_Act,PRAD_Act,SBCC_Act,UCEC_Act","yes",0.00405679513184584,986
"TJP1",21,2,0.654406388058069,"no",0.0715416153702567,0.256030478492247,-0.007388394296011,0.121986480004167,16,2,0.650377335430703,"no","","yes",0.00709939148073022,986
"MCPH1",16,3,0.719239821675853,"no",-0.08752485796252,0.35567531972108,-0.0835801025467678,0.194043721334962,13,3,0.395295049361815,"no","","yes",0.00304259634888438,986
"MACF1",16,2,0.731274178822424,"no",0.00582801319263423,0.168337665955105,-0.00531190620604409,0.00172850640438429,12,2,0.312711808157421,"no","","yes",0.00709939148073022,986
"NCOA7",19,2,0.738756329084396,"no",-0.0160746641454961,0.0948551430541633,-0.101469631799353,0.0959925127309283,15,2,0.484550554591878,"no","","yes",0.00101419878296146,986
"ARID1A",18,3,0.758199049600423,"no",-0.0407320806446068,0.271524848581531,0.114178079772893,0.272061851565937,15,2,0.400124540858294,"no","BLCA_LoF,BLY_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,GBM_LoF,HC_LoF,LGG_LoF,LUAD_LoF,LUSC_LoF,MBL_LoF,NHLY_LoF,NSCLC_LoF,OS_LoF,OV_LoF,PAAD_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RPC_LoF,SBCC_LoF,SCLC_LoF,ST_LoF,UCEC_LoF,UCS_LoF","yes",0.0294117647058824,986
"HOXB7",18,2,0.765543371904662,"no",-0.080331215142958,0.127393645309862,-0.07587067328365,0.0914660932601579,15,2,0.270467022623865,"no","","yes",0,986
"TRIM17",18,2,0.785443152792789,"no",0.0179554301972293,0.15639638696194,0.0237557622983747,0.000579341018229151,15,2,0.963968796980599,"no","","yes",0,986
"PXK",21,2,0.798677270026961,"no",-5.4912169704219e-05,0.181797914979391,0.139333358100618,0.146356169936908,16,2,0.461780432519742,"no","","yes",0.00101419878296146,986
"WHSC1L1",17,2,0.8118676014816,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0.00304259634888438,986
"CFH",14,2,0.831637086328335,"no",-0.0268011930386901,0.134119004311851,0.0928186098824249,0.0442777952769371,12,1,NA,NA,"","yes",0.00202839756592292,986
"KAT6B",18,2,0.83961147380668,"no",-0.204193594362958,0.280902475240474,-0.0138555406072655,0.0158250432435325,15,1,NA,NA,"BRCA_Act,MBL_Act,PRAD_Act","yes",0.00202839756592292,986
"ATP8A2",20,2,0.844913658943246,"no",-0.0481628823382415,0.259001800110721,0.0251648232659399,0.0414944698145811,16,1,NA,NA,"","yes",0.00101419878296146,986
"NSD1",17,2,0.856026579773725,"no",-0.10886439955682,0.249135832506456,0.0149397595419001,0.0493778526127149,14,1,NA,NA,"CESC_Act,ESCA_Act,HNSC_Act,LUSC_Act,ST_Act,UCEC_Act,UCS_Act","yes",0.00101419878296146,986
"CHD9",19,2,0.890039736587947,"no",-0.0403534556662659,0.163509351734821,-0.0282061988643796,0.0797988663461574,16,2,0.553435560563135,"no","","yes",0.00101419878296146,986
"GPR98",15,3,0.903332779698817,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,NA,986
"LIFR",13,2,0.905113654698147,"no",-0.0908700809188855,0.0967023386679447,-0.0527480598846368,0.0243334398468468,11,2,0.221713809679285,"no","SCLC_Act","yes",0.00608519269776876,986
"SKIV2L",19,2,0.914280104895322,"no",-0.03318920678081,0.106907106507496,0.0719857282959528,0.027824783885846,16,1,NA,NA,"","yes",0,986
"CENPE",17,2,0.929388046409299,"no",-0.0866956773735728,0.353711259769161,0.107898501263278,0.1963136426801,14,1,NA,NA,"","yes",0.00608519269776876,986
"TTN",7,4,0.935060848016518,"no",0.0617608284332773,0.129350146453466,0.0617076641656424,0.0779144659141753,3,4,0.673435775009641,"no","","yes",0.0486815415821501,986
"CDH1",20,2,0.961229682688635,"no",0.0378780500434924,0.111779795421775,-0.0508582237740136,0.134534527588137,16,2,0.669057882911989,"no","BLCA_LoF,BRCA_LoF,DLBCL_LoF,SSCC_LoF,ST_LoF","yes",0.126774847870183,986
"CNTRL",19,2,0.971414883677703,"no",-0.049898968789697,0.170932914226628,0.0140626512538159,0.007373912188924,14,3,0.220204300695315,"no","","yes",0.00101419878296146,986
"BRCA1",19,2,0.999089885638608,"no",-0.380233675830046,0.322150277567737,0.0093766898570639,0.0368757191207952,15,2,0.603706339136707,"no","BRCA_LoF,OV_LoF","yes",0.0111561866125761,986
