"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"CDK1",21,7.24356075881357e-11,"yes",-1.25309540771438,0.54403226457235,16,1.92155938211093e-33,"yes","",1.08844823617958e-61,"up","PIK3CA (depleted, 23% vs 40%), RYR2 (enriched, 8% vs 3%), TP53 (enriched, 30% vs 11%), TTN (enriched, 21% vs 14%)","CDH1 (depleted, 6% vs 19%), MAP3K1 (depleted, 3% vs 11%), NCOR1 (depleted, 2% vs 5%), TP53 (enriched, 22% vs 7%)",986
"RAC1",18,1.92037468752444e-07,"yes",-0.331016202806664,0.217964084854894,14,1.00703023513598e-10,"yes","CM_Act,HNSC_Act",6.94906911371771e-06,"up","","",986
"RFC1",20,5.76245106121268e-07,"yes",-0.88855334837521,0.504108392744415,17,5.42317404537013e-09,"yes","",3.34650433713864e-09,"down","","",986
"REXO4",20,3.77869907112236e-06,"yes",-0.124744310904186,0.20209018865495,16,0.431657004851673,"no","",3.5214462486471e-09,"up","","",986
"PRIM1",23,6.66510732435329e-06,"yes",-0.523141332580709,0.387814964045477,18,5.42983549840122e-25,"yes","",1.04566676304397e-17,"up","","CDH1 (depleted, 10% vs 16%)",986
"ALS2CR8",22,1.17908988407423e-05,"yes",NA,NA,0,NA,NA,"",NA,NA,NA,NA,NA
"LETM1",20,1.65655374760147e-05,"yes",-0.314624949839743,0.447032972665584,15,1.3302098376738e-18,"yes","",5.53193261008209e-25,"up","TP53 (depleted, 16% vs 25%)","GATA3 (enriched, 16% vs 9%)",986
"MIXL1",20,1.72844350509245e-05,"yes",-0.0621636870614652,0.15842020768557,17,0.999999998523811,"no","",0.587230945990225,"up","","GATA3 (depleted, 10% vs 15%), TP53 (enriched, 19% vs 9%)",986
"NFKB1",21,1.81229179723683e-05,"yes",-0.0596529894976386,0.0981058195182923,17,0.999999860870752,"no","",0.000894725561458497,"down","PIK3CA (enriched, 37% vs 26%)","CDH1 (enriched, 16% vs 10%), TP53 (depleted, 11% vs 17%)",986
"ITGB5",22,1.8870571486157e-05,"yes",-0.274052164635213,0.396059933360469,18,6.34020268270738e-10,"yes","",0.0179618743326298,"up","PIK3CA (enriched, 42% vs 21%), SPTA1 (depleted, 3% vs 7%), TP53 (depleted, 16% vs 25%), USH2A (depleted, 4% vs 8%)","CDH1 (enriched, 19% vs 7%), MAP3K1 (enriched, 9% vs 5%), TP53 (depleted, 7% vs 21%), TTN (depleted, 2% vs 6%)",986
