"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"TBC1D9",22,2.21701357272508e-09,"yes",0.0448663027089027,0.106111341176634,18,0.00106725706417887,"no","",9.33612199758892e-06,"up","CCDC168 (depleted, 1% vs 5%), OBSCN (depleted, 2% vs 5%), PIK3CA (enriched, 38% vs 25%), TP53 (depleted, 8% vs 34%)","CDH1 (enriched, 16% vs 10%), GATA3 (enriched, 22% vs 3%), MAP3K1 (enriched, 10% vs 5%), NCOR1 (enriched, 5% vs 2%), TP53 (depleted, 4% vs 25%)",986
"PRKAG3",22,2.8707370147707e-08,"yes",0.0419896126686502,0.107427869798047,18,0.355848839521891,"no","",2.3324744555765e-14,"down","TP53 (enriched, 27% vs 15%)","GATA3 (depleted, 10% vs 15%), TP53 (enriched, 19% vs 9%)",986
"WDR41",21,1.08382995134271e-07,"yes",0.0563784254562958,0.202899676270203,18,7.57328533218526e-10,"yes","",0.304456073867913,"up","","",986
"LRRC4B",21,1.94646038953472e-07,"yes",-0.0349517929879263,0.284104029638548,17,0.224780326836152,"no","",8.12382038072496e-27,"down","TP53 (depleted, 15% vs 26%)","CDH1 (enriched, 21% vs 5%)",986
"PPM1D",17,5.61140210075806e-07,"yes",0.154286471387327,0.187607881460967,14,0.458018972495772,"no","HGG_LoF,PIA_LoF,SBCC_LoF",1.5976160491168e-16,"down","","CDH1 (depleted, 9% vs 16%), GATA3 (enriched, 16% vs 9%)",986
"MAD1L1",18,2.55700707874063e-06,"yes",0.111175296965595,0.119089420899047,14,0.00401709790961546,"no","",2.13548688833192e-12,"up","","NCOR1 (depleted, 1% vs 5%)",986
"VAV1",22,4.80786159029467e-06,"yes",0.105112604161488,0.109956511437281,18,0.987942509349924,"no","PAAD_Act",0.00127387865982036,"up","","CDH1 (enriched, 16% vs 10%), GATA3 (depleted, 10% vs 15%), MAP3K1 (depleted, 5% vs 9%)",986
"MKNK2",23,9.29137305905048e-06,"yes",-0.0278164901705919,0.159912417679428,18,0.582265781121321,"no","",0.520757936026255,"up","PIK3CA (enriched, 41% vs 22%), TP53 (depleted, 15% vs 26%)","CDH1 (enriched, 19% vs 7%), GATA3 (enriched, 17% vs 8%), MAP3K1 (enriched, 10% vs 4%), TP53 (depleted, 7% vs 21%)",986
"NR3C2",22,9.75406494729825e-06,"yes",-0.119915409826872,0.185250189287242,18,0.000118798845138546,"yes","",6.316064787514e-61,"down","","CDH1 (enriched, 17% vs 8%)",986
"LRRC59",20,1.10789108964671e-05,"yes",-0.0156161846144958,0.166193096490059,17,0.974094084755764,"no","",7.64750761991296e-51,"up","PIK3CA (depleted, 24% vs 40%), TP53 (enriched, 26% vs 16%)","CDH1 (depleted, 5% vs 21%), MAP3K1 (depleted, 5% vs 9%), TP53 (enriched, 20% vs 8%)",986
"SERGEF",20,1.11678655725367e-05,"yes",0.0657394003200034,0.291688685302064,16,0.132357501898878,"no","",0.0935001445466364,"up","SPTA1 (depleted, 3% vs 7%), TP53 (depleted, 15% vs 27%), XIRP2 (depleted, 1% vs 5%)","CDH1 (enriched, 17% vs 9%), TP53 (depleted, 10% vs 19%)",986
"PARP4",22,1.3510179677545e-05,"yes",-0.0976758928681445,0.144579407900265,18,0.000238806081245935,"no","COREAD_ambiguous,MM_ambiguous",2.87503173842726e-10,"down","","CDH1 (depleted, 9% vs 16%), GATA3 (enriched, 16% vs 9%)",986
"PHF21A",21,1.62996451549269e-05,"yes",0.0423688480891926,0.116278105160155,17,0.078849840092526,"no","",6.62490053070864e-07,"down","","",986
"ERI1",20,1.64218541491845e-05,"yes",0.0414343242605066,0.170695871967483,17,0.0381975437168011,"no","",0.604110244317023,"up","","CDH1 (enriched, 16% vs 10%), GATA3 (depleted, 10% vs 15%)",986
"FXR2",19,1.68717284418918e-05,"yes",0.0517264734690703,0.138077510059172,15,0.0219329707577756,"no","",0.622382886766071,"up","TP53 (depleted, 16% vs 26%)","MAP3K1 (enriched, 11% vs 4%)",986
"ARHGEF4",22,1.90239616472132e-05,"yes",0.0501672110342136,0.208525594286261,18,0.00899205704515837,"no","",2.67786293535142e-37,"down","LRP2 (enriched, 5% vs 1%), PKHD1L1 (depleted, 1% vs 5%), TP53 (enriched, 27% vs 15%)","CDH1 (enriched, 16% vs 10%), GATA3 (depleted, 8% vs 17%), MAP3K1 (depleted, 5% vs 10%), TP53 (enriched, 19% vs 10%)",986
"AFF3",21,1.92815819620717e-05,"yes",-0.0267732202818772,0.167476378874888,18,0.999789733621465,"no","BRCA_ambiguous",0.246913735516029,"up","FLG (depleted, 3% vs 8%), SPTA1 (depleted, 2% vs 7%), TP53 (depleted, 8% vs 33%), TTN (depleted, 13% vs 22%)","GATA3 (enriched, 17% vs 7%), MAP3K1 (enriched, 10% vs 4%), TP53 (depleted, 5% vs 24%)",986
