"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_amplification_associated_with_overexpression","tcga_amplification_frequency","tcga_nrSamplesInGisticData"
"ANKH",5,2,0.00554574480605691,"yes",0.197466791259241,0.083281270025038,0.0288841017254974,0.107894741531321,5,2,0.656103319669215,"no","",NA,0,511
"NHLH2",5,3,0.0135818172845401,"no",0.067289118301833,0.188035401137978,0.0797570768987814,0.0978046653141632,5,3,0.70966171780156,"no","",NA,0,511
"HEATR2",6,2,0.0138184832451765,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0.00391389432485323,511
"GNA12",6,2,0.0316954024061965,"no",0.0565176975699988,0.0553673305620864,-0.101427787777793,0.0294276185403415,6,2,0.593988686619046,"no","",NA,0.00195694716242661,511
"GPR146",5,2,0.0390809795706283,"no",-0.244034678295175,0.050848769772103,-0.270860539177259,0.0536216575650035,6,2,0.821652857214112,"no","",NA,0.00195694716242661,511
"CHN2",5,2,0.0485526139945343,"no",0.159208988688506,0.063528450105802,0.0316365454729911,0.0191800030104793,6,2,0.344032283967827,"no","",0.123285133550509,0.00782778864970646,511
"STEAP1B",5,2,0.0610105843029853,"no",0.064163162264355,0.274125354327357,-0.213021199969121,0.00526561258649849,5,2,0.429275310574458,"no","",0.273158075934689,0.00391389432485323,511
"TRA2A",5,2,0.0926579797341873,"no",-0.087297953256023,0.187569982196698,-0.16075728912141,0.137696976239113,6,2,0.394835440238135,"no","",0.126195023876477,0.00587084148727984,511
"GNB4",6,2,0.102793682266698,"no",-0.0314440967342056,0.0298969086808299,-0.0312789722212559,0.0399626095615755,6,2,0.187883805899207,"no","",0.00234728345155882,0.00782778864970646,511
"SOX2",6,2,0.114846190966258,"no",0.0235317617321728,0.274498315419706,-0.726410377623646,0.689182228765984,6,2,0.345457610134841,"no","",0.00213168111457774,0.0117416829745597,511
"CLCN2",5,2,0.116126165324995,"no",-0.179373256369602,0.155423078869732,-0.561450413617998,0.239779072198637,6,2,0.634858520784712,"no","",0.22969117359926,0.00782778864970646,511
"RHOC",5,3,0.116652225496969,"no",0.0203487728286186,0.0341142269932593,-0.0208286974268531,0.22877417787148,5,3,0.304991862852421,"no","",NA,0.00195694716242661,511
"MAGEF1",5,2,0.120866005652726,"no",0.355152356288685,0.242223675242846,0.0528010122044524,0.0351626464534577,6,2,0.173419832160962,"no","",0.00306621072237772,0.00587084148727984,511
"FGL2",6,2,0.126931188127239,"no",-0.26931538783576,0.293265049619464,-0.22722060490956,0.033758494664917,6,2,0.226383773644983,"no","",0.416871832322731,0.00587084148727984,511
"MUC20",6,2,0.128872793712375,"no",0.150488044288685,0.151706989355041,-0.107716519783249,0.0405841321272352,6,2,0.44749117235092,"no","",0.669889262795378,0.00587084148727984,511
"CARD11",6,2,0.139398126397279,"no",0.122998513215283,0.175066564717709,0.135297150125255,0.017250093091974,6,2,0.463683004777008,"no","BLY_Act,COREAD_Act,DLBCL_Act,HC_Act,LY_Act,NHLY_Act",NA,0.00195694716242661,511
"MAP3K13",6,2,0.140756917685065,"no",0.0436358328772758,0.450984388675761,0.041544478751345,0.302188167693981,6,2,0.582554651982803,"no","",NA,0.00195694716242661,511
"LOC646214",4,2,0.144141312797079,"no",0.015372141322022,0.325673524418406,0.334037428761267,0.144910390264473,0,0,NA,NA,"",NA,0,511
"HGF",6,2,0.154582786228782,"no",0.253163257498866,0.358891829331282,0.121528375726201,0.048971700689597,6,2,0.560781912998303,"no","BC_Act",NA,0.00195694716242661,511
"DNAJC19",5,2,0.167280627531453,"no",-0.0789428040600115,0.120473800651431,-0.138521709026237,0.103882617748114,6,2,0.383117301811074,"no","",0.00387834219676126,0.00782778864970646,511
"FKBP14",6,2,0.170083936104579,"no",0.0479767238286792,0.115308172966674,-0.219370338306967,0.057470061758215,6,2,0.344334448665227,"no","",0.00701514865802153,0.00782778864970646,511
"ADAM30",5,3,0.171871052027157,"no",-0.0209286003074878,0.161252010743688,-0.104773064403756,0.20834020229787,5,3,0.409087527572429,"no","",NA,0,511
"MCF2L2",6,2,0.172934161366965,"no",-0.19743244521404,0.166987676888665,-0.004009688698463,0.11262335713978,6,2,0.155130700443008,"no","",0.201578817511988,0.00782778864970646,511
"TRIO",6,2,0.178089700731899,"no",0.068274885142933,0.411729338207287,-0.189820826339715,0.0573778297735545,6,2,0.189018199143625,"no","",NA,0,511
"HOXA1",5,2,0.189101457516311,"no",0.0649849397113139,0.129314728578812,-0.0510606690147322,0.0100888639274035,5,2,0.621557835408182,"no","",0.360655557487759,0.00587084148727984,511
"BMPER",5,2,0.19273974119424,"no",0.0657068991604093,0.16352745213358,-0.056951036826964,0.212252472822253,6,2,0.609126437255353,"no","",0.104897177051701,0.00978473581213307,511
"KCNMB2",5,2,0.19846706182906,"no",0.110574479214173,0.0530019009155188,0.135327152059297,0.213405392134432,6,2,0.129484500600965,"no","",0.0260277990623699,0.00978473581213307,511
"EPHB3",6,2,0.202060655814714,"no",-0.12274013792013,0.203851777442362,-0.165329441405036,0.0318042044897755,6,2,0.354445772353533,"no","",0.327062718240802,0.00782778864970646,511
"NRAS",4,3,0.20586552766442,"no",0.10332530798378,0.0599012721244338,0.035332940834473,0.243236766642527,4,3,0.249460111804106,"no","ALL_Act,AML_Act,ANGS_Act,CH_Act,CLL_Act,CM_Act,COREAD_Act,GBM_Act,HC_Act,LGG_Act,LUAD_Act,LUSC_Act,MGCT_Act,MM_Act,NSPH_Act,OV_Act,PAAD_Act,PRAD_Act,THCA_Act,THYM_Act,UCEC_Act",NA,0,511
"SENP2",5,2,0.214690151787855,"no",0.117350818678353,0.200368854322774,0.0450927230501167,0.0812035461167114,5,2,0.185809581209866,"no","",0.321766699375991,0.00391389432485323,511
"HOXA5",6,2,0.217449067270561,"no",-0.109683196065064,0.187601563468485,-0.388901450404907,0.42114673016707,6,2,0.654888117949777,"no","",0.174971780778238,0.00587084148727984,511
