"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"KCNB2",6,2,0.00336994700950011,"yes",0.134600159434623,0.218601984160708,-0.245402244574062,0.223100590400816,6,2,0.600830396160753,"no","","yes",0.00984251968503937,508
"GP5",5,2,0.00765407542449562,"yes",-0.0984781174488701,0.0987878028019794,-0.493062687873308,0.224076296053237,6,2,0.0368759183829806,"no","","yes",0.00196850393700787,508
"UBASH3B",5,2,0.0254326371438049,"no",-0.126330920891413,0.198287671232061,-0.1901515205076,0.00586808421062698,6,2,0.481986123917409,"no","","yes",NA,508
"MEP1A",5,2,0.041107367173761,"no",-0.0813993306129827,0.236438626853997,-0.0937359043350633,0.0380043359281846,6,2,0.395782473953826,"no","","yes",0.00590551181102362,508
"MAP3K9",6,2,0.0582835515681149,"no",0.319549047414293,0.504580151788914,0.312084776758996,0.129171057847746,6,2,0.382893792837955,"no","","yes",0.00196850393700787,508
"GPR98",5,2,0.0850613071641079,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,NA,508
"SETD1A",6,2,0.097738506037229,"no",-0.165995238650934,0.236571053775571,-0.29362318785977,0.040746757977696,6,2,0.481986123917409,"no","","yes",0.00196850393700787,508
"PHIP",6,2,0.122549591618252,"no",0.050146493892178,0.217262708368774,-0.276765645758547,0.0767880577007909,6,2,0.129119828540416,"no","","yes",0.00590551181102362,508
"ZNF496",6,2,0.15705155882349,"no",0.0770668934801277,0.160096137961156,-0.0542802336261575,0.276658654505993,6,2,0.700941553844541,"no","","yes",0.00196850393700787,508
"NMBR",6,2,0.161304989692317,"no",-0.00475342063266115,0.108556822737757,-0.165553835461326,0.0873292143163971,6,2,0.644332286893126,"no","","yes",0.00590551181102362,508
"FCGBP",4,4,0.199710682281244,"no",0.129515502117214,0.191810875050082,0.124368381560793,0.19730415948611,0,0,NA,NA,"","yes",0.0137795275590551,508
"ATR",4,2,0.234189290567469,"no",-0.34075368436526,0.11262937098816,-0.554934256503127,0.206367893956656,5,2,0.464434962745008,"no","CM_LoF,UCEC_LoF","yes",0.00590551181102362,508
"MBD5",6,2,0.244789004047851,"no",0.017320475459494,0.0631637188325326,-0.092454866571985,0.022284351918101,6,2,0.362150096495008,"no","","yes",0.00393700787401575,508
"MADD",6,2,0.263619342335854,"no",0.12164786548995,0.32264044979248,0.127480814055167,0.0823401189950032,6,2,0.724600458358872,"no","","yes",0.00393700787401575,508
"LRP1B",6,2,0.289374966818177,"no",0.0898250558240568,0.10735264687337,0.360701154673726,0.0695539952807105,6,2,0.393483586739327,"no","AML_LoF,AN_LoF,BRCA_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,ESCA_LoF,GBM_LoF,HC_LoF,HNSC_LoF,LUAD_LoF,LUSC_LoF,MBL_LoF,MGCT_LoF,MM_LoF,NB_LoF,NSCLC_LoF,OS_LoF,OV_LoF,PAAD_LoF,PRAD_LoF,RCCC_LoF,RHBDS_LoF,SBCC_LoF,SCLC_LoF,ST_LoF,THCA_LoF,UCS_LoF,UVM_LoF","yes",0.0177165354330709,508
"LDHAL6B",5,2,0.367160372595754,"no",0.195346612514332,0.432819228100057,0.181692409221776,0.297620237540535,6,2,0.185787092261618,"no","","no",NA,508
"CR1",5,2,0.378054152132608,"no",0.0214583859693378,0.141529403688367,-0.0855923349534822,0.0393791567664528,6,2,0.844578925400924,"no","AML_ambiguous,MM_ambiguous","yes",0.00590551181102362,508
"SMARCA4",5,2,0.398122367086687,"no",-0.115564876046992,0.161900602726522,-0.370862487856846,0.23759255012037,5,2,0.56338081883596,"no","BLCA_LoF,BLY_LoF,COREAD_LoF,ESCA_LoF,HC_LoF,HNSC_LoF,LGG_LoF,LUAD_LoF,MBL_LoF,NHLY_LoF,NSCLC_LoF,PAAD_LoF,PIA_LoF,RPC_LoF,THYM_LoF","yes",0.031496062992126,508
"ELL",6,2,0.404362859440687,"no",-0.0724492608410153,0.197086263139994,-0.0114253584130766,0.0470150703077449,6,2,0.454719742611771,"no","CM_ambiguous,HNSC_ambiguous,OV_ambiguous","yes",0.00196850393700787,508
"SETD2",5,2,0.480252451361334,"no",0.0117100234556935,0.0983892607579703,-0.0020875281381999,0.0488049146401771,5,2,0.443658701441658,"no","ALL_LoF,BLCA_LoF,CLL_LoF,CM_LoF,EWS_LoF,HC_LoF,LGG_LoF,LUAD_LoF,MESO_LoF,MM_LoF,NSCLC_LoF,OS_LoF,PAAD_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RPC_LoF","yes",0.0118110236220472,508
"LRIG3",5,2,0.508769126574322,"no",-0.109505709256363,0.259973508246948,-0.395422906369781,0.110053407668868,6,2,0.55861202849568,"no","BLCA_ambiguous,DLBCL_ambiguous,LUAD_ambiguous","yes",0.00196850393700787,508
"ANKRD31",5,2,0.510902168909262,"no",-0.153729447049182,0.1064349184882,-0.00520341528278151,0.385163634331603,6,2,0.43801849210953,"no","","yes",NA,508
"ZNF423",5,2,0.516369494636191,"no",-0.314622718389194,0.291017821433272,-0.034355020033582,0.345659425086059,5,2,0.616685529460781,"no","","yes",0.00393700787401575,508
"MTOR",5,2,0.52494409535208,"no",-0.568812494001503,0.228991340911864,-0.327390841414626,0.490025834266445,6,2,0.489684029300851,"no","AML_Act,ANGS_Act,BRCA_Act,COREAD_Act,HC_Act,LGG_Act,OS_Act,PAIS_Act,RCCC_Act,RCH_Act,UCEC_Act","yes",0.00984251968503937,508
"PARK2",6,2,0.542586367563799,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,NA,508
"INPP5J",6,2,0.580781654776149,"no",0.215135682929024,0.25778909644448,0.268437378526373,0.262905218353821,6,2,0.514562132433098,"no","","yes",0,508
"PKHD1",4,3,0.592498177503677,"no",-0.0160657221086295,0.350313779937801,-0.224494507686122,0.198848359157802,5,3,0.40364201411037,"no","","yes",0.0216535433070866,508
"MTMR14",5,2,0.599180305673149,"no",-0.274174225831616,0.149897723272264,-0.0582435186387776,0.0186676664636465,5,2,0.516527869453107,"no","","yes",0,508
"EPHA3",6,2,0.603576515479996,"no",0.0944066074453976,0.252593288994715,0.143699378998432,0.0465745821618095,6,2,0.44194226453331,"no","BRCA_ambiguous,CM_ambiguous,COREAD_ambiguous,ESCA_ambiguous,PRAD_ambiguous","yes",0.00984251968503937,508
"TAF1L",5,2,0.638589674141412,"no",0.117795938024948,0.346850212519656,-0.164473954190995,0.396359839474269,5,2,0.554605793551845,"no","","yes",0.00590551181102362,508
"GRM7",6,2,0.641408145100232,"no",0.128865155733562,0.0621398530731155,-0.112973004528643,0.136981657466724,6,2,0.671587178020822,"no","","yes",0.00393700787401575,508
"COL28A1",4,2,0.666247589546382,"no",0.122553670719706,0.233964663308408,0.0175913901636045,0.136973369148879,5,2,0.581856885862049,"no","","yes",0.00393700787401575,508
"URI1",5,2,0.69472100296137,"no",-0.289454932976496,0.255456075935747,-0.320081807696704,0.285167070759523,6,2,0.51423555639237,"no","","yes",0.00196850393700787,508
