"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"COPS8",8,4.44944081579024e-12,"yes",-0.644757417610626,0.295890720419721,8,0.999999952482002,"no","","TP53 (depleted, 31% vs 48%)","ATRX (depleted, 20% vs 39%), CIC (enriched, 15% vs 6%), TP53 (depleted, 5% vs 17%)",508
"CDC40",8,8.98801033599739e-11,"yes",-0.826859033493288,0.167474672527154,8,0.999999916315563,"no","","CIC (enriched, 15% vs 6%), EGFR (depleted, 2% vs 10%), IDH1 (enriched, 83% vs 72%)","",508
"SSRP1",8,4.02881428218649e-09,"yes",-0.637852699239814,0.435261583702354,8,0.999999999955956,"no","","","",508
"XRCC5",8,4.42109959752912e-09,"yes",-0.517053267990547,0.309794865446163,8,0.999999935881052,"no","","TP53 (enriched, 48% vs 31%)","",508
"RANBP2",8,1.55602716267467e-08,"yes",-0.385154667946742,0.370617839298153,8,0.999998792511055,"no","HC_LoF,NB_LoF,NSPH_LoF,PCPG_LoF,PRAD_LoF,RCCC_LoF","","",508
"COPS3",8,1.76330697820859e-08,"yes",-0.774128442969143,0.383207351541768,8,0.999999999832387,"no","","","",508
"TFRC",7,5.81472620053702e-08,"yes",-0.352236023622613,0.479935087805678,7,0.999979429549266,"no","","CIC (depleted, 6% vs 15%), EGFR (enriched, 12% vs 1%), IDH1 (depleted, 63% vs 92%), MUC17 (enriched, 5% vs 1%), RYR2 (enriched, 6% vs 1%), TP53 (depleted, 34% vs 45%)","",508
"RPS10",7,2.25336297732248e-07,"yes",-0.913627089456079,0.524461152351848,8,0.999986795727608,"no","","EGFR (depleted, 1% vs 11%), IDH1 (enriched, 89% vs 66%), PIK3CA (depleted, 4% vs 11%), TP53 (enriched, 55% vs 24%)","ATRX (enriched, 40% vs 19%), NF1 (depleted, 2% vs 8%)",508
"RPS10-NUDT3",7,2.25336297732248e-07,"yes",-0.489662037689602,0.396254875685517,0,NA,NA,"","EGFR (depleted, 3% vs 10%), IDH1 (enriched, 89% vs 67%), TP53 (enriched, 54% vs 25%)","ATRX (enriched, 42% vs 17%), FUBP1 (depleted, 5% vs 13%), NF1 (depleted, 2% vs 8%), TP53 (enriched, 15% vs 8%)",508
"RAE1",7,2.33164562879473e-07,"yes",-0.549177289869616,0.168411403410885,7,0.999999999460136,"no","","","",508
