"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_amplification_associated_with_overexpression","tcga_amplification_frequency","tcga_nrSamplesInGisticData"
"WWP2",7,2,0.00922445489931552,"no",NA,NA,NA,NA,4,1,NA,NA,"",NA,0.00173913043478261,575
"C3orf43",7,2,0.00998436792549767,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0.0104347826086957,575
"FOXK1",8,2,0.0306437977881378,"no",0.10750175971075,0.152350981929252,-0.0238657663234582,0.023636917605666,4,1,NA,NA,"",0.0185687210487055,0.0104347826086957,575
"NCBP2",7,2,0.0580452264328516,"no",-0.549575471583817,0.343228322887459,-0.728750994932134,0.0067723311711636,5,0,NA,NA,"",NA,0.0104347826086957,575
"GLI3",7,2,0.0724618351710633,"no",-0.102562678862688,0.178127700114131,0.037434019445315,0.191854337590241,3,1,NA,NA,"",0.516558895965255,0.0104347826086957,575
"MAP3K13",7,2,0.0843422391486969,"no",-0.0105970668370516,0.257178021134529,-0.0033153087320982,0.0521697220753644,5,0,NA,NA,"",NA,0.0208695652173913,575
"UTS2D",7,2,0.085808140256147,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,NA,NA
"SIRPB1",4,5,0.0900709730840816,"no",0.156301259337711,0.263555271586181,0.138732787753334,0.19733696562447,2,3,0.672504444218474,"no","",NA,0.00347826086956522,575
"LOC646214",7,2,0.0916951513731412,"no",0.154134317950966,0.243804339187472,-0.158778419730969,0.0984878232590749,0,0,NA,NA,"",NA,0,575
"AGR2",7,2,0.10074846583587,"no",-0.18915146283827,0.304104152829445,-0.113264932737684,0.018863278986306,3,2,0.716974856839894,"no","",NA,0.00869565217391304,575
"CLCN2",7,2,0.108581814106144,"no",-0.169170104478194,0.234686729915707,-0.660931861545,0.195247819697776,5,0,NA,NA,"",NA,0.0260869565217391,575
"TBL1XR1",8,2,0.114615297671099,"no",0.0166097054201021,0.352442805979713,0.0614871401129944,0.106618279948577,5,0,NA,NA,"ALL_LoF,DLBCL_LoF",0.0178267400258868,0.0226086956521739,575
"DDX19A",7,2,0.120088682422101,"no",0.00941326708013033,0.227428433823387,-0.0105268371421214,0.0746185393123212,4,1,NA,NA,"",NA,0,575
"TP63",8,2,0.123328676829594,"no",-0.0257733454821284,0.178331321026497,-0.119533904065196,0.140635002404486,5,0,NA,NA,"BLCA_ambiguous,HNSC_ambiguous,NB_ambiguous,UCEC_ambiguous",NA,0.0121739130434783,575
"OR2T29",7,2,0.1333008991356,"no",NA,NA,NA,NA,5,0,NA,NA,"",NA,0.00347826086956522,575
"GPR160",8,2,0.136686996096977,"no",0.0527210365378042,0.0559687842716857,-0.0166536036211246,0.0629910846985107,5,0,NA,NA,"",NA,0.00869565217391304,575
"DGKB",6,2,0.141602718352216,"no",0.154752270255922,0.335764954888246,-0.0195351904681364,0.034679030921517,3,2,0.719565682981144,"no","",NA,0.0104347826086957,575
"FNDC3B",7,2,0.157159123878223,"no",0.0784989058996674,0.117182135621321,-0.350675873517536,0.141542108466622,4,0,NA,NA,"",NA,0.0121739130434783,575
"WIPI2",8,2,0.163033286120326,"no",0.163566440740068,0.242001314969607,0.0447916066389745,0.100138172838527,4,1,NA,NA,"",0.0398784343802104,0.0121739130434783,575
"HOXA11",8,2,0.187914802100744,"no",NA,NA,NA,NA,4,1,NA,NA,"UCEC_ambiguous",0.692675319852577,0.0121739130434783,575
"RTP2",7,2,0.191865930596221,"no",0.0768152272950949,0.111022255214771,-0.184166961108329,0.117811756420257,5,0,NA,NA,"",NA,0.0156521739130435,575
"MFI2",8,2,0.195244767277741,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0.0104347826086957,575
"HDAC9",7,2,0.208044476767121,"no",0.219124202436575,0.22765027295209,0.0216308958350832,0.00437532548909425,4,1,NA,NA,"",0.651834456956561,0.0121739130434783,575
