"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"TP53",3,6,0.000122515728197297,"yes",1.26212076059552,0.984673742445119,-0.330222414461522,0.581523938813709,0,4,NA,NA,"ACC_LoF,ALL_LoF,AML_LoF,AN_LoF,ANGS_LoF,BC_LoF,BLCA_LoF,BLY_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF,EWS_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LEIS_LoF,LGG_LoF,LUAD_LoF,LUSC_LoF,LY_LoF,MBL_LoF,MESO_LoF,MM_LoF,NHLY_LoF,NSCLC_LoF,NSPH_LoF,OS_LoF,OV_LoF,PAAD_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,SBCC_LoF,SCLC_LoF,SSCC_LoF,ST_LoF,THCA_LoF,THYM_LoF,UCEC_LoF,UCS_LoF,VV_LoF,WT_LoF","yes",0.236641221374046,393
"PWWP2B",8,2,0.00471985359520379,"yes",-0.0241909736591122,0.205226725095938,-0.161838514735185,0.278547600033643,5,0,NA,NA,"","yes",0,393
"FKBP15",7,2,0.0145911493249354,"no",-0.15751836539068,0.168084644151472,-0.228744445306652,0.00983144256163504,3,2,0.114974091694722,"no","","yes",0,393
"ZNF165",8,2,0.0157301175365691,"no",0.0821385216454466,0.1089034666864,0.0257042247648007,0.0484695608746557,4,1,NA,NA,"MBL_LoF","yes",0.00254452926208651,393
"CHTF18",6,2,0.0180565997257656,"no",-0.175105540486942,0.238228995982661,-0.516348060990247,0.124409281721873,3,1,NA,NA,"","yes",0.00508905852417303,393
"SPAG16",8,2,0.0355133152612993,"no",0.0408154296265463,0.147783751469088,-0.208698224517771,0.0785682240825535,4,1,NA,NA,"","yes",0.00254452926208651,393
"ARID1B",7,2,0.0416493574957465,"no",0.00536208329894253,0.0761696085699249,-0.192393764080058,0.00711664578299895,4,1,NA,NA,"BLCA_LoF,BRCA_LoF,COREAD_LoF,DLBCL_LoF,HC_LoF,HGG_LoF,LGG_LoF,LUSC_LoF,MBL_LoF,PAAD_LoF,PIA_LoF","yes",0.0203562340966921,393
"PKD1",5,4,0.0784992254294384,"no",0.111737191889519,0.106620375522719,-0.0240357334079354,0.138646208059565,4,1,NA,NA,"","yes",0.0101781170483461,393
"IL2RB",7,2,0.0852862783843211,"no",-0.00682047190054365,0.169033778028245,-0.0993628447824174,0.0569408885480926,4,1,NA,NA,"","yes",0.00508905852417303,393
"BLNK",7,2,0.0945648933829933,"no",-0.0325376441333508,0.0556760792027581,-0.041128551170957,0.160358297277736,5,0,NA,NA,"","yes",0.00763358778625954,393
