"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_deleterious_mutation_frequency","tcga_nrSamplesInMutData"
"PTEN",6,3,0.00647135097628762,"yes",0.092709465169157,0.209340581740409,0.0239093251262831,0.194787066226505,2,2,0.317198379053388,"no","BLCA_LoF,BRCA_LoF,CESC_LoF,CH_LoF,CM_LoF,COREAD_LoF,ESCA_LoF,GBM_LoF,HC_LoF,HGG_LoF,HNSC_LoF,LGG_LoF,LUSC_LoF,MBL_LoF,NSCLC_LoF,OS_LoF,OV_LoF,PAIS_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF,RCH_LoF,RPC_LoF,S_LoF,ST_LoF,THCA_LoF,UCEC_LoF,UCS_LoF","yes",0.142493638676845,393
"PLD1",5,2,0.204150010222188,"no",0.0374627628728351,0.102941156475521,0.0213973142680573,0.0642414705070984,3,1,NA,NA,"","yes",0,393
"ABCA9",5,2,0.29401243484469,"no",0.0145711693803857,0.0418351127019753,-0.0568554685038077,0.0443232328885612,2,1,NA,NA,"","yes",0.00254452926208651,393
"CDK14",7,2,0.307162476608184,"no",-0.0132506832634424,0.385410298875513,0.146204831359714,0.0501100259510619,4,1,NA,NA,"","yes",0.00254452926208651,393
"MACF1",5,2,0.44964979343531,"no",0.0494337665975566,0.058657709450649,0.00021333305779395,0.0155645450666009,2,1,NA,NA,"","yes",0.00763358778625954,393
"MAP3K2",7,2,0.511153932511794,"no",-0.103833390490312,0.190379818343876,-0.077679077969444,0.0651384905958211,5,0,NA,NA,"","yes",NA,393
"WDR36",7,2,0.522412762447374,"no",-0.534746288727942,0.446097182894933,-0.457409888239695,0.293650487647373,4,1,NA,NA,"","yes",0.00254452926208651,393
"SIPA1L1",7,2,0.568739297442518,"no",0.017847276981946,0.178648069277847,0.174494200607777,0.224294615363764,4,1,NA,NA,"","yes",0,393
"CHD9",7,2,0.820369806391522,"no",-0.02484575855734,0.472932021806857,-0.013366347848988,0.121866503190218,3,1,NA,NA,"","yes",0.00254452926208651,393
"GPR98",5,2,0.822232258065402,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,NA,393
"SH2D4A",6,2,0.836729703546874,"no",-0.134691539132086,0.16809055540826,-0.022625341831742,0.150289595642731,4,1,NA,NA,"","yes",0,393
"AHI1",7,2,0.934090279622365,"no",0.0289424865314233,0.159974999069243,-0.0216696146148071,0.0997509734411799,5,0,NA,NA,"","yes",0.00254452926208651,393
